file, Mean F0 (Hz),Start F0 (Hz),End F0 (Hz),Max F0 (Hz),Min F0 (Hz),Range F0 (Hz),Time max F0 (%),F0 Abs Slope,F0 var (Hz/s),FM Rate (s-1),FM Extent (Hz),Q25% (Hz),Q50% (Hz),Q75% (Hz),Fpeak (Hz),Sound duration (s), AM var (dB/s), AM rate (s-1), AM extent (dB),Harmonicity, F1 mean (Hz),F2 mean (Hz),F3 mean (Hz),F4 mean (Hz),F5 mean (Hz),F6 mean (Hz),formant dispersal (Hz),vocal tract length (cm),mean wiener entropy,Comment,
HFC_01.wav,87.643,95.30,80.47,103.002,80.395,22.607,29.560,83.621,76.072,5.755,13.219213468643238,230.575,334.468,578.034,338.489,0.869,77.745,13.811,5.629,3.99,335.026,899.693,1569.458,2109.946,2820.427,3355.379,604.071,28.970,0.065,,
HFC_02.wav,89.700,76.83,100.39,104.561,76.828,27.733,22.525,123.226,79.704,3.615,22.047346586533973,298.803,380.448,583.540,323.189,1.245,77.369,8.034,9.631,7.57,355.049,939.559,1538.037,2085.286,2714.435,3265.558,582.102,30.063,-0.083,,
HFC_03.wav,91.721,100.78,87.54,107.225,82.650,24.574,24.827,85.802,69.039,3.864,17.8679081357439,332.477,379.812,846.752,331.900,0.906,71.381,7.728,9.237,13.78,335.837,1002.821,1655.105,2143.282,2824.039,3250.404,582.913,30.022,-1.558,,
HFC_04.wav,90.827,74.58,84.14,107.179,74.580,32.599,37.058,60.822,45.452,1.049,43.31882331177754,326.623,368.091,601.028,335.783,1.430,81.314,9.793,8.303,15.29,344.092,1010.649,1636.787,2139.143,2830.059,3265.204,584.222,29.954,-0.633,,
HFC_05.wav,96.364,73.84,107.32,107.368,73.837,33.531,86.068,82.842,68.620,1.631,42.072753311899724,302.554,368.136,1131.287,314.725,1.226,76.825,9.786,7.851,9.14,322.395,1078.879,1697.407,2215.710,2968.250,3416.307,618.782,28.281,-1.932,,
HFC_06.wav,89.885,72.80,103.20,103.865,72.798,31.067,88.506,54.178,35.279,0.877,40.217844064442346,311.796,437.578,1677.822,344.396,1.140,60.524,8.772,6.900,9.24,340.909,1161.632,1663.110,2153.206,2842.176,3370.317,605.882,28.884,-1.947,,
HFC_07.wav,91.376,91.01,104.24,104.241,73.575,30.665,91.419,81.102,49.744,1.639,30.346917562991734,303.807,413.959,1612.120,321.216,1.220,63.476,10.245,6.196,12.30,333.302,1096.971,1669.284,2111.876,2827.554,3273.003,587.940,29.765,-2.357,,
HFC_08.wav,90.351,83.71,77.83,107.188,74.850,32.338,42.140,72.376,50.288,2.145,23.447769953780696,323.469,387.059,922.841,338.201,1.399,69.104,10.723,6.444,14.72,342.873,1014.994,1602.833,2110.593,2747.546,3188.589,569.143,30.748,-1.607,,
HFC_09.wav,90.234,72.33,95.70,100.946,72.329,28.617,61.523,76.689,54.548,0.990,55.12521975870213,302.533,388.462,1397.981,309.346,1.011,75.462,9.400,8.028,10.88,331.229,1134.533,1706.522,2165.297,2922.370,3374.117,608.578,28.756,-2.221,,
HFC_10.wav,87.029,82.72,82.11,101.660,80.319,21.340,19.962,58.838,41.322,4.143,9.973171983319327,298.090,414.041,1218.207,345.622,1.448,69.715,10.013,6.962,13.52,329.427,1018.237,1566.430,2037.968,2738.992,3218.981,577.911,30.281,-1.646,,
