file, Mean F0 (Hz),Start F0 (Hz),End F0 (Hz),Max F0 (Hz),Min F0 (Hz),Range F0 (Hz),Time max F0 (%),F0 Abs Slope,F0 var (Hz/s),FM Rate (s-1),FM Extent (Hz),Q25% (Hz),Q50% (Hz),Q75% (Hz),Fpeak (Hz),Sound duration (s), AM var (dB/s), AM rate (s-1), AM extent (dB),Harmonicity, F1 mean (Hz),F2 mean (Hz),F3 mean (Hz),F4 mean (Hz),F5 mean (Hz),F6 mean (Hz),formant dispersal (Hz),vocal tract length (cm),mean wiener entropy,Comment,Column1
HFC_1.wav,90.206,96.61,100.39,100.393,75.661,24.732,97.703,64.29,29.956,0.714,41.93861867301773,281.252,570.064,3194.093,328.465,1.4,49.912,12.143,4.11,10.14,326.099,1071.761,1695.928,2272.477,3005.526,3485.562,631.893,27.695,-2.929,,
HFC_10.wav,84.192,98.66,89.29,102.928,75.828,27.1,50.174,134.304,77.124,2.693,28.637032690100767,196.488,243.867,330.671,225.634,0.928,47.22,5.386,8.767,18.58,285.318,957.456,1667.897,2235.855,2937.463,3337.839,610.504,28.665,0.147,,
HFC_11.wav,97.78,98.66,90.82,105.279,90.751,14.528,30.577,42.553,41.363,1.664,24.86322680555493,289.69,310.031,381.647,290.116,1.202,48.971,11.229,4.361,17.37,317.107,1086.528,1666.528,2317.068,2822.15,3437.457,624.07,28.042,-0.207,,
HFC_12.wav,94.396,104.82,91.72,108.272,79.115,29.157,10.198,73.832,71.438,4.769,14.978496189202243,272.923,319.957,597.501,286.226,0.944,87.296,10.599,8.237,10.79,313.19,1098.639,1680.992,2233.597,3006.801,3443.668,626.096,27.951,-0.259,,
HFC_13.wav,89.008,105.88,89.88,107.54,71.414,36.126,2.972,64.394,63.286,4.602,13.750476012059274,283.39,420.571,2048.579,298.813,1.955,81.094,12.529,6.473,8.46,334.313,1096.32,1717.474,2284.333,2927.238,3461.142,625.366,27.984,-2.395,,
HFC_14.wav,83.969,77.43,106.1,106.103,74.548,31.555,95.953,100.436,68.285,3.676,18.574696325191464,219.546,300.464,619.81,228.946,1.088,49.065,6.893,7.118,20.35,286.016,953.529,1653.913,2179.006,2915.428,3365.858,615.968,28.411,-0.962,,
HFC_15.wav,91.634,99.16,93.77,99.161,78.241,20.92,2.056,50.484,48.247,2.816,17.131343539359406,18.185,246.51,849.343,298.943,1.065,74.819,7.979,9.376,8.97,348.534,1215.441,1630.548,2235.536,2913.385,3418.938,614.081,28.498,-1.152,,
HFC_16.wav,93.34,82.9,91.54,102.392,80.827,21.565,67.279,57.61,8.846,0.0,--undefined--,285.813,316.614,410.419,301.279,1.963,62.758,8.405,7.467,20.31,298.715,1168.524,1748.425,2308.275,2932.385,3468.485,633.954,27.605,0.086,,
HFC_17.wav,90.909,88.41,74.34,108.129,74.34,33.788,91.625,111.123,83.049,3.881,21.40067336895663,310.089,462.686,990.49,321.964,1.933,50.75,13.97,3.633,7.93,394.443,1011.09,1610.461,2202.09,2796.43,3350.953,591.302,29.596,-1.445,,
HFC_18.wav,85.534,91.03,76.08,100.481,73.062,27.418,80.517,77.534,69.166,1.051,65.78496379153003,288.424,329.281,518.179,309.446,0.951,85.473,8.937,9.564,13.8,318.569,1163.993,1607.405,2318.807,2973.417,3469.96,630.278,27.766,-0.212,,
