file, Mean F0 (Hz),Start F0 (Hz),End F0 (Hz),Max F0 (Hz),Min F0 (Hz),Range F0 (Hz),Time max F0 (%),F0 Abs Slope,F0 var (Hz/s),FM Rate (s-1),FM Extent (Hz),Q25% (Hz),Q50% (Hz),Q75% (Hz),Fpeak (Hz),Sound duration (s), AM var (dB/s), AM rate (s-1), AM extent (dB),Harmonicity, F1 mean (Hz),F2 mean (Hz),F3 mean (Hz),F4 mean (Hz),F5 mean (Hz),F6 mean (Hz),formant dispersal (Hz),vocal tract length (cm),mean wiener entropy,Comment
HFC_1.wav,90.204,96.61,100.39,100.393,75.662,24.732,97.703,64.365,29.954,0.714,41.9369540041495,281.252,570.064,3194.093,328.465,1.400,49.912,12.143,4.110,10.14,323.991,1071.456,1694.556,2271.276,3003.633,3484.490,632.100,27.686,-2.929,
HFC_10.wav,93.888,105.09,86.01,109.621,71.451,38.170,54.040,309.889,21.804,2.155,10.119943222375703,196.488,243.867,330.671,225.634,0.928,47.220,5.386,8.767,18.58,285.313,957.455,1667.896,2235.854,2937.464,3337.838,610.505,28.665,0.147,unvoiced
HFC_11.wav,97.780,98.66,90.82,105.280,90.751,14.528,30.577,42.553,41.363,1.664,24.863426420642327,289.690,310.031,381.647,290.116,1.202,48.971,11.229,4.361,17.37,317.087,1086.499,1666.509,2317.100,2822.205,3437.458,624.074,28.042,-0.207,
HFC_12.wav,94.396,104.82,91.72,108.272,79.116,29.157,10.198,73.833,71.439,4.769,14.978529552208768,272.923,319.957,597.501,286.226,0.944,87.296,10.599,8.237,10.79,313.190,1098.639,1680.992,2233.597,3006.799,3443.669,626.096,27.951,-0.259,
HFC_13.wav,89.008,105.88,89.88,107.540,71.413,36.127,2.972,64.396,63.288,4.602,13.750988439537743,283.390,420.571,2048.579,298.813,1.955,81.094,12.529,6.473,8.46,334.317,1096.317,1717.229,2284.400,2927.112,3461.201,625.377,27.983,-2.395,
HFC_14.wav,102.579,76.74,106.57,109.910,76.618,33.292,31.619,55.623,28.353,2.298,12.339853163209984,219.546,300.464,619.810,228.946,1.088,49.061,6.893,7.118,20.35,286.016,953.530,1653.914,2179.006,2915.428,3365.859,615.969,28.411,-0.962,unvoiced
HFC_15.wav,91.634,99.16,93.77,99.161,78.241,20.920,2.056,50.484,48.246,2.816,17.131333074698134,18.185,246.510,849.343,298.943,1.065,74.819,7.979,9.376,8.97,348.549,1215.462,1630.704,2235.147,2913.468,3418.918,614.074,28.498,-1.152,
HFC_16.wav,93.340,82.90,91.54,102.392,80.827,21.565,67.279,57.610,8.846,0.000,--undefined--,285.813,316.614,410.419,301.279,1.963,62.758,8.405,7.467,20.31,298.715,1168.524,1748.425,2308.275,2932.385,3468.485,633.954,27.605,0.086,
HFC_17.wav,90.908,88.41,74.33,108.129,74.333,33.796,91.625,111.128,83.049,3.881,21.400767906038368,310.089,462.686,990.490,321.964,1.933,50.751,13.970,3.633,7.93,394.443,1011.090,1610.461,2202.089,2796.430,3350.953,591.302,29.596,-1.445,
HFC_18.wav,85.534,91.03,76.08,100.481,73.062,27.419,80.517,77.534,69.166,1.051,65.7849173974715,288.424,329.281,518.179,309.446,0.951,85.473,8.937,9.564,13.80,318.562,1163.990,1607.416,2319.155,2973.184,3469.982,630.284,27.765,-0.212,
