file, Mean F0 (Hz),Start F0 (Hz),End F0 (Hz),Max F0 (Hz),Min F0 (Hz),Range F0 (Hz),Time max F0 (%),F0 Abs Slope,F0 var (Hz/s),FM Rate (s-1),FM Extent (Hz),Q25% (Hz),Q50% (Hz),Q75% (Hz),Fpeak (Hz),Sound duration (s), AM var (dB/s), AM rate (s-1), AM extent (dB),Harmonicity, F1 mean (Hz),F2 mean (Hz),F3 mean (Hz),F4 mean (Hz),F5 mean (Hz),F6 mean (Hz),formant dispersal (Hz),vocal tract length (cm),mean wiener entropy,Comment,
HFC_01.wav,89.090,78.24,92.27,101.811,78.086,23.726,19.286,83.093,76.699,3.953,19.404244152549637,256.157,336.062,497.114,315.157,1.012,51.889,11.364,4.566,10.17,343.041,1068.250,1554.559,2131.947,2795.447,3155.357,562.463,31.113,-0.464,,
HFC_02.wav,104.342,71.23,86.84,109.521,70.920,38.602,16.752,65.596,35.737,4.746,7.52994644805974,244.935,292.380,505.754,247.226,1.370,26.207,11.317,2.316,15.74,280.239,1067.846,1663.036,2253.253,2821.298,3227.450,589.442,29.689,-0.844,unvoiced,
HFC_03.wav,88.530,76.73,83.07,106.170,74.897,31.273,24.147,79.033,65.434,2.832,23.101787393483455,268.027,337.248,452.280,332.724,1.765,34.635,9.914,3.494,17.68,334.511,1101.012,1643.879,2190.777,2826.996,3203.060,573.710,30.503,-0.664,,
HFC_04.wav,87.157,71.26,76.49,106.812,71.257,35.556,49.452,80.631,44.318,2.054,21.58168058411587,249.790,317.915,406.024,333.275,1.461,46.647,8.214,5.679,21.11,296.022,1161.391,1787.199,2256.019,2873.226,3242.125,589.221,29.700,-0.303,,
HFC_05.wav,86.615,73.02,81.78,102.247,73.017,29.231,21.871,79.518,73.093,4.023,18.167825482654827,265.127,345.381,541.164,337.560,1.119,37.226,12.070,3.084,17.39,320.197,1005.695,1620.956,2151.785,2782.788,3188.585,573.677,30.505,-0.670,,
HFC_06.wav,86.559,71.55,86.60,104.008,71.549,32.459,28.374,65.996,57.233,2.577,22.20914351737596,259.709,332.027,565.274,320.056,1.164,33.215,6.442,5.156,18.39,309.942,1181.258,1689.534,2288.780,2826.120,3200.788,578.169,30.268,-0.910,,
HFC_07.wav,86.349,71.60,76.99,100.630,71.602,29.028,25.258,79.293,57.699,2.547,22.65368867610396,241.610,341.688,770.876,348.425,0.982,37.761,8.660,4.360,12.28,297.716,1089.032,1660.654,2263.212,2828.200,3151.444,570.746,30.662,-1.497,,
HFC_08.wav,87.162,72.31,78.17,105.418,72.307,33.111,26.894,70.480,61.955,4.354,14.227755783303598,265.629,341.787,576.697,330.807,1.263,38.933,7.521,5.176,12.70,323.093,1059.603,1624.916,2146.705,2826.480,3199.015,575.184,30.425,-0.794,,
HFC_09.wav,94.104,79.12,85.20,104.606,79.125,25.481,18.369,86.817,80.178,3.323,24.131358582293586,294.567,412.305,992.000,357.915,1.354,35.293,10.706,3.297,15.12,361.105,1002.615,1615.484,2194.913,2774.305,3207.732,569.325,30.738,-1.626,,
HFC_10.wav,89.016,71.15,85.47,106.324,70.982,35.342,57.880,65.165,41.162,1.083,38.000974253921186,320.128,361.858,460.391,341.914,1.385,42.680,7.582,5.629,19.00,328.780,1186.306,1795.966,2262.782,2921.010,3244.405,583.125,30.011,-0.353,,
