file, Mean F0 (Hz),Start F0 (Hz),End F0 (Hz),Max F0 (Hz),Min F0 (Hz),Range F0 (Hz),Time max F0 (%),F0 Abs Slope,F0 var (Hz/s),FM Rate (s-1),FM Extent (Hz),Q25% (Hz),Q50% (Hz),Q75% (Hz),Fpeak (Hz),Sound duration (s), AM var (dB/s), AM rate (s-1), AM extent (dB),Harmonicity, F1 mean (Hz),F2 mean (Hz),F3 mean (Hz),F4 mean (Hz),F5 mean (Hz),F6 mean (Hz),formant dispersal (Hz),vocal tract length (cm),mean wiener entropy,Comment,
HFC_01.wav,88.814,72.12,87.83,100.994,72.124,28.870,27.358,79.162,64.354,2.898,22.207093937256854,278.333,385.196,772.421,356.375,1.208,37.898,6.210,6.103,18.00,325.418,1117.372,1734.337,2225.501,2841.592,3253.173,585.551,29.886,-1.413,,
HFC_02.wav,94.607,76.95,90.06,105.388,74.214,31.174,24.025,70.495,57.057,1.537,37.128487021916506,316.659,406.449,930.477,333.401,1.627,40.425,10.757,3.758,17.49,358.087,1051.839,1634.448,2141.659,2746.536,3217.289,571.840,30.603,-1.614,,
HFC_03.wav,94.028,90.43,100.14,107.710,74.264,33.446,36.294,79.562,62.266,1.719,36.22069557530207,291.205,386.346,669.859,384.285,1.454,32.969,9.971,3.307,17.03,362.914,1161.133,1802.461,2320.404,2951.894,3387.402,604.898,28.931,-0.518,,
HFC_04.wav,91.469,71.70,79.05,106.825,71.698,35.127,42.590,88.083,55.708,1.002,55.61195389412296,290.616,361.525,447.686,359.166,0.998,38.545,6.511,5.920,17.92,339.912,914.866,1658.375,2170.424,2904.883,3390.932,610.204,28.679,-0.088,,
HFC_05.wav,88.415,71.21,82.37,105.202,71.214,33.989,56.419,94.118,50.764,0.938,54.1171995306148,314.800,353.814,502.111,327.889,1.066,67.492,7.035,9.593,18.63,336.580,1185.257,1769.267,2223.199,2922.714,3320.893,596.863,29.320,-0.270,,
HFC_06.wav,92.125,99.50,85.55,105.605,73.504,32.101,85.462,130.091,45.226,1.407,32.14218464984959,256.294,334.625,632.534,312.860,1.066,48.377,5.159,9.377,12.63,326.247,1238.232,1852.380,2394.402,2995.377,3395.380,613.827,28.510,-0.223,,
HFC_07.wav,88.811,71.67,82.86,104.577,71.673,32.904,44.152,77.233,51.328,1.302,39.43152091771216,306.759,365.243,503.214,347.570,1.152,55.393,3.471,15.958,19.35,344.747,1151.677,1749.552,2248.854,2919.071,3366.572,604.365,28.956,-0.387,,
HFC_08.wav,85.837,72.98,77.64,95.979,72.981,22.997,42.779,111.507,62.152,2.016,30.830815653945457,265.609,347.023,414.417,360.121,0.992,58.805,4.536,12.965,21.64,325.649,1051.332,1728.014,2212.015,2880.638,3347.064,604.283,28.960,0.003,,
HFC_09.wav,90.590,91.69,91.54,107.693,71.423,36.270,52.655,87.400,30.457,1.061,28.715338759293388,332.327,560.049,2236.178,381.002,1.886,37.536,8.750,4.290,14.94,359.241,1181.912,1736.510,2310.278,2873.449,3311.655,590.483,29.637,-2.238,,
HFC_10.wav,89.763,80.37,73.66,95.348,73.657,21.691,55.195,38.031,19.486,0.448,43.46659087036909,350.173,455.064,2335.232,367.438,1.115,41.268,6.724,6.137,12.58,340.772,1254.433,1822.903,2489.755,2988.203,3432.928,618.431,28.297,-2.771,,
HFC_11.wav,84.857,70.60,99.30,99.297,70.598,28.700,98.231,90.096,28.496,0,--undefined--,190.031,331.316,1675.565,179.506,0.900,35.307,5.558,6.353,14.12,279.747,1175.921,1920.704,2372.405,2982.485,3366.153,617.281,28.350,-2.703,,
HFC_12.wav,85.295,77.92,85.41,101.077,76.410,24.667,27.109,99.716,84.733,3.453,24.54059484775901,247.811,371.316,1158.674,242.288,0.869,51.235,5.179,9.893,16.67,292.151,1137.852,1764.111,2280.383,2904.551,3256.589,592.888,29.517,-2.626,,
HFC_13.wav,91.955,76.10,77.26,100.915,76.102,24.813,22.476,79.155,64.573,3.087,20.91901728531737,337.791,397.482,683.883,361.934,1.134,36.371,6.615,5.499,17.61,350.387,1131.420,1731.670,2344.113,2923.343,3259.666,581.856,30.076,-1.484,,
