file, Mean F0 (Hz),Start F0 (Hz),End F0 (Hz),Max F0 (Hz),Min F0 (Hz),Range F0 (Hz),Time max F0 (%),F0 Abs Slope,F0 var (Hz/s),FM Rate (s-1),FM Extent (Hz),Q25% (Hz),Q50% (Hz),Q75% (Hz),Fpeak (Hz),Sound duration (s), AM var (dB/s), AM rate (s-1), AM extent (dB),Harmonicity, F1 mean (Hz),F2 mean (Hz),F3 mean (Hz),F4 mean (Hz),F5 mean (Hz),F6 mean (Hz),formant dispersal (Hz),vocal tract length (cm),mean wiener entropy,Comment,
HFC_01.wav,91.972,71.26,89.68,109.530,71.264,38.265,30.188,202.491,74.158,24.011,3.088477181349711,278.333,385.196,772.421,356.375,1.208,37.898,6.210,6.103,18.00,325.418,1117.373,1734.337,2225.502,2841.592,3253.173,585.551,29.886,-1.413,unvoiced,
HFC_02.wav,94.607,76.95,90.06,105.388,74.214,31.174,24.025,70.494,57.057,1.537,37.12823550874618,316.659,406.449,930.477,333.401,1.627,40.425,10.757,3.758,17.49,358.089,1051.836,1634.499,2141.833,2746.548,3217.397,571.862,30.602,-1.614,,
HFC_03.wav,94.028,90.43,100.14,107.710,74.272,33.439,36.295,79.550,62.256,1.719,36.214760724442385,291.205,386.346,669.859,384.285,1.454,32.969,9.971,3.307,17.03,362.914,1161.133,1802.461,2320.404,2951.894,3387.401,604.897,28.931,-0.518,,
HFC_04.wav,91.469,71.70,79.05,106.825,71.705,35.120,42.590,88.076,55.703,1.002,55.60676750276153,290.616,361.525,447.686,359.166,0.998,38.537,6.511,5.919,17.92,339.911,914.866,1658.375,2170.424,2904.882,3390.932,610.204,28.679,-0.088,,
HFC_05.wav,88.415,71.21,82.37,105.202,71.210,33.993,56.419,94.124,50.768,0.938,54.12100823347191,314.800,353.814,502.111,327.889,1.066,67.492,7.035,9.593,18.63,336.589,1186.915,1770.092,2225.569,2924.250,3322.280,597.138,29.306,-0.270,,
HFC_06.wav,92.125,99.50,85.55,105.605,73.503,32.101,85.462,130.091,45.226,1.407,32.14212845525959,256.294,334.625,632.534,312.860,1.066,48.377,5.159,9.377,12.63,326.297,1237.544,1850.665,2392.283,2993.718,3394.759,613.692,28.516,-0.223,,
HFC_07.wav,88.811,71.67,82.86,104.577,71.673,32.904,44.152,77.233,51.328,1.302,39.431464806136624,306.759,365.243,503.214,347.570,1.152,55.393,3.471,15.958,19.35,344.731,1151.655,1749.575,2248.886,2919.196,3366.536,604.361,28.956,-0.387,,
HFC_08.wav,85.495,71.64,73.02,108.160,71.398,36.763,45.860,179.742,36.834,1.008,36.54329453589314,265.609,347.023,414.417,360.121,0.992,58.805,4.536,12.965,21.64,325.518,1051.334,1728.004,2212.009,2880.656,3347.012,604.299,28.959,0.003,unvoiced,
HFC_09.wav,90.589,91.69,91.54,107.693,71.423,36.270,52.655,87.400,30.457,1.061,28.715332001836927,332.327,560.049,2236.178,381.002,1.886,37.536,8.750,4.290,14.94,359.240,1181.036,1735.055,2309.599,2872.705,3315.717,591.295,29.596,-2.238,,
HFC_10.wav,89.763,80.37,73.66,95.348,73.657,21.691,55.195,38.031,19.486,0.448,43.466602218237796,350.173,455.064,2335.232,367.438,1.115,41.268,6.724,6.137,12.58,340.896,1254.573,1822.925,2489.544,2988.161,3433.000,618.421,28.298,-2.771,,
HFC_11.wav,84.857,70.60,99.30,99.297,70.602,28.695,98.231,90.090,28.491,0.000,--undefined--,190.031,331.316,1675.565,179.506,0.900,35.307,5.558,6.353,14.12,279.746,1175.921,1920.705,2372.405,2982.485,3366.153,617.281,28.350,-2.703,,
HFC_12.wav,88.730,76.58,86.45,109.868,71.614,38.254,30.886,272.598,68.493,17.264,3.9674312029532945,247.811,371.316,1158.674,242.288,0.869,51.235,5.179,9.893,16.67,292.150,1137.852,1764.111,2280.383,2904.551,3256.589,592.888,29.517,-2.626,unvoiced,
HFC_13.wav,92.946,74.35,75.62,109.098,73.731,35.367,25.589,154.590,68.551,40.570,1.6897059493942137,337.791,397.482,683.883,361.934,1.134,36.371,6.615,5.499,17.61,350.387,1131.420,1731.671,2344.114,2923.343,3259.666,581.856,30.076,-1.484,unvoiced,
