file, Mean F0 (Hz),Start F0 (Hz),End F0 (Hz),Max F0 (Hz),Min F0 (Hz),Range F0 (Hz),Time max F0 (%),F0 Abs Slope,F0 var (Hz/s),FM Rate (s-1),FM Extent (Hz),Q25% (Hz),Q50% (Hz),Q75% (Hz),Fpeak (Hz),Sound duration (s), AM var (dB/s), AM rate (s-1), AM extent (dB),Harmonicity, F1 mean (Hz),F2 mean (Hz),F3 mean (Hz),F4 mean (Hz),F5 mean (Hz),F6 mean (Hz),formant dispersal (Hz),vocal tract length (cm),mean wiener entropy,Comment,
HFC_01.wav,89.113,71.80,86.65,107.128,71.800,35.328,49.143,142.951,77.913,1.989,39.16603284197005,283.504,372.205,1111.332,331.123,1.005,28.551,3.481,8.201,18.42,315.901,1137.138,1865.863,2252.042,2844.138,3278.715,592.563,29.533,-2.460,,
HFC_02.wav,92.655,75.84,83.17,106.381,74.830,31.551,19.357,55.476,45.884,1.820,25.209345862972476,322.688,411.077,950.479,358.164,1.923,39.726,8.061,4.928,21.36,366.077,1079.689,1660.938,2161.936,2755.061,3190.099,564.804,30.984,-1.717,,
HFC_03.wav,91.244,72.22,80.74,103.580,72.220,31.360,32.430,70.279,48.074,1.314,36.583499850885225,311.105,374.599,611.528,342.417,1.141,46.154,5.694,8.105,21.01,347.553,1155.156,1718.336,2185.527,2806.503,3175.253,565.540,30.944,-0.704,,
HFC_04.wav,91.241,72.28,100.21,106.942,72.276,34.666,35.984,58.196,41.928,0.881,47.61433772477582,322.726,359.268,471.865,339.051,1.703,38.993,6.751,5.776,25.49,347.163,1124.860,1711.990,2183.479,2910.648,--undefined--,--undefined--,--undefined--,-1.051,,
HFC_05.wav,89.466,72.57,85.97,103.075,72.573,30.502,25.578,71.045,59.033,1.977,29.856315939184288,324.564,370.170,455.584,356.065,1.264,36.838,6.723,5.480,20.65,336.259,1121.586,1772.585,2238.537,2835.543,3183.324,569.413,30.733,-0.647,,
HFC_06.wav,87.461,71.82,79.79,103.352,71.819,31.533,42.855,128.119,78.269,1.106,70.78651817110251,242.897,346.637,626.017,231.714,0.904,76.201,3.317,22.972,17.58,304.936,1127.728,1776.574,2254.837,2869.306,3207.991,580.611,30.141,-0.542,,
HFC_07.wav,92.276,72.61,85.42,107.142,72.609,34.533,35.354,55.308,44.594,1.903,23.428381541411266,307.989,368.015,555.177,343.754,1.576,44.020,7.296,6.033,19.65,345.500,1132.979,1691.305,2197.612,2870.780,3262.099,583.320,30.001,-0.777,,
HFC_08.wav,91.028,74.66,91.38,105.817,74.656,31.162,38.219,85.889,68.436,2.301,29.74457807074442,311.750,403.249,1083.265,335.538,1.304,37.328,6.902,5.408,16.22,344.704,1186.147,1677.304,2208.448,2792.573,3187.240,568.507,30.782,-2.132,,
HFC_09.wav,89.763,70.92,87.31,108.202,70.919,37.283,53.595,72.097,42.071,1.235,34.077599740758515,317.297,348.672,459.608,325.742,1.620,34.436,4.012,8.583,24.79,328.336,1177.406,1756.691,2298.636,2909.772,3267.569,587.847,29.770,-0.802,,
HFC_10.wav,89.107,71.41,77.70,104.820,71.415,33.405,38.431,87.255,58.546,1.989,29.43029069216658,304.756,352.059,427.073,342.137,1.005,42.177,6.465,6.524,21.14,323.177,1139.787,1763.401,2239.766,2897.530,3263.832,588.131,29.755,-0.609,,
HFC_11.wav,88.647,72.27,85.23,100.493,72.267,28.226,40.300,122.870,80.551,1.867,43.144273379440286,211.074,301.952,403.078,362.744,0.803,47.112,5.601,8.411,16.39,307.686,885.036,1727.960,2208.458,2962.799,3315.319,601.527,29.093,-0.142,,
HFC_12.wav,94.122,85.25,88.12,102.529,85.247,17.282,9.357,39.533,37.331,2.912,12.819922773378522,271.861,346.439,403.582,359.266,1.545,39.351,11.971,3.287,17.90,360.307,824.096,1650.524,2077.344,2755.272,3168.700,561.679,31.157,-0.783,,
HFC_13.wav,88.635,91.04,74.68,103.119,71.498,31.622,83.788,89.471,48.128,0.759,63.38951977370762,212.268,310.092,775.861,214.966,1.317,31.011,5.694,5.446,17.34,268.866,1147.776,1813.262,2289.093,2899.778,3288.227,603.872,28.980,-1.731,,
HFC_14.wav,91.666,71.40,75.85,101.760,71.399,30.361,76.423,75.387,30.552,0.504,60.62682716356002,197.908,306.504,773.066,184.391,0.992,34.133,10.079,3.387,16.30,283.002,1145.402,1801.425,2346.533,2874.253,3358.961,615.192,28.446,-1.771,,
HFC_15.wav,86.926,71.74,78.38,106.313,71.738,34.575,46.241,130.434,78.023,2.007,38.87887246693512,256.522,338.286,576.252,206.544,0.997,34.820,5.519,6.309,16.65,277.911,1168.113,1798.067,2361.982,2922.708,3388.865,622.191,28.126,-0.937,,
HFC_16.wav,91.121,100.48,75.04,107.825,75.042,32.783,49.442,91.337,73.293,2.058,35.609934683853936,307.578,347.173,468.402,321.298,1.458,24.411,5.489,4.448,23.12,322.416,1237.475,1735.676,2228.992,2852.131,3231.333,581.783,30.080,-1.091,,
HFC_17.wav,91.691,72.21,76.77,108.984,72.213,36.772,54.613,96.776,53.751,1.519,35.39705350812497,256.794,322.968,384.477,331.819,1.317,27.844,6.074,4.584,21.20,294.445,1024.334,1759.430,2234.064,2895.713,3245.716,590.254,29.648,-0.652,,
HFC_18.wav,87.520,82.44,78.11,92.582,76.370,16.212,76.959,75.901,71.796,3.604,19.920583442247942,268.947,286.808,337.591,267.080,0.694,55.288,5.046,10.957,13.16,319.351,881.187,1603.816,2246.100,2832.721,3244.746,585.079,29.910,0.608,,
HFC_19.wav,98.153,72.32,79.55,109.308,72.320,36.988,57.791,87.802,46.024,1.597,28.827235729997835,195.222,268.565,469.996,206.638,0.940,39.930,5.854,6.821,16.55,265.145,1156.531,1857.958,2365.575,2947.962,3421.238,631.218,27.724,-0.418,,
HFC_20.wav,90.844,72.07,84.02,108.326,72.072,36.254,84.647,154.264,128.446,2.819,45.56499553253296,279.500,341.288,477.879,334.311,0.887,35.228,3.947,8.926,18.62,300.223,1200.144,1869.836,2384.638,3006.288,3317.881,603.532,28.996,-0.544,,
HFC_21.wav,87.552,77.25,78.75,103.844,76.766,27.078,41.199,133.696,96.072,4.167,23.057395934835654,223.570,320.996,464.857,220.806,0.720,56.295,3.472,16.213,17.65,285.202,1091.404,1803.243,2256.629,2937.972,3356.137,614.187,28.493,-0.387,,
HFC_22.wav,87.339,73.02,74.81,105.435,73.025,32.410,42.973,101.763,68.291,2.260,30.221276739448193,272.905,343.184,438.975,216.961,1.106,35.847,4.067,8.813,21.19,288.676,1100.050,1773.453,2292.520,2918.683,3302.021,602.669,29.038,-0.565,,
HFC_23.wav,88.939,71.43,80.96,105.327,71.433,33.895,66.079,105.654,44.507,0.506,87.92879491588997,276.743,343.942,515.306,329.322,0.988,52.994,5.568,9.518,18.49,304.516,1229.654,1792.994,2298.660,2947.810,3337.315,606.560,28.851,-0.321,,
HFC_24.wav,90.075,72.40,90.96,104.448,72.396,32.052,29.804,72.731,63.467,1.859,34.13332117995026,288.655,357.780,514.852,338.205,1.076,34.128,4.184,8.158,20.62,332.559,1177.900,1685.164,2285.444,2889.689,3316.738,596.836,29.321,-0.749,,
HFC_25.wav,88.796,72.13,75.10,107.951,72.126,35.825,52.336,134.352,74.073,1.367,54.20069851505892,234.753,315.877,388.959,212.525,1.098,44.419,4.100,10.834,22.77,282.432,1295.967,1872.777,2378.876,3055.921,3358.251,615.164,28.448,-0.386,,
HFC_26.wav,83.793,71.45,84.54,90.253,71.449,18.804,73.939,72.126,27.339,0,--undefined--,265.093,405.604,2004.470,334.961,0.632,43.943,7.118,6.174,8.79,319.149,1213.267,1818.374,2441.995,3004.422,3416.873,619.545,28.247,-3.188,,
HFC_27.wav,81.432,70.43,100.44,100.444,70.433,30.011,98.618,72.961,3.624,0,--undefined--,188.195,302.983,743.685,235.203,1.124,36.148,6.673,5.417,11.41,301.300,1234.471,1870.911,2503.656,3027.912,3467.941,633.328,27.632,-1.060,,
HFC_28.wav,91.224,74.32,74.99,104.556,74.318,30.238,20.368,89.179,80.891,2.953,27.395959093396865,272.089,365.896,555.041,355.390,1.185,32.186,4.640,6.937,20.39,330.713,1071.460,1737.219,2179.646,2878.454,3217.300,577.317,30.313,-0.833,,
HFC_29.wav,85.864,71.33,99.53,99.529,71.334,28.194,95.253,68.956,17.290,0,--undefined--,251.165,429.535,1907.354,343.093,1.014,41.177,6.409,6.425,11.66,321.603,1202.035,1919.336,2432.322,2976.842,3503.505,636.380,27.499,-2.944,,
HFC_30.wav,97.062,71.55,96.39,108.399,71.546,36.853,72.047,94.172,35.717,0.485,73.69790388245843,192.647,289.428,523.253,315.542,1.032,41.929,3.877,10.814,17.19,309.969,1222.791,1901.499,2346.802,2968.288,3250.129,588.032,29.760,0.327,,
HFC_31.wav,90.946,72.20,81.23,107.364,72.203,35.161,51.913,60.014,41.532,1.685,24.651844250141277,323.719,348.666,410.787,325.663,1.484,39.854,5.728,6.958,23.45,319.284,951.262,1636.489,2107.129,2779.129,3190.340,574.211,30.477,-0.890,,
HFC_32.wav,84.315,71.48,80.92,101.648,71.478,30.170,90.460,131.217,94.013,3.178,29.580290755495906,235.232,338.116,870.180,222.487,0.944,34.809,6.356,5.476,14.27,279.611,1104.070,1767.803,2265.524,2934.681,3394.060,622.890,28.095,-2.162,,
