file, Mean F0 (Hz),Start F0 (Hz),End F0 (Hz),Max F0 (Hz),Min F0 (Hz),Range F0 (Hz),Time max F0 (%),F0 Abs Slope,F0 var (Hz/s),FM Rate (s-1),FM Extent (Hz),Q25% (Hz),Q50% (Hz),Q75% (Hz),Fpeak (Hz),Sound duration (s), AM var (dB/s), AM rate (s-1), AM extent (dB),Harmonicity, F1 mean (Hz),F2 mean (Hz),F3 mean (Hz),F4 mean (Hz),F5 mean (Hz),F6 mean (Hz),formant dispersal (Hz),vocal tract length (cm),mean wiener entropy,Comment,Duration(s),Start
HFC_01.wav,89.113,71.80,86.65,107.128,71.798,35.331,49.143,142.955,77.917,1.989,39.167740456405255,283.504,372.205,1111.332,331.123,1.005,28.551,3.481,8.201,18.42,315.904,1137.182,1865.983,2251.967,2844.513,3278.667,592.552,29.533,-2.460,,1.005,11:34:44
HFC_02.wav,92.655,75.84,83.17,106.381,74.831,31.551,19.357,55.475,45.884,1.820,25.20928634779862,322.688,411.077,950.479,358.164,1.923,39.726,8.061,4.928,21.35,366.077,1079.689,1660.939,2161.936,2755.061,3190.099,564.804,30.984,-1.717,,1.923,11:35:16
HFC_03.wav,91.244,72.22,80.74,103.580,72.220,31.360,32.430,70.279,48.074,1.314,36.58353737694901,311.105,374.599,611.528,342.417,1.141,46.154,5.694,8.105,21.01,347.634,1155.303,1718.254,2185.627,2806.607,3175.180,565.509,30.946,-0.704,,1.141,11:36:16
HFC_04.wav,91.241,72.28,100.21,106.942,72.276,34.666,35.984,58.196,41.928,0.881,47.61452371578846,322.726,359.268,471.865,339.051,1.703,38.993,6.751,5.776,25.49,347.163,1124.860,1711.990,2183.480,2910.648,3222.927,575.153,30.427,-1.051,,1.703,11:36:18
HFC_05.wav,101.002,71.43,83.85,109.925,71.429,38.496,28.533,59.939,24.771,0.791,31.31984867815379,324.564,370.170,455.584,356.065,1.264,36.838,6.723,5.480,20.65,336.259,1121.586,1772.585,2238.537,2835.543,3183.324,569.413,30.733,-0.647,unvoiced,1.264,11:36:43
HFC_06.wav,87.392,70.59,79.53,109.971,70.587,39.384,47.038,247.188,43.477,0.000,--undefined--,242.897,346.637,626.017,231.714,0.904,76.203,3.317,22.973,17.58,304.936,1127.729,1776.574,2254.837,2869.305,3207.991,580.611,30.141,-0.542,unvoiced,0.904,11:37:36
HFC_07.wav,92.276,72.61,85.42,107.142,72.612,34.530,35.354,55.306,44.592,1.903,23.427412187105784,307.989,368.015,555.177,343.754,1.576,44.020,7.296,6.033,19.65,345.523,1132.820,1691.281,2198.269,2871.057,3262.383,583.372,29.998,-0.777,,1.576,11:37:37
HFC_08.wav,91.028,74.66,91.38,105.817,74.656,31.162,38.219,85.889,68.436,2.301,29.744515764187252,311.750,403.249,1083.265,335.538,1.304,37.329,6.902,5.408,16.22,344.704,1186.146,1677.305,2208.447,2792.573,3187.240,568.507,30.782,-2.132,,1.304,11:37:43
HFC_09.wav,89.763,70.93,87.31,108.202,70.934,37.269,53.595,72.087,42.062,1.235,34.07105653121739,317.297,348.672,459.608,325.742,1.620,34.436,4.012,8.583,24.79,327.947,1177.287,1756.729,2298.202,2909.604,3267.405,587.892,29.767,-0.802,,1.620,11:37:48
HFC_10.wav,89.107,71.42,77.70,104.820,71.415,33.405,38.431,87.251,58.546,1.989,29.43012959632621,304.756,352.059,427.073,342.137,1.005,42.177,6.465,6.524,21.14,323.209,1139.947,1763.257,2239.846,2897.844,3263.779,588.114,29.756,-0.609,,1.005,11:38:02
HFC_11.wav,88.647,72.26,85.23,100.491,72.265,28.226,40.300,122.868,80.549,1.867,43.14336568089968,211.074,301.952,403.078,362.744,0.803,47.112,5.601,8.411,16.39,307.686,885.036,1727.959,2208.458,2962.799,3315.318,601.526,29.093,-0.142,,0.803,11:39:19
HFC_12.wav,91.671,85.25,88.12,102.529,77.416,25.113,9.357,59.192,56.140,2.912,19.279342179942777,271.861,346.439,403.582,359.266,1.545,39.351,11.971,3.287,17.90,360.959,827.514,1650.303,2080.076,2757.600,3170.952,561.999,31.139,-0.783,,1.545,11:39:20
