file, Mean F0 (Hz),Start F0 (Hz),End F0 (Hz),Max F0 (Hz),Min F0 (Hz),Range F0 (Hz),Time max F0 (%),F0 Abs Slope,F0 var (Hz/s),FM Rate (s-1),FM Extent (Hz),Q25% (Hz),Q50% (Hz),Q75% (Hz),Fpeak (Hz),Sound duration (s), AM var (dB/s), AM rate (s-1), AM extent (dB),Harmonicity, F1 mean (Hz),F2 mean (Hz),F3 mean (Hz),F4 mean (Hz),F5 mean (Hz),F6 mean (Hz),formant dispersal (Hz),vocal tract length (cm),mean wiener entropy,Comment,
HFC_01.wav,86.734,73.23,77.56,100.421,73.227,27.194,44.427,113.319,64.450,1.008,63.94688757936204,200.267,322.798,577.781,230.810,0.992,37.678,3.528,10.681,15.33,280.038,1150.242,1808.155,2273.024,2929.707,3368.199,617.632,28.334,-0.805,,
HFC_02.wav,88.369,71.34,89.77,103.805,71.339,32.466,26.447,76.838,69.726,2.778,25.101821518987236,225.573,323.941,489.212,226.465,1.080,26.957,6.018,4.479,21.50,309.805,1082.469,1660.785,2209.676,2841.484,3285.524,595.144,29.405,-0.401,,
HFC_03.wav,79.537,71.06,79.40,82.267,71.064,11.203,76.586,25.368,11.209,0.900,12.450854656734364,309.844,420.170,2203.195,320.777,1.111,47.179,2.701,17.468,18.22,318.089,1241.368,1857.923,2405.529,2992.663,3406.638,617.710,28.330,-3.075,,
HFC_04.wav,90.724,70.92,83.01,102.047,70.920,31.128,78.354,51.294,25.666,1.203,21.33417473900524,274.044,446.856,1743.241,300.571,1.247,34.504,7.619,4.529,15.11,303.907,1173.648,1827.065,2272.306,2929.107,3312.120,601.643,29.087,-2.367,,
HFC_05.wav,87.563,71.79,82.87,105.519,71.788,33.731,49.796,166.175,100.205,1.231,81.38612289316855,225.668,312.166,480.229,325.314,0.812,29.559,4.309,6.859,16.28,270.825,1113.242,1780.907,2275.632,2916.546,3324.189,610.673,28.657,-0.450,,
HFC_06.wav,89.067,70.61,107.38,108.356,70.609,37.747,92.799,71.330,34.113,0,--undefined--,268.818,552.363,2541.331,319.167,0.760,27.883,4.608,6.051,14.82,280.117,1150.771,1865.536,2392.379,2985.487,3370.437,618.064,28.314,-2.915,,
HFC_07.wav,90.706,71.49,78.82,107.534,71.491,36.044,36.811,88.253,58.083,1.518,38.25024847955214,261.976,339.409,377.877,350.754,0.988,38.778,6.580,5.893,18.43,338.773,935.324,1737.927,2281.452,2929.417,3400.962,612.438,28.574,-0.083,,
HFC_08.wav,91.593,72.83,84.72,105.455,72.832,32.623,27.449,63.216,50.646,2.263,22.3834597294674,307.685,354.961,394.156,347.317,1.326,38.526,6.411,6.010,21.95,347.312,815.295,1469.246,2053.091,2688.465,3220.541,574.646,30.454,-0.840,,
HFC_09.wav,85.296,73.57,85.85,94.513,73.573,20.940,71.483,105.800,99.580,6.749,14.755244270763995,240.297,336.930,442.593,351.971,0.593,42.103,9.280,4.537,8.79,354.705,1150.193,1604.319,2345.727,2989.594,3483.632,625.786,27.965,0.367,,
HFC_10.wav,91.139,77.37,71.67,96.626,71.672,24.953,59.976,41.592,35.834,4.092,8.757553813297799,260.340,355.645,439.836,359.228,1.466,44.059,13.980,3.152,10.19,364.395,998.087,1576.499,2217.506,2842.614,3380.740,603.269,29.009,0.210,,
