tmin	tier	text	tmax	tsec	Ora_Muget
0.323378	8_00_vitel_2_0025	HFC	1.447293	1.123915	20:00:00
1.838029	8_00_vitel_2_0025	HFC	4.388787	2.550758	20:00:01
13.337534	8_00_vitel_2_0025	HFC	14.869746	1.5322119999999995	20:00:13
20.601937	8_00_vitel_2_0025	HFC	21.822438	1.2205009999999987	20:00:20
23.690832	8_00_vitel_2_0025	HFC	25.574267	1.8834349999999986	20:00:23
25.727927	8_00_vitel_2_0025	HFC	28.133806	2.4058789999999988	20:00:25
31.060602	8_00_vitel_2_0025	HFC	32.368909	1.3083070000000028	20:00:31
33.094741	8_00_vitel_2_0025	HFC	35.627938	2.5331970000000013	20:00:33
41.149396	8_00_vitel_2_0025	HFC	42.383067	1.233670999999994	20:00:41
42.791364	8_00_vitel_2_0025	HFC	44.183086	1.3917220000000015	20:00:42
46.530364	8_00_vitel_2_0025	HFC	47.838671	1.3083069999999992	20:00:46
59.004514	8_00_vitel_2_0025	HFC	60.290870	1.2863559999999978	20:00:59
61.126459	8_00_vitel_2_0025	HFC	62.522571	1.3961120000000022	20:01:01
66.410841	8_00_vitel_2_0025	HFC	67.451340	1.040498999999997	20:01:06
69.760632	8_00_vitel_2_0025	HFC	71.336747	1.5761150000000015	20:01:09
71.923517	8_00_vitel_2_0025	HFC	73.420606	1.4970890000000026	20:01:11
74.526959	8_00_vitel_2_0025	HFC	77.068937	2.5419780000000003	20:01:14
78.037664	8_00_vitel_2_0025	HFC	79.315239	1.2775749999999988	20:01:18
80.013295	8_00_vitel_2_0025	HFC	81.400626	1.3873310000000032	20:01:20
85.574265	8_00_vitel_2_0025	HFC	86.965987	1.3917220000000015	20:01:25
86.965987	8_00_vitel_2_0025	HFC	88.370880	1.4048930000000013	20:01:26
105.304038	8_00_vitel_2_0025	HFC	106.831859	1.5278209999999888	20:01:45
114.634739	8_00_vitel_2_0025	HFC	115.635725	1.0009859999999975	20:01:54
116.408416	8_00_vitel_2_0025	HFC	118.076727	1.6683110000000028	20:01:56
119.528385	8_00_vitel_2_0025	HFC	120.937669	1.4092839999999995	20:01:59
121.051816	8_00_vitel_2_0025	HFC	122.658662	1.6068460000000044	20:02:01
124.304233	8_00_vitel_2_0025	HFC	126.152545	1.848312000000007	20:02:04
126.477426	8_00_vitel_2_0025	HFC	127.961345	1.4839190000000002	20:02:06
174.126198	8_00_vitel_2_0025	HFC	174.872548	0.7463500000000067	20:02:54
175.548653	8_00_vitel_2_0025	HFC	176.747202	1.1985489999999857	20:02:55
177.881331	8_00_vitel_2_0025	HFC	179.255492	1.374161000000015	20:02:57
182.213020	8_00_vitel_2_0025	HFC	183.433521	1.220501000000013	20:03:02
184.118406	8_00_vitel_2_0025	HFC	185.738423	1.6200170000000185	20:03:04
228.291204	8_00_vitel_2_0025	HFC	229.344874	1.053670000000011	20:03:48
231.740835	8_00_vitel_2_0025	HFC	232.785724	1.0448889999999835	20:03:51
276.216954	8_00_vitel_2_0025	HFC	277.279404	1.0624500000000126	20:04:36
278.515939	8_00_vitel_2_0025	HFC	279.789123	1.2731840000000147	20:04:38
284.081299	8_00_vitel_2_0025	HFC	286.039369	1.9580700000000206	20:04:44
304.373029	8_00_vitel_2_0025	HFC	305.255477	0.8824480000000108	20:05:04
306.563740	8_00_vitel_2_0025	HFC	307.933510	1.3697700000000168	20:05:06
308.552541	8_00_vitel_2_0025	HFC	309.676456	1.123914999999954	20:05:08
310.119875	8_00_vitel_2_0025	HFC	311.379888	1.260013000000015	20:05:10
314.166195	8_00_vitel_2_0025	HFC	315.852067	1.6858719999999607	20:05:14
315.852067	8_00_vitel_2_0025	HFC	317.410620	1.5585530000000176	20:05:15
321.746698	8_00_vitel_2_0025	HFC	322.817929	1.0712310000000116	20:05:21
323.312162	8_00_vitel_2_0025	HFC	324.545834	1.2336720000000128	20:05:23
343.270230	8_00_vitel_2_0025	HFC	344.253655	0.9834249999999543	20:05:43
348.563392	8_00_vitel_2_0025	HFC	349.669745	1.106352999999956	20:05:48
371.654599	8_00_vitel_2_0025	HFC	372.958515	1.3039159999999583	20:06:11
391.946329	8_00_vitel_2_0025	HFC	393.100975	1.1546460000000138	20:06:31
398.929753	8_00_vitel_2_0025	HFC	400.093180	1.1634270000000129	20:06:38
405.383387	8_00_vitel_2_0025	HFC	406.876085	1.4926979999999617	20:06:45
470.997035	8_00_vitel_2_0025	HFC	472.050704	1.0536690000000135	20:07:50
478.625832	8_00_vitel_2_0025	HFC	479.912187	1.2863550000000146	20:07:58
487.144329	8_00_vitel_2_0025	HFC	488.676541	1.5322119999999586	20:08:07
495.629233	8_00_vitel_2_0025	HFC	497.600473	1.971240000000023	20:08:15
507.484352	8_00_vitel_2_0025	HFC	508.305337	0.8209850000000074	20:08:27
513.133129	8_00_vitel_2_0025	HFC	514.366800	1.2336709999999584	20:08:33
519.018980	8_00_vitel_2_0025	HFC	520.006796	0.9878159999999525	20:08:39
539.069243	8_00_vitel_2_0025	HFC	539.881447	0.8122039999999515	20:08:59
558.131692	8_00_vitel_2_0025	HFC	559.141458	1.0097659999998996	20:09:18
590.882873	8_00_vitel_2_0025	HFC	591.747760	0.8648869999999533	20:09:50
618.385192	8_00_vitel_2_0025	HFC	619.588132	1.2029400000000123	20:10:18
767.265653	8_00_vitel_2_0025	HFC	768.073466	0.8078130000000101	20:12:47
769.122746	8_00_vitel_2_0025	HFC	770.286173	1.163426999999956	20:12:49
780.398346	8_00_vitel_2_0025	HFC	781.434454	1.036108000000013	20:13:00
798.266635	8_00_vitel_2_0025	HFC	799.280792	1.0141570000000684	20:13:18
809.695896	8_00_vitel_2_0025	HFC	810.613467	0.9175710000000663	20:13:29
815.116377	8_00_vitel_2_0025	HFC	816.139315	1.0229379999999537	20:13:35
816.692492	8_00_vitel_2_0025	HFC	817.781284	1.0887920000000122	20:13:36
818.075781	8_00_vitel_2_0025	HFC	820.806541	2.730760000000032	20:13:38
823.383592	8_00_vitel_2_0025	HFC	824.485555	1.1019629999999552	20:13:43
829.677741	8_00_vitel_2_0025	HFC	831.100195	1.422454000000016	20:13:49
835.159685	8_00_vitel_2_0025	HFC	836.305551	1.145866000000069	20:13:55
842.397747	8_00_vitel_2_0025	HFC	843.130925	0.7331780000000663	20:14:02
848.107987	8_00_vitel_2_0025	HFC	849.025557	0.9175700000000688	20:14:08
850.279310	8_00_vitel_2_0025	HFC	852.074939	1.7956289999999626	20:14:10
852.882752	8_00_vitel_2_0025	HFC	853.716907	0.8341550000000097	20:14:12
925.528118	8_00_vitel_2_0025	HFC	926.335931	0.8078130000000101	20:15:25
939.813930	8_00_vitel_2_0025	HFC	940.634915	0.8209849999999506	20:15:39
949.593969	8_00_vitel_2_0025	HFC	950.340318	0.7463490000000093	20:15:49
