file, Mean F0 (Hz),Start F0 (Hz),End F0 (Hz),Max F0 (Hz),Min F0 (Hz),Range F0 (Hz),Time max F0 (%),F0 Abs Slope,F0 var (Hz/s),FM Rate (s-1),FM Extent (Hz),Q25% (Hz),Q50% (Hz),Q75% (Hz),Fpeak (Hz),Sound duration (s), AM var (dB/s), AM rate (s-1), AM extent (dB),Harmonicity, F1 mean (Hz),F2 mean (Hz),F3 mean (Hz),F4 mean (Hz),F5 mean (Hz),F6 mean (Hz),formant dispersal (Hz),vocal tract length (cm),mean wiener entropy,Comment,Duration(s),Start
HFC_01.wav,84.489,94.69,79.20,98.452,71.017,27.435,76.097,62.668,50.609,2.821,17.941502085864478,333.339,443.068,1343.386,330.737,2.836,62.056,10.402,5.966,12.06,355.557,1023.848,1648.718,2017.483,2667.024,3176.981,564.285,31.013,-1.754,,2.836,22:30:00
HFC_02.wav,81.753,81.43,75.64,109.900,70.335,39.565,52.860,223.300,196.373,42.608,4.608862651775149,356.047,596.835,1532.705,398.534,3.121,67.298,13.295,5.062,9.20,384.053,973.067,1649.231,2023.429,2644.714,3124.955,548.180,31.924,-1.515,unvoiced,3.121,22:30:04
HFC_03.wav,97.588,90.52,99.07,104.847,85.545,19.301,20.555,41.506,31.813,1.850,17.199381739198795,388.160,421.169,588.954,384.872,1.892,64.206,7.134,8.999,19.59,375.342,918.307,1617.257,2052.726,2676.546,3145.437,554.019,31.587,-0.820,,1.892,22:30:08
HFC_04.wav,82.665,90.94,83.03,102.945,73.406,29.539,17.831,67.088,54.425,3.775,14.415992310261396,294.234,450.650,1218.543,300.109,1.589,57.460,9.753,5.892,11.98,357.011,1008.784,1632.141,2136.119,2725.759,3315.965,591.791,29.571,-1.119,,1.589,22:30:12
HFC_05.wav,83.398,90.09,81.86,102.341,71.856,30.485,8.240,65.979,60.287,3.849,15.66271102220126,306.744,574.689,1536.563,309.612,2.208,45.996,8.377,5.490,12.45,369.193,1078.429,1627.539,2135.765,2729.599,3268.019,579.765,30.185,-1.324,,2.208,22:30:15
HFC_06.wav,85.923,85.36,84.15,105.932,72.169,33.762,18.879,101.890,84.342,3.006,28.059599545368673,323.680,824.127,1524.937,311.588,1.497,55.920,12.357,4.525,8.21,429.147,1114.063,1699.796,2233.107,2804.357,3294.085,572.988,30.542,-1.085,,1.497,22:30:19
HFC_07.wav,82.007,95.94,84.93,100.050,72.038,28.012,81.845,78.406,52.044,2.795,18.621728385999344,306.965,535.080,1509.696,310.707,1.431,59.641,9.432,6.323,8.97,364.430,1083.587,1640.100,2130.046,2737.938,3274.347,581.983,30.070,-1.361,,1.431,22:30:21
HFC_08.wav,88.549,96.67,85.81,106.295,73.308,32.987,82.530,79.257,61.977,3.935,15.749642958527609,350.015,797.141,1520.341,323.271,2.160,48.844,10.185,4.796,7.70,445.924,1108.396,1672.976,2138.253,2741.229,3218.444,554.504,31.560,-1.087,,2.160,22:30:23
HFC_09.wav,82.250,102.90,97.68,102.895,71.900,30.995,4.807,83.570,71.860,2.531,28.39395365228454,322.208,546.312,1193.234,288.846,0.988,58.508,7.592,7.706,13.06,381.978,965.650,1509.886,1997.976,2678.532,3188.012,561.207,31.183,-1.123,,0.988,22:30:25
HFC_10.wav,88.132,83.08,96.49,103.762,71.679,32.083,66.711,100.549,89.652,4.051,22.1287374328347,356.467,587.272,1357.175,389.572,2.221,55.162,13.279,4.154,10.13,386.579,1004.240,1644.405,2108.044,2645.808,3118.116,546.307,32.033,-1.492,,2.221,22:30:26
HFC_100.wav,91.511,103.04,80.17,103.906,76.564,27.342,14.204,56.845,35.470,3.396,10.445619789586743,369.435,488.011,1362.138,373.921,1.914,53.902,8.620,6.253,10.48,369.841,1003.779,1695.974,2052.799,2750.518,3245.731,575.178,30.425,-2.041,,1.914,22:35:00
HFC_101.wav,84.938,99.22,89.71,107.362,73.312,34.049,7.723,44.689,39.000,1.396,27.93311406465254,343.402,616.500,1396.194,326.532,2.507,48.806,9.773,4.994,12.28,401.704,995.019,1597.380,2023.512,2680.323,3190.431,557.745,31.376,-1.161,,2.507,22:35:06
HFC_102.wav,94.989,100.86,84.67,104.788,81.457,23.330,10.526,80.962,59.442,4.952,12.004603316440353,317.433,400.861,645.573,380.976,1.212,70.480,9.491,7.426,13.92,351.513,959.896,1631.159,2030.126,2681.911,3193.886,568.475,30.784,-0.430,,1.212,22:35:10
HFC_103.wav,82.581,98.24,74.26,105.459,72.312,33.147,10.097,69.117,48.161,1.755,27.434615004053654,323.230,584.482,1358.578,311.776,2.279,48.069,7.461,6.443,12.87,387.919,1032.216,1642.552,2156.969,2748.916,3281.098,578.636,30.244,-1.204,,2.279,22:35:12
HFC_104.wav,86.837,98.75,77.97,98.747,77.967,20.780,1.251,62.208,59.162,5.862,10.092786356075885,244.340,316.311,595.171,261.523,1.194,41.610,9.630,4.321,10.28,305.407,794.887,1445.617,2011.912,2767.095,3534.505,645.820,27.097,0.010,,1.194,22:35:15
HFC_105.wav,94.839,106.69,79.41,106.693,79.406,27.287,6.241,57.032,41.932,3.142,13.346905733030425,372.456,426.872,781.715,380.337,1.273,68.730,5.891,11.667,16.91,365.999,920.109,1587.447,1976.235,2560.233,3159.785,558.757,31.319,-1.259,,1.273,22:35:16
HFC_106.wav,87.405,103.80,97.35,103.957,70.870,33.087,6.271,84.235,74.622,5.771,12.929701183829453,318.164,418.679,795.523,396.182,1.300,58.109,7.310,7.949,15.91,353.944,929.477,1566.883,1938.710,2538.690,3134.602,556.132,31.467,-1.268,,1.300,22:35:18
HFC_107.wav,93.734,82.08,83.80,105.040,81.951,23.089,48.870,112.746,39.449,30.054,1.3126155917323934,384.793,425.062,568.362,399.058,1.264,67.793,7.118,9.524,17.80,380.066,966.417,1521.194,1987.961,2641.982,3212.203,566.428,30.895,-0.692,unvoiced,1.264,22:35:22
HFC_108.wav,81.671,104.61,80.94,104.687,72.933,31.754,9.942,67.256,44.641,2.753,16.217860280459533,319.017,510.810,1236.225,306.916,1.453,50.995,9.290,5.489,14.09,384.079,960.514,1577.197,2059.231,2664.884,3221.419,567.468,30.839,-0.974,,1.453,22:35:25
HFC_109.wav,81.949,87.52,85.25,102.719,71.278,31.441,88.534,63.680,53.583,3.511,15.261535142868691,327.726,590.451,1311.029,313.532,2.279,46.271,9.436,4.904,11.80,386.232,1013.210,1661.654,2108.199,2729.775,3263.053,575.364,30.416,-1.067,,2.279,22:35:30
HFC_11.wav,90.191,101.90,96.39,104.710,70.691,34.018,4.949,68.650,62.597,4.611,13.576024008419552,355.888,593.710,1520.468,387.626,2.169,53.114,9.452,5.619,13.46,395.471,1020.322,1646.913,2132.986,2723.672,3194.580,559.822,31.260,-1.639,,2.169,22:30:29
HFC_110.wav,93.682,91.63,97.76,109.986,71.146,38.840,52.773,198.271,102.867,19.930,5.161398279657731,337.154,667.247,1327.038,318.217,1.932,47.189,12.424,3.798,6.85,405.160,1024.172,1693.061,2168.445,2743.138,3266.723,572.313,30.578,-1.164,unvoiced,1.932,22:35:36
HFC_111.wav,93.176,100.34,93.03,105.476,80.337,25.138,15.916,88.002,68.412,5.081,13.465429615554463,349.154,565.471,1642.052,373.600,1.181,64.107,8.891,7.210,11.11,353.674,1024.053,1693.771,2058.898,2728.020,3218.869,573.039,30.539,-1.935,,1.181,22:35:39
HFC_112.wav,86.332,85.51,97.27,97.626,71.105,26.521,37.626,83.180,44.894,3.254,13.796976672399612,331.100,555.522,1539.730,399.356,1.076,46.435,6.973,6.660,15.42,362.313,951.528,1644.752,2028.818,2675.164,3157.636,559.065,31.302,-1.845,,1.076,22:35:44
HFC_113.wav,89.336,88.95,83.16,106.686,76.788,29.898,47.068,81.801,67.582,3.186,21.21441504615149,330.659,604.966,1778.979,335.297,1.256,74.174,9.955,7.451,6.19,358.512,1053.417,1712.574,2164.362,2760.240,3282.802,584.858,29.922,-1.559,,1.256,22:35:52
HFC_114.wav,93.288,100.51,76.17,102.028,76.171,25.856,8.902,61.174,45.855,2.141,21.42006565355486,357.648,471.682,1677.038,363.851,1.168,70.701,8.991,7.863,12.71,368.372,1072.511,1634.004,2074.472,2727.899,3246.680,575.662,30.400,-2.170,,1.168,22:35:55
HFC_115.wav,83.151,96.70,73.78,100.438,73.779,26.659,10.916,67.500,45.769,1.798,25.452531397013104,325.724,472.562,1581.718,319.163,1.668,68.667,8.092,8.486,13.07,350.731,1125.280,1667.727,2086.532,2711.931,3247.296,579.313,30.208,-1.975,,1.668,22:35:57
HFC_116.wav,83.518,94.61,89.88,101.024,73.539,27.485,87.788,51.848,44.574,3.396,13.12432723342578,322.610,490.803,1385.553,315.850,2.208,62.000,8.604,7.206,12.71,375.941,1065.387,1639.096,2139.501,2717.763,3255.839,575.979,30.383,-1.381,,2.208,22:36:01
HFC_117.wav,85.406,103.32,90.28,105.282,73.103,32.179,6.046,78.107,71.167,3.531,20.15258144241711,340.965,612.825,1621.459,339.809,2.265,65.432,11.698,5.594,9.22,375.406,1056.908,1668.386,2206.781,2715.668,3261.032,577.125,30.323,-1.603,,2.265,22:36:05
HFC_118.wav,83.401,102.92,70.33,109.719,70.335,39.384,21.185,201.958,76.659,20.754,3.6936632021467717,401.675,478.661,1425.520,400.859,1.927,60.868,9.080,6.704,15.07,398.746,1030.392,1623.103,2039.588,2662.860,3089.089,538.069,32.524,-1.697,unvoiced,1.927,22:36:08
HFC_119.wav,80.964,103.12,85.40,103.123,72.682,30.441,5.743,65.639,51.687,5.311,9.732369817446685,311.829,450.278,1118.718,305.510,1.695,56.824,10.917,5.205,6.40,354.466,988.556,1693.344,2111.577,2790.043,3280.795,585.266,29.901,-1.449,,1.695,22:36:12
HFC_12.wav,81.355,103.90,95.72,104.110,70.814,33.296,3.656,90.004,78.711,4.643,16.951073791789245,339.021,709.004,1493.667,383.806,2.046,46.911,9.042,5.188,11.25,405.313,1061.627,1570.828,2063.441,2708.577,3233.006,565.539,30.944,-1.192,,2.046,22:30:32
HFC_120.wav,92.653,94.50,82.85,106.156,73.556,32.601,25.939,174.549,82.460,2.233,36.92670189899018,362.531,915.265,1909.062,383.505,0.896,78.485,11.724,6.695,9.81,374.579,1167.684,1723.683,2250.347,2770.973,3262.001,577.484,30.304,-1.193,,0.896,22:36:22
HFC_121.wav,86.416,84.67,96.86,103.002,70.577,32.425,51.906,107.829,55.268,3.024,18.278804851936037,388.811,633.164,1712.451,394.452,1.488,64.911,10.079,6.440,14.46,382.166,1115.466,1625.022,2091.354,2701.459,3224.515,568.470,30.784,-1.671,,1.488,22:36:23
