file, Mean F0 (Hz),Start F0 (Hz),End F0 (Hz),Max F0 (Hz),Min F0 (Hz),Range F0 (Hz),Time max F0 (%),F0 Abs Slope,F0 var (Hz/s),FM Rate (s-1),FM Extent (Hz),Q25% (Hz),Q50% (Hz),Q75% (Hz),Fpeak (Hz),Sound duration (s), AM var (dB/s), AM rate (s-1), AM extent (dB),Harmonicity, F1 mean (Hz),F2 mean (Hz),F3 mean (Hz),F4 mean (Hz),F5 mean (Hz),F6 mean (Hz),formant dispersal (Hz),vocal tract length (cm),mean wiener entropy,Comment,
LFC_01.wav,86.865,79.98,85.72,92.231,76.462,15.770,48.433,49.486,46.964,4.232,11.09707313019968,327.056,586.881,3325.307,352.945,0.591,39.845,9.311,4.280,6.51,349.881,1140.358,1692.609,2308.858,2934.610,3441.137,618.251,28.306,-2.220,,
LFC_02.wav,84.097,78.37,84.40,90.369,77.462,12.906,38.413,52.676,49.561,4.647,10.665106981587968,256.579,361.385,786.066,336.252,0.538,38.402,12.082,3.178,8.29,349.773,1045.062,1798.317,2429.057,3060.682,3527.239,635.493,27.538,-0.851,,
LFC_03.wav,100.216,91.21,81.94,107.722,81.940,25.782,56.188,81.677,68.492,0.878,78.03127167327841,312.694,331.547,388.050,320.996,0.570,77.595,8.778,8.840,11.76,332.415,1010.487,1667.446,2240.060,2921.713,3445.633,622.644,28.106,-0.011,,
LFC_04.wav,93.724,93.89,92.78,105.343,84.759,20.584,39.263,88.265,82.901,4.837,17.13960049340893,302.275,434.402,3623.851,338.218,0.517,39.196,10.641,3.684,8.17,343.913,988.830,1667.852,2163.627,2856.378,3408.413,612.900,28.553,-3.038,,
LFC_05.wav,80.132,105.01,75.81,105.006,72.017,32.989,20.678,94.815,58.577,1.693,34.60303924404785,137.261,331.891,850.058,86.006,0.591,73.827,4.232,17.445,7.50,348.744,1089.107,1723.208,2268.539,2858.548,3420.880,614.427,28.482,-1.257,,
LFC_06.wav,92.128,104.28,87.58,107.817,84.608,23.209,15.636,93.300,89.074,3.823,23.302240797442245,332.273,352.122,415.137,339.058,0.654,43.893,6.116,7.177,21.58,342.754,793.823,1599.895,2062.533,2885.342,3343.030,600.055,29.164,-0.739,,
LFC_07.wav,95.144,77.96,101.12,106.824,77.964,28.860,78.090,65.381,60.711,0.886,68.52513199046774,304.020,364.261,556.102,305.368,0.564,48.576,7.974,6.092,13.49,352.774,839.391,1625.867,2153.809,2827.109,3298.549,589.155,29.704,-0.080,,
LFC_08.wav,91.256,89.55,88.92,104.937,84.208,20.729,24.349,86.721,81.638,3.386,24.112928170975167,291.260,347.850,484.058,328.728,0.591,57.198,5.925,9.654,11.41,354.666,1020.536,1592.044,2114.655,2887.630,3446.308,618.328,28.302,0.052,,
LFC_09.wav,83.757,70.45,93.78,96.357,70.449,25.908,74.597,64.843,55.600,1.317,42.22843730706893,203.541,351.872,2151.494,287.196,0.760,35.177,5.925,5.937,12.51,312.056,1085.713,1784.567,2341.679,2941.748,3481.704,633.929,27.606,-3.185,,
LFC_10.wav,85.687,76.88,85.78,90.599,76.878,13.721,77.035,63.400,48.385,4.158,11.636906881661787,242.437,310.857,405.880,356.884,0.601,44.653,8.316,5.370,12.58,309.403,756.442,1585.259,2107.998,2902.749,3393.992,616.918,28.367,0.423,,
LFC_11.wav,89.468,80.71,92.22,96.154,80.712,15.441,65.420,60.790,53.269,4.862,10.95735829751981,256.452,360.794,587.356,360.570,0.823,30.702,9.115,3.368,13.03,337.361,808.073,1557.478,1999.742,2694.918,3213.068,575.141,30.427,-0.066,,
