file, Mean F0 (Hz),Start F0 (Hz),End F0 (Hz),Max F0 (Hz),Min F0 (Hz),Range F0 (Hz),Time max F0 (%),F0 Abs Slope,F0 var (Hz/s),FM Rate (s-1),FM Extent (Hz),Q25% (Hz),Q50% (Hz),Q75% (Hz),Fpeak (Hz),Sound duration (s), AM var (dB/s), AM rate (s-1), AM extent (dB),Harmonicity, F1 mean (Hz),F2 mean (Hz),F3 mean (Hz),F4 mean (Hz),F5 mean (Hz),F6 mean (Hz),formant dispersal (Hz),vocal tract length (cm),mean wiener entropy,Comment,
HFC_01.wav,89.909,106.45,90.70,106.446,84.674,21.773,2.722,80.451,74.687,8.541,8.744933025063029,266.178,351.202,441.158,357.508,0.585,62.093,5.978,10.386,10.00,360.988,930.651,1533.501,2105.626,2837.242,3414.178,610.638,28.659,0.227,,
HFC_02.wav,89.357,82.62,88.46,93.460,79.409,14.051,62.371,51.277,43.297,4.514,9.590847736073027,275.832,350.924,407.036,353.865,0.554,42.515,7.223,5.886,17.56,350.050,883.271,1535.107,2074.784,2821.230,3327.917,595.573,29.383,-0.103,,
HFC_03.wav,92.876,101.12,84.90,105.726,84.896,20.830,6.856,50.977,49.112,2.590,18.960863043632393,352.111,367.855,394.367,355.014,0.965,36.029,7.770,4.637,22.13,367.838,654.128,1534.168,1970.207,2716.252,3321.805,590.793,29.621,-1.241,,
HFC_04.wav,97.455,85.83,99.51,105.748,85.061,20.687,68.405,37.030,35.642,2.130,16.730844991093967,281.967,328.959,539.934,298.231,0.939,45.401,12.249,3.706,11.71,301.961,1020.701,1613.627,2118.605,2804.985,3371.619,613.932,28.505,-0.229,,
HFC_05.wav,94.374,102.28,84.18,102.282,83.544,18.737,5.528,44.692,38.302,3.075,12.45740734424829,350.942,396.806,551.729,368.893,0.976,46.925,7.686,6.105,16.05,382.377,840.692,1491.140,1937.658,2619.393,3152.462,554.017,31.587,-0.725,,
HFC_06.wav,89.616,73.93,88.75,104.274,73.933,30.341,41.419,76.527,73.531,2.355,31.21969728992252,330.073,376.621,578.426,338.818,0.849,52.194,7.655,6.819,15.28,358.279,1047.734,1590.487,2041.930,2875.545,3465.984,621.541,28.156,-0.680,,
HFC_07.wav,97.500,104.91,78.75,107.567,78.746,28.821,30.469,87.634,30.663,3.773,8.126731945383234,611.335,1713.219,2593.248,1752.752,1.060,38.243,3.301,11.584,14.39,517.071,1236.858,1879.897,2394.271,3005.144,3422.561,581.098,30.115,-1.354,,
HFC_08.wav,92.990,90.40,107.68,107.677,85.097,22.580,97.670,116.639,110.882,4.550,24.367969448854126,319.994,342.938,381.603,333.022,0.659,66.001,8.342,7.912,15.94,343.211,1023.753,1678.546,2179.129,2934.382,3430.375,617.433,28.343,-0.551,,
HFC_09.wav,92.367,90.73,92.08,106.482,81.713,24.769,15.462,95.039,91.320,3.533,25.84850659075468,301.383,366.285,465.295,352.064,0.849,58.522,8.243,7.099,14.01,343.811,970.200,1721.342,2208.833,2931.468,3424.484,616.135,28.403,0.150,,
HFC_10.wav,89.774,106.78,105.09,106.777,76.842,29.934,2.734,174.660,164.592,2.816,58.45192766014788,261.293,348.370,460.137,349.865,0.533,50.856,4.693,10.836,12.02,341.119,930.948,1720.523,2250.850,2902.844,3417.073,615.191,28.446,0.081,,
HFC_11.wav,89.171,89.16,75.54,102.918,75.542,27.376,12.061,98.698,95.762,2.989,32.036080621435296,291.587,374.154,547.639,327.306,1.171,52.800,10.676,4.946,10.44,363.667,978.171,1602.759,2095.854,2787.983,3367.884,600.843,29.126,-0.269,,
HFC_12.wav,93.698,88.57,92.81,95.026,88.568,6.458,59.029,19.761,7.561,0.600,12.601265128748224,361.761,377.060,398.002,369.778,0.833,61.770,1.800,34.316,22.61,375.781,754.114,1573.535,1994.044,2730.923,3355.284,595.901,29.367,-0.561,,
HFC_13.wav,98.574,83.33,101.98,108.579,80.657,27.922,48.496,57.365,47.839,2.213,21.615369753809443,303.601,339.184,538.664,308.064,1.356,43.538,4.795,9.079,18.99,320.248,1031.815,1620.381,2095.778,2848.201,3457.159,627.382,27.894,-0.532,,
HFC_14.wav,88.375,84.26,89.48,103.293,83.564,19.729,23.029,70.471,67.366,5.303,12.70261542571538,275.290,346.452,539.825,337.631,0.754,48.051,9.944,4.832,14.85,326.110,1025.703,1525.079,1987.682,2676.932,3283.166,591.411,29.590,-0.360,,
HFC_15.wav,94.357,79.95,84.10,108.505,79.067,29.439,44.343,100.519,84.893,2.824,30.06364792777311,325.278,347.782,466.052,329.155,1.239,75.767,6.051,12.522,18.75,333.359,1103.763,1656.194,2065.514,2872.196,3416.675,616.663,28.379,-0.716,,
HFC_16.wav,85.326,70.96,74.78,100.824,70.950,29.875,44.859,104.595,97.559,3.386,28.81493425377686,307.324,453.985,2771.650,350.246,0.886,44.661,10.157,4.397,11.16,348.672,1077.968,1770.555,2189.404,2918.229,3471.338,624.533,28.021,-2.648,,
HFC_17.wav,84.583,82.83,101.40,101.398,75.662,25.736,99.119,54.940,21.697,1.204,18.02413664355735,294.222,398.453,1128.202,297.534,1.661,53.070,9.630,5.511,17.58,347.852,1075.135,1684.167,2094.509,2813.767,3373.105,605.051,28.923,-1.790,,
HFC_18.wav,88.920,84.67,85.18,97.526,84.668,12.859,90.454,81.948,0,0,--undefined--,318.147,350.238,398.259,342.070,1.018,65.631,9.333,7.032,20.36,347.883,997.963,1701.246,2143.849,2864.191,3420.589,614.541,28.477,0.445,,
HFC_19.wav,93.861,90.01,89.02,102.420,83.233,19.186,20.227,72.758,54.683,3.707,14.750292368496137,296.905,384.054,576.206,370.418,0.944,51.068,9.003,5.672,18.09,371.830,873.444,1464.507,1909.766,2597.658,3252.443,576.123,30.375,-0.490,,
HFC_20.wav,92.284,88.22,86.44,105.594,84.649,20.945,30.533,58.816,41.099,2.548,16.127467866569834,347.497,367.583,408.090,346.279,0.981,47.921,6.626,7.233,20.06,357.007,958.290,1621.838,2062.815,2741.978,3237.940,576.187,30.372,-0.389,,
HFC_21.wav,94.566,95.33,88.69,95.717,88.455,7.261,48.541,16.584,15.608,4.887,3.194136122586974,354.753,426.835,1193.709,360.790,0.512,29.262,9.773,2.994,17.78,379.878,812.443,1471.953,1950.795,2608.095,3256.047,575.234,30.422,-1.799,,
HFC_22.wav,96.739,90.61,76.09,104.977,76.089,28.888,14.330,52.677,51.339,3.232,15.885766775215254,288.559,375.884,466.521,371.176,1.392,32.877,8.259,3.981,18.87,367.390,921.458,1544.732,2001.626,2717.594,3332.522,593.026,29.510,-0.265,,
HFC_23.wav,92.175,92.63,84.02,107.450,74.513,32.937,35.956,84.602,67.140,2.778,24.167943206016254,276.669,383.390,701.530,261.442,1.440,26.736,8.681,3.080,18.19,351.728,1072.268,1694.596,2232.243,2963.731,3540.461,637.747,27.440,-0.442,,
HFC_24.wav,94.237,104.10,89.93,106.714,89.664,17.050,36.565,46.564,24.331,1.135,21.43104725799259,338.107,386.747,580.367,355.304,0.881,36.250,7.380,4.912,16.55,377.312,1021.792,1527.360,2134.193,2872.703,3307.184,585.974,29.865,-0.459,,
HFC_25.wav,88.845,70.80,80.23,105.571,70.799,34.772,75.763,101.620,38.823,0,--undefined--,299.938,372.577,962.423,347.830,0.865,62.216,9.827,6.331,10.23,344.150,1102.978,1701.270,2245.174,2909.553,3416.053,614.381,28.484,-1.482,,
