file, Mean F0 (Hz),Start F0 (Hz),End F0 (Hz),Max F0 (Hz),Min F0 (Hz),Range F0 (Hz),Time max F0 (%),F0 Abs Slope,F0 var (Hz/s),FM Rate (s-1),FM Extent (Hz),Q25% (Hz),Q50% (Hz),Q75% (Hz),Fpeak (Hz),Sound duration (s), AM var (dB/s), AM rate (s-1), AM extent (dB),Harmonicity, F1 mean (Hz),F2 mean (Hz),F3 mean (Hz),F4 mean (Hz),F5 mean (Hz),F6 mean (Hz),formant dispersal (Hz),vocal tract length (cm),mean wiener entropy,Comment,Duration(s),Start
HFC_01.wav,90.534,91.01,82.62,107.165,81.747,25.418,30.605,52.801,51.480,4.190,12.286761842744594,243.806,324.639,857.101,255.869,1.313,32.538,8.761,3.714,13.10,295.053,1078.613,1566.910,2110.473,2808.903,3384.201,617.830,28.325,-1.307,,1.313,11:01:01
HFC_02.wav,87.369,103.63,88.04,106.032,74.783,31.249,8.847,82.126,66.177,3.008,21.997779509705143,331.176,345.222,374.291,330.363,1.163,42.034,7.736,5.434,20.38,338.892,854.421,1465.290,2031.797,2687.872,3272.205,586.663,29.830,-0.912,,1.163,11:01:04
HFC_03.wav,95.504,96.22,88.41,108.589,80.324,28.265,49.453,65.678,63.197,4.160,15.190564705081183,251.311,346.731,532.872,345.333,0.961,58.329,14.561,4.006,7.51,349.910,1226.214,1788.816,2207.406,2909.763,3461.522,622.322,28.120,0.180,,0.961,11:01:05
HFC_04.wav,96.703,93.02,107.82,108.693,83.524,25.169,92.690,111.255,96.724,4.648,20.807712960469285,322.705,376.765,894.611,336.361,0.645,58.976,8.522,6.920,12.16,344.529,944.525,1777.285,2201.065,2962.729,3392.437,609.582,28.708,-1.733,,0.645,11:01:12
HFC_05.wav,89.900,88.65,91.95,94.965,85.158,9.808,81.714,41.734,30.607,3.674,8.331288146898416,300.788,400.472,1017.969,369.542,0.544,58.358,10.103,5.776,7.70,348.188,1080.485,1612.444,2132.237,2794.111,3302.706,590.904,29.616,-1.324,,0.544,11:01:28
HFC_06.wav,77.178,93.37,84.94,93.370,70.737,22.633,2.352,79.864,75.950,3.254,23.340339142601955,301.765,427.991,1511.385,334.276,0.615,38.059,7.322,5.198,6.71,401.179,927.420,1577.892,2178.958,2819.921,3343.350,588.434,29.740,-1.440,,0.615,11:01:29
HFC_07.wav,79.802,81.78,79.07,87.325,71.142,16.183,28.318,52.515,50.749,4.790,10.59553542994357,343.652,437.154,1917.351,338.535,0.940,16.247,9.579,1.696,10.30,352.937,1128.674,1785.182,2260.824,2932.178,3313.663,592.145,29.554,-2.921,,0.940,11:01:30
HFC_08.wav,86.081,103.45,87.51,104.955,79.352,25.604,4.593,63.640,61.982,6.079,10.195362506285269,273.193,374.105,720.730,350.467,1.234,46.047,12.969,3.550,5.07,351.118,970.518,1609.665,2053.290,2702.338,3330.560,595.888,29.368,-0.538,,1.234,11:01:32
HFC_09.wav,78.957,85.61,81.00,93.555,70.820,22.735,22.941,44.756,43.563,2.827,15.409659200882796,289.369,483.985,4472.441,279.180,1.238,29.411,12.923,2.276,11.88,317.371,1016.760,1588.033,2169.838,2825.866,3382.872,613.100,28.543,-3.353,,1.238,11:01:34
HFC_10.wav,86.811,103.05,86.81,105.618,74.752,30.866,4.664,76.868,74.269,4.668,15.91179735083912,268.178,359.058,526.657,360.862,1.071,33.991,11.669,2.913,15.00,340.115,943.914,1581.858,2100.353,2810.534,3323.946,596.766,29.325,-0.011,,1.071,11:01:37
HFC_11.wav,92.256,79.26,82.83,107.541,79.260,28.281,49.681,71.340,68.915,1.485,46.3922949968715,322.194,371.892,631.123,335.601,1.010,78.867,5.447,14.480,15.17,335.022,1029.945,1652.682,2179.583,2882.033,3386.161,610.228,28.678,-0.410,,1.010,11:01:47
HFC_12.wav,91.980,85.77,84.10,105.496,83.309,22.187,28.631,70.993,51.115,1.499,34.10990601918218,349.717,488.802,2232.689,355.419,1.001,42.201,3.497,12.069,19.71,336.910,1002.479,1779.430,2157.727,2904.852,3308.223,594.263,29.448,-2.745,,1.001,11:02:02
HFC_13.wav,96.045,97.32,91.52,107.836,86.669,21.167,15.978,30.552,29.198,3.350,8.716661935850821,379.019,393.137,426.393,377.787,1.940,39.723,6.699,5.929,24.40,375.022,824.704,1607.262,2356.172,2922.723,3451.850,615.366,28.438,-0.754,,1.941,11:02:25
HFC_14.wav,96.014,99.72,85.73,106.134,83.036,23.098,7.126,40.112,38.493,3.944,9.759650342054112,357.608,437.471,990.450,371.223,1.014,35.699,7.888,4.526,14.96,384.361,919.424,1594.284,2082.845,2773.086,3320.611,587.250,29.800,-0.758,,1.014,11:13:11
HFC_15.wav,92.317,99.97,88.86,100.017,88.225,11.792,14.156,64.846,38.299,5.694,6.725922231050256,342.160,358.374,387.512,347.806,0.615,71.735,7.321,9.798,16.78,347.705,871.613,1710.908,2270.798,2966.024,3415.114,613.482,28.526,-0.121,,0.615,11:14:27
LFC_01.wav,85.761,101.56,88.10,105.519,73.267,32.253,8.513,105.882,99.937,5.024,19.89000647358019,255.071,356.339,615.735,350.873,0.597,34.236,8.374,4.088,10.67,351.926,1086.885,1644.105,2328.242,3013.713,3568.319,643.279,27.204,0.064,,0.597,11:13:03
LFC_02.wav,91.234,90.38,86.39,104.536,84.795,19.742,23.134,73.272,69.309,6.115,11.334548452669317,273.014,349.775,549.767,333.122,0.654,70.123,6.115,11.468,13.02,334.812,868.629,1632.107,2144.033,2936.474,3477.519,628.541,27.842,0.548,,0.654,11:19:58
LFC_03.wav,98.562,96.17,97.01,100.514,95.743,4.771,67.882,25.377,23.040,2.680,8.597869429705923,287.260,474.313,3261.021,298.046,0.373,36.538,5.359,6.817,8.53,365.901,1032.830,1684.174,2177.509,2973.206,3418.993,610.618,28.659,-2.867,,0.373,11:20:05
