file, Mean F0 (Hz),Start F0 (Hz),End F0 (Hz),Max F0 (Hz),Min F0 (Hz),Range F0 (Hz),Time max F0 (%),F0 Abs Slope,F0 var (Hz/s),FM Rate (s-1),FM Extent (Hz),Q25% (Hz),Q50% (Hz),Q75% (Hz),Fpeak (Hz),Sound duration (s), AM var (dB/s), AM rate (s-1), AM extent (dB),Harmonicity, F1 mean (Hz),F2 mean (Hz),F3 mean (Hz),F4 mean (Hz),F5 mean (Hz),F6 mean (Hz),formant dispersal (Hz),vocal tract length (cm),mean wiener entropy,Comment
HFC_01.wav,97.121,73.29,89.11,109.158,73.29,35.868,46.538,137.44,85.915,1.567,54.81817402789627,188.35,312.604,378.115,334.749,0.957,67.14,10.971,6.12,8.51,308.73,1070.267,1748.644,2259.428,2901.889,3411.717,620.597,28.199,0.211,
HFC_02.wav,85.296,76.04,85.37,101.877,74.881,26.996,30.375,132.466,117.258,3.451,33.976680302850006,218.351,296.336,432.858,348.861,0.724,71.013,7.592,9.353,6.21,326.29,850.358,1737.158,2179.589,2896.759,3363.653,607.473,28.808,0.677,
HFC_03.wav,87.077,91.7,76.39,104.783,73.968,30.815,36.955,93.201,54.296,2.789,19.467396557046715,236.82,324.904,395.335,349.04,1.076,46.344,13.016,3.561,9.57,344.186,1031.649,1817.745,2278.385,2973.646,3424.596,616.082,28.405,0.441,
HFC_04.wav,87.991,72.09,81.23,104.438,72.089,32.349,52.589,87.361,74.456,1.986,37.48247700001578,248.374,329.62,428.827,327.985,0.755,57.789,9.932,5.818,7.12,337.882,1063.019,1715.906,2245.822,2960.415,3441.419,620.707,28.194,0.407,
HFC_05.wav,88.127,85.77,92.03,104.669,79.913,24.756,19.205,89.346,84.056,3.657,22.985762369325226,242.129,320.772,415.697,342.891,0.957,39.152,12.015,3.258,11.63,333.093,968.855,1617.071,2081.23,2809.408,3292.822,591.946,29.564,0.037,
HFC_06.wav,90.052,73.06,74.32,108.582,73.058,35.524,43.072,136.808,129.16,2.577,50.12691540748408,239.25,325.807,423.432,343.238,0.97,45.691,10.307,4.433,8.95,335.547,991.708,1783.761,2271.686,2937.522,3283.665,589.624,29.68,0.583,se adu 3 ciocnituri pe fundal
HFC_07.wav,84.512,74.16,82.72,90.177,74.158,16.018,56.741,64.824,54.895,2.301,23.859833434990207,154.498,330.209,976.549,333.936,0.435,46.75,10.353,4.515,6.3,323.018,1092.74,1689.366,2317.496,3020.728,3521.563,639.709,27.356,-1.433,
HFC_08.wav,93.177,86.48,91.38,106.304,86.188,20.116,21.813,58.042,44.236,2.101,21.052229186105933,281.364,364.893,511.485,358.802,1.19,34.445,6.304,5.464,19.46,363.202,1005.633,1746.685,2297.357,2849.355,3340.634,595.486,29.388,-0.234,
HFC_09.wav,91.884,71.61,76.73,106.565,71.612,34.953,39.869,124.843,90.637,2.712,33.426075307032534,201.554,306.33,406.891,336.299,0.922,49.36,11.389,4.334,9.29,315.918,975.602,1741.567,2322.592,2998.557,3526.162,642.049,27.256,0.373,zgomot pe fundal
HFC_10.wav,91.598,74.57,74.63,106.856,73.577,33.279,27.128,76.063,61.584,1.442,42.71853264717216,237.58,353.402,450.262,359.422,1.04,52.889,8.65,6.115,9.55,349.653,899.073,1648.742,2141.112,2822.778,3369.039,603.877,28.979,-0.044,
