file, Mean F0 (Hz),Start F0 (Hz),End F0 (Hz),Max F0 (Hz),Min F0 (Hz),Range F0 (Hz),Time max F0 (%),F0 Abs Slope,F0 var (Hz/s),FM Rate (s-1),FM Extent (Hz),Q25% (Hz),Q50% (Hz),Q75% (Hz),Fpeak (Hz),Sound duration (s), AM var (dB/s), AM rate (s-1), AM extent (dB),Harmonicity, F1 mean (Hz),F2 mean (Hz),F3 mean (Hz),F4 mean (Hz),F5 mean (Hz),F6 mean (Hz),formant dispersal (Hz),vocal tract length (cm),mean wiener entropy,Comment,Column1
LFC_01.wav,96.783,106.53,79.05,108.186,79.053,29.133,14.324,187.817,177.884,6.109,29.119445415063563,388.634,1152.148,2318.709,332.064,0.573,26.044,9.599,2.713,5.89,414.378,1048.422,1760.605,2168.449,2843.666,3353.166,587.758,29.774,-0.988,,
LFC_02.wav,85.912,85.76,98.0,102.371,70.621,31.75,44.855,63.192,57.11,2.214,25.789269643316338,337.405,405.939,498.32,413.135,1.58,49.088,5.062,9.698,17.03,387.231,766.72,1577.356,2122.891,2838.648,3368.017,596.157,29.355,-0.106,,
LFC_03.wav,104.293,99.4,96.05,109.229,84.228,25.001,49.943,71.872,67.468,2.874,23.473772956879856,319.569,390.034,1189.732,320.54,0.696,47.707,5.03,9.485,15.57,350.531,966.252,1665.414,2139.916,2710.012,3281.498,586.193,29.854,-1.510,,
LFC_04.wav,89.833,94.09,104.39,105.669,80.069,25.6,30.586,84.168,81.004,7.438,10.891209637371794,302.662,366.289,605.801,322.879,1.076,44.143,12.551,3.517,9.75,359.658,866.927,1587.505,2156.371,2816.11,3322.443,592.557,29.533,-0.069,,
LFC_05.wav,98.014,82.0,88.36,104.834,81.137,23.697,41.46,56.071,44.812,2.859,15.673198758554122,311.102,938.909,2945.38,384.239,1.049,40.187,12.866,3.124,3.99,388.649,1059.157,1720.297,2191.76,2870.788,3354.395,593.149,29.504,-1.339,,
LFC_06.wav,99.872,92.92,91.53,105.54,91.526,14.014,69.82,31.139,21.965,2.689,8.168920734442452,375.759,635.811,3798.808,389.35,1.302,55.61,5.762,9.652,10.98,394.879,960.353,1656.302,2133.809,2837.845,3378.842,596.793,29.323,-2.542,,
LFC_07.wav,89.455,84.95,92.11,92.11,84.952,7.158,98.141,21.32,8.883,1.872,4.744988206397257,330.05,378.981,556.244,350.62,0.801,49.067,3.744,13.105,20.81,369.026,821.228,1526.338,2005.583,2719.074,3180.233,562.242,31.125,-0.385,,
LFC_08.wav,104.722,104.55,98.74,107.715,97.13,10.585,49.722,31.693,29.756,2.883,10.320328347743233,288.422,877.789,3351.843,306.004,0.52,41.375,9.611,4.305,7.6,330.047,1109.694,1606.726,2168.445,2896.493,3356.671,605.325,28.91,-2.242,,
LFC_09.wav,98.448,100.54,79.96,106.885,79.962,26.923,64.911,51.691,46.899,4.622,10.146219566267115,359.777,532.494,2282.278,392.294,1.947,49.484,6.42,7.708,11.63,388.696,1113.125,1616.015,2115.933,2893.662,3376.292,597.519,29.288,-1.969,,
LFC_10.wav,83.209,72.22,76.83,98.308,70.821,27.486,64.979,72.883,58.534,5.23,11.192998321994438,293.557,527.379,3724.274,265.965,1.721,45.543,11.912,3.823,10.21,352.543,1116.236,1795.749,2326.809,2851.133,3337.282,596.948,29.316,-2.189,,
LFC_11.wav,84.031,80.98,78.6,85.865,78.598,7.266,86.729,22.251,5.191,2.854,1.8187909495893564,176.8,281.102,423.14,348.789,0.876,46.203,9.134,5.058,12.59,288.134,782.992,1549.933,2048.738,2759.813,3245.73,591.519,29.585,0.187,,
LFC_12.wav,89.74,73.86,85.21,105.959,73.864,32.095,26.312,76.696,74.788,4.261,17.55144428844451,279.898,357.669,499.983,348.429,1.291,74.588,10.459,7.131,12.21,337.543,957.202,1549.232,2115.569,2845.384,3382.386,608.969,28.737,0.143,,
LFC_13.wav,97.002,88.79,78.09,106.759,78.091,28.668,76.695,117.43,108.647,2.964,36.65976839718145,294.369,336.963,509.616,301.556,1.181,79.82,4.657,17.139,12.92,348.978,862.299,1591.013,2189.177,2805.851,3382.868,606.778,28.841,-0.198,,
LFC_14.wav,84.547,74.38,75.25,92.049,74.378,17.671,79.729,48.543,25.865,5.452,4.7440833458644125,247.34,321.317,449.174,361.434,0.825,50.169,6.664,7.529,15.68,309.518,883.875,1527.782,2034.307,2841.754,3347.546,607.606,28.802,0.011,,
LFC_15.wav,89.665,84.76,84.26,92.759,84.255,8.503,59.073,39.055,11.616,2.74,4.240023901223005,316.51,366.725,528.482,345.921,1.278,63.452,11.741,5.404,12.51,361.96,937.596,1476.544,1960.022,2748.346,3262.669,580.142,30.165,0.045,,
LFC_16.wav,84.428,77.06,84.88,92.216,77.064,15.152,73.39,49.527,39.044,3.947,9.893103210603382,279.652,398.707,1486.539,353.3,0.887,47.394,10.712,4.424,12.74,329.195,959.757,1559.898,2109.591,2869.634,3377.137,609.588,28.708,-1.949,,
LFC_17.wav,102.336,82.2,77.9,109.765,77.904,31.862,49.716,47.275,45.993,1.139,40.38473603860965,298.633,405.597,1876.523,314.041,1.317,57.634,8.352,6.901,12.62,321.323,957.95,1593.449,1982.751,2718.526,3296.976,595.13,29.405,-1.920,unvoiced,
LFC_18.wav,88.616,83.8,85.15,91.442,82.18,9.262,60.345,41.564,24.551,4.284,5.730506660844223,327.068,362.785,438.208,343.338,0.7,75.341,6.426,11.724,12.87,351.731,785.42,1495.862,2019.385,2795.122,3356.721,600.998,29.118,-0.025,,
LFC_19.wav,86.866,84.38,75.72,89.15,75.719,13.431,89.981,31.791,12.507,2.04,6.131569502307087,345.85,350.953,359.031,341.493,0.735,42.632,4.08,10.45,23.29,345.846,634.874,1366.933,1943.161,2831.446,3318.933,594.617,29.431,-1.243,unvoiced,
LFC_20.wav,102.406,82.27,84.88,108.705,82.27,26.435,46.284,37.565,36.588,0.728,50.27729692667805,324.952,337.614,358.203,324.175,1.374,47.798,7.277,6.568,19.86,336.846,769.86,1456.198,1990.198,2814.728,3341.004,600.832,29.126,-0.676,very unvoiced,
LFC_21.wav,81.609,85.27,83.41,102.896,70.926,31.969,27.494,61.273,48.898,3.156,15.492362395864179,202.667,347.806,951.973,292.604,1.901,27.537,8.68,3.173,19.45,309.057,975.802,1533.03,2127.503,2809.098,3266.826,591.554,29.583,-1.578,,
LFC_22.wav,83.03,76.68,93.99,103.304,71.05,32.254,40.295,86.233,77.026,2.968,25.954285389393863,314.628,612.089,4831.26,395.501,1.348,41.53,9.274,4.478,9.43,364.85,1066.64,1590.626,2129.56,2903.176,3476.526,622.335,28.12,-3.689,,
LFC_23.wav,87.694,102.74,106.31,106.552,73.285,33.267,98.412,78.143,69.675,5.41,12.879776988569102,328.087,441.271,2519.751,342.428,1.756,48.475,12.243,3.959,9.22,351.165,854.691,1605.659,2179.526,2924.756,3404.482,610.663,28.657,-3.301,,
LFC_24.wav,95.878,99.61,79.06,103.042,77.597,25.445,48.079,81.028,79.578,3.758,21.17711981292191,331.767,413.022,716.593,383.327,1.73,70.941,7.226,9.817,9.34,383.491,910.251,1538.295,2145.111,2887.684,3354.029,594.108,29.456,-0.401,,
LFC_25.wav,98.328,89.78,74.7,107.477,74.695,32.782,47.433,79.021,46.337,1.958,23.665832546903573,219.035,356.331,1527.884,202.284,0.766,45.568,4.569,9.974,14.61,274.438,1084.525,1736.87,2156.599,2842.879,3310.265,607.165,28.822,-2.229,,
LFC_26.wav,78.453,72.63,100.11,100.291,71.498,28.793,14.424,121.069,112.367,5.034,22.32245968990717,227.508,332.168,468.216,336.767,0.795,40.327,9.438,4.273,5.59,339.929,820.226,1480.691,2069.272,2797.256,3356.804,603.375,29.004,0.185,,
LFC_27.wav,94.99,88.57,84.1,108.149,75.721,32.428,28.402,70.88,63.856,1.655,38.57616161794881,303.377,390.64,1327.542,319.481,1.51,53.822,10.925,4.926,10.1,350.346,902.381,1485.093,2100.615,2868.905,3359.278,601.786,29.08,-1.867,unvoiced,
LFC_28.wav,85.74,85.11,79.51,103.841,72.556,31.285,20.157,115.209,111.304,4.328,25.71611855257623,272.944,366.414,922.174,337.983,0.924,57.782,9.738,5.933,9.98,333.014,917.977,1548.302,2213.509,2978.88,3459.775,625.352,27.984,-1.444,,
LFC_29.wav,82.348,84.66,93.45,93.454,74.216,19.238,94.155,63.027,56.143,4.872,11.522958396256186,178.017,244.854,417.837,238.438,0.821,34.113,7.308,4.668,10.94,271.715,1031.303,1765.576,2305.263,2945.355,3435.984,632.854,27.653,0.509,,
LFC_30.wav,88.439,86.66,87.16,91.956,78.498,13.458,51.044,46.561,32.99,1.305,25.273646123465937,230.438,350.868,589.211,351.089,0.766,35.88,11.095,3.234,8.7,343.302,899.812,1575.037,2129.39,2893.801,3419.382,615.216,28.445,0.092,,
LFC_31.wav,86.201,87.71,87.54,103.765,73.137,30.628,16.659,76.983,74.107,2.318,31.96513718082204,247.761,302.166,428.204,336.422,0.863,51.664,12.171,4.245,10.64,306.397,866.161,1494.46,2058.915,2860.073,3367.058,612.132,28.589,0.160,,
LFC_32.wav,95.937,79.56,80.86,101.842,79.562,22.279,42.396,77.161,71.604,0.844,84.87935212167761,280.721,376.138,858.697,309.981,0.593,35.962,5.905,6.09,8.6,358.302,1060.168,1704.805,2427.319,3011.81,3523.912,633.122,27.641,-0.924,,
LFC_33.wav,107.773,109.02,103.62,109.019,103.616,5.403,9.326,22.42,16.162,2.847,5.676448813202981,306.266,1218.627,7675.313,314.998,0.351,20.925,8.542,2.45,8.65,331.288,986.889,1694.0,2111.488,2864.808,3408.534,615.449,28.435,-3.960,,
LFC_34.wav,92.886,106.27,80.63,106.27,74.881,31.389,4.309,86.09,74.315,3.01,24.687354349965304,286.785,348.318,1291.711,291.017,0.997,51.826,8.529,6.076,13.34,319.399,982.117,1615.347,2109.664,2865.861,3343.507,604.822,28.934,-2.150,,
LFC_35.wav,89.323,86.39,98.4,98.4,86.385,12.015,97.619,66.528,0.55,0.0,--undefined--,268.445,373.276,1108.57,333.396,0.63,48.918,5.556,8.805,12.02,291.486,1017.319,1631.122,2135.561,2952.986,3473.017,636.306,27.502,-2.179,,
LFC_36.wav,88.811,78.68,83.53,94.456,78.68,15.775,55.145,35.576,34.183,2.958,11.55570057521685,236.881,302.608,728.812,266.172,0.845,75.31,8.874,8.486,7.93,294.894,940.072,1578.424,2159.874,2794.012,3405.338,622.089,28.131,-0.747,unvoiced,
LFC_37.wav,80.464,97.61,90.04,103.015,70.701,32.314,13.391,63.746,61.613,4.046,15.229062974590807,224.83,367.559,966.738,254.026,1.236,32.033,5.259,6.091,15.94,315.236,1115.35,1612.915,2154.185,2776.523,3370.344,611.022,28.641,-1.867,,
LFC_38.wav,75.933,73.57,76.32,77.27,73.135,4.135,59.881,20.215,13.111,3.835,3.419125228481448,272.669,348.108,1381.135,291.623,0.652,47.294,6.902,6.852,10.31,317.821,928.742,1558.168,2065.063,2888.805,3337.171,603.87,28.98,-2.150,,
LFC_39.wav,77.993,75.61,88.08,88.08,71.181,16.899,99.027,29.862,14.419,1.529,9.43225108970114,260.72,343.677,744.63,305.88,1.635,26.047,5.503,4.733,20.26,307.842,1129.055,1666.959,2217.971,2822.089,3376.52,613.736,28.514,-1.089,,
LFC_40.wav,79.024,96.59,85.67,96.867,71.86,25.007,36.306,64.968,23.092,1.212,19.059477422370506,299.076,399.3,1656.325,303.193,1.651,23.487,7.572,3.102,18.87,301.29,1162.066,1776.698,2101.736,2815.861,3336.43,607.028,28.829,-2.201,,
LFC_41.wav,106.376,109.64,83.29,109.639,83.294,26.345,7.477,47.54,31.065,2.958,10.501660400699144,300.456,360.346,814.614,332.15,0.676,38.07,5.177,7.354,10.03,330.278,1090.081,1739.302,2181.553,2877.681,3401.951,614.335,28.486,-1.400,unvoiced,
LFC_42.wav,82.057,89.02,98.43,98.425,73.755,24.67,99.162,45.114,27.756,3.022,9.183578114297688,143.713,337.698,1503.692,312.205,1.82,48.442,15.112,3.206,8.38,307.907,1113.591,1768.135,2218.908,2885.04,3453.985,629.216,27.812,-1.929,,
LFC_43.wav,81.228,72.5,72.88,83.363,72.5,10.863,49.581,21.535,15.201,3.796,4.004182725775902,206.019,437.682,5013.833,239.327,1.185,27.315,13.076,2.089,14.33,252.847,971.823,1798.299,2167.193,3020.87,3491.365,647.704,27.019,-4.060,,
LFC_44.wav,89.336,83.37,91.08,93.799,83.335,10.464,14.037,39.166,26.98,3.245,8.313602195018174,10.665,35.058,137.919,189.978,1.233,97.933,7.708,12.706,17.15,262.11,1002.135,1816.28,2202.088,2965.41,3443.324,636.243,27.505,--undefined--,,
LFC_45.wav,91.536,81.05,92.71,103.108,78.418,24.69,24.645,53.335,44.707,0.674,66.34154681361012,286.454,427.7,1857.842,301.978,1.484,27.733,3.033,9.145,20.18,279.096,1085.534,1701.363,2137.904,2867.378,3373.514,618.884,28.277,-2.550,very unvoiced,
LFC_46.wav,83.547,85.99,80.53,104.072,73.824,30.248,25.146,122.824,118.068,3.961,29.805166043137557,257.206,322.585,382.393,334.279,0.757,51.1,11.884,4.3,12.22,331.06,758.878,1411.227,2021.17,2843.256,3277.27,589.242,29.699,0.016,,
LFC_47.wav,81.909,81.27,84.24,85.701,76.846,8.855,88.187,49.111,19.43,2.099,9.255593912368596,199.188,300.271,581.088,235.605,0.476,18.391,13.645,1.348,8.47,311.576,830.798,1452.988,1921.032,2830.132,3268.132,591.311,29.595,0.013,,
LFC_48.wav,84.956,75.16,78.09,95.086,75.156,19.929,82.145,61.301,14.686,0.883,16.634479492012147,236.033,367.165,644.704,368.303,1.133,28.075,11.036,2.544,6.8,347.327,947.751,1471.915,1968.899,2792.02,3261.791,582.893,30.023,-0.001,,
LFC_49.wav,92.521,72.9,79.43,106.474,72.841,33.633,76.591,56.883,52.061,1.79,29.085365732289958,265.597,441.493,4093.469,297.008,1.117,43.665,12.082,3.614,8.88,307.666,1000.936,1660.609,2145.747,2837.865,3352.161,608.899,28.74,-3.329,,
LFC_50.wav,87.01,85.28,81.67,102.682,78.081,24.602,37.142,73.999,72.197,4.19,17.231345621506694,216.551,341.876,1372.347,243.639,1.313,32.788,6.475,5.064,13.42,273.81,1100.979,1749.375,2158.253,2874.365,3346.551,614.548,28.476,-2.081,,
LFC_51.wav,89.929,85.47,86.29,102.784,78.567,24.216,11.173,33.969,32.39,1.321,24.515539415058555,246.089,345.277,867.864,289.223,1.892,25.4,7.663,3.315,20.35,304.644,1033.842,1629.978,2022.299,2778.042,3270.925,593.256,29.498,-1.367,very unvoiced,
LFC_52.wav,87.012,77.19,78.79,103.971,75.294,28.677,36.277,81.43,56.744,1.919,29.561955890609067,223.95,317.914,844.781,229.781,1.563,33.728,5.439,6.202,19.25,273.389,1104.84,1727.299,2171.789,2858.701,3387.641,622.85,28.097,-1.566,,
