file, Mean F0 (Hz),Start F0 (Hz),End F0 (Hz),Max F0 (Hz),Min F0 (Hz),Range F0 (Hz),Time max F0 (%),F0 Abs Slope,F0 var (Hz/s),FM Rate (s-1),FM Extent (Hz),Q25% (Hz),Q50% (Hz),Q75% (Hz),Fpeak (Hz),Sound duration (s), AM var (dB/s), AM rate (s-1), AM extent (dB),Harmonicity, F1 mean (Hz),F2 mean (Hz),F3 mean (Hz),F4 mean (Hz),F5 mean (Hz),F6 mean (Hz),formant dispersal (Hz),vocal tract length (cm),mean wiener entropy,Comment,
HFC_01.wav,87.084,85.95,81.14,102.881,73.267,29.614,24.915,91.095,85.746,5.372,15.961580328373845,278.941,332.723,463.773,309.284,0.931,74.772,6.984,10.707,13.04,323.089,810.526,1518.598,1962.488,2767.862,3302.884,595.959,29.364,-0.296,,
HFC_02.wav,87.650,87.65,79.70,103.358,74.696,28.662,20.143,118.682,113.668,4.648,24.45271505105054,288.917,345.013,451.881,331.440,0.860,76.592,9.878,7.754,10.70,337.587,793.866,1468.193,1955.876,2778.305,3326.171,597.717,29.278,-0.065,,
HFC_03.wav,88.974,75.02,82.50,100.500,75.023,25.477,68.150,67.841,62.365,2.071,30.11808243070031,301.067,381.772,1388.089,324.596,0.724,74.176,7.592,9.770,9.65,341.678,1012.548,1569.612,2101.309,2780.987,3339.643,599.593,29.186,-1.816,,
HFC_04.wav,84.117,83.93,83.39,84.598,83.392,1.206,48.879,6.922,1.998,2.608,0.7659226149385839,319.608,347.967,472.946,327.041,0.575,70.383,7.824,8.995,15.34,336.783,718.637,1483.953,2170.043,2945.971,3451.388,622.921,28.093,-0.341,,
HFC_05.wav,94.600,80.63,86.90,108.178,78.437,29.741,62.641,68.688,65.846,2.979,22.10628794050003,298.095,428.952,1803.910,323.259,2.854,31.839,9.637,3.304,16.97,338.800,1088.154,1720.231,2263.523,2911.611,3386.383,609.516,28.711,-2.908,,
HFC_06.wav,95.559,94.75,102.92,107.195,84.975,22.220,31.056,101.533,97.673,3.635,26.872137168413047,310.380,366.167,835.549,329.875,0.825,56.385,10.298,5.475,14.06,341.827,924.586,1610.454,2149.290,2940.963,3456.106,622.856,28.096,-1.284,,
HFC_07.wav,84.821,72.45,89.01,91.937,72.446,19.492,83.289,27.011,24.819,1.759,14.11038296580589,341.678,382.176,598.554,351.634,1.137,43.224,7.475,5.782,14.71,345.601,992.500,1584.519,2112.197,2815.399,3306.733,592.226,29.550,-0.312,,
HFC_08.wav,101.794,84.45,80.74,109.377,80.740,28.637,66.915,54.937,32.361,0.463,69.9013424297251,314.406,331.919,383.691,317.162,1.080,44.434,4.630,9.598,21.96,337.540,942.468,1631.713,2171.075,2870.712,3296.886,591.869,29.567,-0.567,,
HFC_09.wav,86.763,85.03,85.40,105.591,78.065,27.525,14.583,54.732,53.463,3.751,14.253928721347618,295.386,359.748,703.812,328.951,1.466,52.495,12.616,4.161,11.00,338.360,962.962,1560.749,1972.780,2774.784,3309.020,594.132,29.455,-0.904,unvoiced,
HFC_10.wav,83.503,88.70,90.82,96.573,72.242,24.331,35.208,40.162,22.410,2.054,10.909982362035253,290.297,383.957,1286.922,305.563,2.191,33.477,10.955,3.056,16.14,324.937,1088.871,1673.335,2145.578,2746.390,3306.764,596.365,29.344,-1.905,,
HFC_11.wav,90.589,85.83,74.05,107.257,74.048,33.209,36.023,68.509,66.097,1.734,38.111673769078585,310.209,349.662,431.951,336.478,0.865,73.687,12.140,6.070,10.82,347.991,962.529,1519.321,2075.821,2773.820,3324.281,595.258,29.399,-0.159,,
HFC_12.wav,93.321,101.20,83.31,105.700,83.251,22.449,12.759,48.853,47.176,4.458,10.581773283585976,347.643,403.207,832.373,360.037,1.234,51.542,12.564,4.102,12.92,365.561,1029.334,1462.315,2050.230,2765.735,3248.344,576.557,30.353,-1.306,,
HFC_13.wav,92.344,98.01,91.70,101.911,76.064,25.847,10.029,100.993,91.013,2.712,33.564430490210505,350.529,410.243,717.811,363.052,0.922,38.041,10.304,3.692,10.52,373.345,899.774,1528.107,2021.033,2627.810,3133.941,552.119,31.696,-0.896,,
HFC_14.wav,79.481,87.68,86.98,91.634,73.253,18.381,94.005,44.386,12.179,1.080,11.281638379176457,298.284,411.181,1680.971,306.318,1.853,36.777,8.366,4.396,16.09,325.657,1133.805,1711.709,2173.248,2803.364,3322.435,599.356,29.198,-2.247,,
HFC_15.wav,90.076,75.81,81.64,108.712,75.812,32.900,56.206,78.341,68.117,2.453,27.76929135135842,207.749,269.662,366.698,216.448,1.427,19.136,10.863,1.762,17.90,290.788,891.953,1612.442,2231.230,2884.871,3417.623,625.367,27.984,-0.028,,
HFC_16.wav,94.063,97.03,84.68,107.688,84.680,23.007,34.850,60.341,46.163,1.714,26.92595644344144,303.332,413.351,1279.140,356.627,2.041,19.373,10.042,1.929,19.67,327.062,1187.887,1620.177,2168.089,2913.968,3259.679,586.523,29.837,-2.120,,
LFC_01.wav,91.425,92.49,105.59,105.658,77.351,28.307,25.754,111.251,104.968,3.950,26.575273586207114,327.620,361.337,480.475,338.882,0.760,69.393,11.850,5.856,13.07,341.549,673.901,1444.816,2009.252,2863.715,3400.772,611.844,28.602,-0.599,,
LFC_02.wav,90.021,92.86,73.43,96.345,73.432,22.913,16.976,59.721,31.869,2.833,11.24902743389364,10.798,70.458,260.306,177.585,0.882,48.201,7.366,6.544,15.84,277.188,1089.921,1819.590,2225.073,2976.625,3449.977,634.558,27.578,0.500,,
LFC_03.wav,87.439,72.07,79.60,105.466,72.070,33.396,34.520,83.462,75.786,3.336,22.720162340664256,227.616,319.293,429.696,333.999,1.049,37.874,8.101,4.675,12.74,310.908,852.379,1598.217,2213.532,2982.441,3419.205,621.659,28.150,0.722,,
LFC_04.wav,100.320,81.21,98.38,109.284,81.212,28.072,54.577,87.508,45.143,1.275,35.40997168928649,301.005,1038.001,7129.041,321.130,1.177,58.068,11.049,5.256,7.29,345.622,1085.400,1708.843,2191.440,2937.284,3453.962,621.668,28.150,-3.136,,
LFC_05.wav,81.959,95.38,83.09,95.385,76.287,19.098,2.869,79.915,71.043,8.135,8.733118144073606,248.709,349.989,810.754,348.354,0.553,39.599,8.135,4.868,12.17,315.305,895.245,1510.177,2105.694,2877.639,3377.739,612.487,28.572,-0.901,,
LFC_06.wav,79.979,75.73,89.27,102.948,71.014,31.934,59.076,135.310,121.746,4.795,25.38854781935099,221.600,874.776,5028.960,274.002,1.251,54.896,12.388,4.431,4.61,371.778,983.949,1797.902,2344.393,2961.848,3363.164,598.277,29.251,-2.180,,
LFC_07.wav,87.623,72.03,80.50,105.551,72.025,33.525,58.698,79.974,75.836,2.324,32.628566229329266,325.315,355.783,442.185,339.127,1.076,45.586,8.832,5.161,16.66,349.114,967.200,1622.721,2140.037,2891.830,3336.363,597.450,29.291,-0.183,,
LFC_08.wav,90.204,89.99,72.22,105.370,72.223,33.147,11.807,58.664,57.054,3.254,17.53381868150863,148.326,234.093,407.929,182.069,1.076,19.424,7.438,2.612,18.46,259.121,1083.939,1786.929,2202.363,2928.556,3505.309,649.238,26.955,0.403,,
LFC_09.wav,83.260,81.22,81.23,85.964,75.477,10.488,44.039,23.665,21.722,2.531,8.582818167005831,160.261,229.072,305.746,251.511,0.988,22.459,11.642,1.929,19.39,280.069,1024.381,1809.432,2359.346,2938.753,3498.873,643.761,27.184,0.604,,
