file, Mean F0 (Hz),Start F0 (Hz),End F0 (Hz),Max F0 (Hz),Min F0 (Hz),Range F0 (Hz),Time max F0 (%),F0 Abs Slope,F0 var (Hz/s),FM Rate (s-1),FM Extent (Hz),Q25% (Hz),Q50% (Hz),Q75% (Hz),Fpeak (Hz),Sound duration (s), AM var (dB/s), AM rate (s-1), AM extent (dB),Harmonicity, F1 mean (Hz),F2 mean (Hz),F3 mean (Hz),F4 mean (Hz),F5 mean (Hz),F6 mean (Hz),formant dispersal (Hz),vocal tract length (cm),mean wiener entropy,Comment,Duration(s),Start
HFC_01.wav,90.769,85.22,92.76,104.143,85.219,18.925,23.795,78.177,68.148,5.452,12.499381659565472,336.263,348.326,364.182,334.407,0.825,58.215,7.875,7.392,22.62,341.373,726.367,1412.181,1953.206,2743.883,3209.026,573.531,30.513,-1.360,,0.825,08:52:09
HFC_02.wav,91.189,78.81,79.77,107.022,78.813,28.208,41.198,94.096,54.576,1.639,33.30479742834053,333.691,343.819,362.827,331.610,1.220,45.991,5.326,8.636,24.63,336.253,784.716,1467.338,2031.586,2782.364,3274.129,587.575,29.783,-1.537,,1.221,08:52:29
HFC_03.wav,90.895,89.34,74.96,105.529,74.960,30.569,49.513,93.172,37.140,0.982,37.82893376933322,329.449,357.851,434.658,335.025,1.019,64.141,7.854,8.166,18.19,355.258,981.810,1580.793,2135.630,2795.531,3258.507,580.650,30.139,-0.533,,1.019,08:52:41
HFC_04.wav,84.841,76.36,108.49,109.981,70.335,39.646,31.185,133.243,44.597,13.429,3.320907990901967,269.528,575.741,2007.602,287.036,1.936,31.293,9.297,3.366,14.38,294.158,1130.849,1693.219,2167.709,2782.637,3268.521,594.872,29.418,-1.882,unvoiced,1.936,08:52:49
HFC_05.wav,85.263,89.57,75.60,109.902,70.335,39.567,12.339,136.944,39.413,3.835,10.278372207327436,277.276,437.845,1913.843,283.446,1.304,28.028,3.451,8.122,18.45,289.466,1090.873,1720.858,2120.982,2741.575,3206.297,583.366,29.998,-2.376,unvoiced,1.304,08:53:19
HFC_06.wav,85.494,90.08,91.39,106.495,71.735,34.760,19.966,86.833,82.000,2.659,30.840958908787325,273.004,783.015,2379.572,272.056,1.128,21.393,5.761,3.714,16.26,291.189,1120.061,1721.892,2224.442,2798.303,3314.993,604.761,28.937,-1.896,,1.128,08:53:29
HFC_07.wav,86.276,85.28,90.09,108.618,70.336,38.282,20.898,133.714,41.198,7.058,5.8372175452310975,300.577,355.336,745.666,312.380,1.559,36.907,9.304,3.967,18.44,293.633,1132.907,1682.238,2109.582,2766.002,3267.417,594.757,29.424,-1.523,unvoiced,1.559,08:54:18
HFC_08.wav,91.595,87.81,96.22,106.940,85.156,21.784,22.724,42.310,28.064,3.627,7.737425949594992,331.148,353.398,392.165,339.874,2.068,39.105,6.770,5.776,24.73,348.258,821.133,1448.405,1932.673,2786.821,3269.024,584.153,29.958,-1.128,,2.068,08:58:42
HFC_09.wav,88.839,81.12,88.69,105.194,81.121,24.074,28.272,59.553,57.736,3.828,15.081847277117884,251.780,336.099,827.434,262.981,1.045,46.578,11.006,4.232,8.59,300.775,1055.416,1633.967,2156.255,2814.595,3344.723,608.790,28.746,-1.457,,1.045,09:03:43
HFC_10.wav,84.348,84.20,85.04,87.834,76.018,11.816,59.833,27.037,17.115,3.008,5.689111647642002,261.697,341.657,682.002,254.593,1.163,37.257,7.736,4.816,16.65,319.135,874.957,1585.469,2248.035,2671.511,3171.327,570.438,30.678,-0.853,,1.163,09:03:48
