file, Mean F0 (Hz),Start F0 (Hz),End F0 (Hz),Max F0 (Hz),Min F0 (Hz),Range F0 (Hz),Time max F0 (%),F0 Abs Slope,F0 var (Hz/s),FM Rate (s-1),FM Extent (Hz),Q25% (Hz),Q50% (Hz),Q75% (Hz),Fpeak (Hz),Sound duration (s), AM var (dB/s), AM rate (s-1), AM extent (dB),Harmonicity, F1 mean (Hz),F2 mean (Hz),F3 mean (Hz),F4 mean (Hz),F5 mean (Hz),F6 mean (Hz),formant dispersal (Hz),vocal tract length (cm),mean wiener entropy,Comment,Duration(s),Start
HFC_01.wav,94.842,88.15,102.98,105.662,82.821,22.840,32.822,83.434,75.138,3.739,20.09779226877015,368.254,739.431,2748.714,360.940,1.070,49.915,9.347,5.340,9.61,365.812,1262.870,1793.931,2323.131,2856.680,3341.745,595.187,29.403,-2.086,,1.070,15:19:44
HFC_02.wav,93.674,90.13,83.48,106.581,83.480,23.102,16.009,50.158,34.958,2.168,16.128238339252512,306.543,401.920,1006.316,365.318,1.845,32.866,5.690,5.776,24.30,358.667,1125.657,1823.601,2330.127,3005.378,3399.142,608.095,28.778,-2.178,,1.845,15:20:30
HFC_03.wav,90.618,92.50,81.29,105.060,76.644,28.416,17.302,80.605,57.132,1.391,41.07403748853626,329.268,380.395,518.220,368.992,1.438,39.605,1.739,22.779,22.79,369.072,1041.199,1764.016,2326.752,2988.591,3491.489,624.483,28.023,-0.566,,1.438,15:20:59
HFC_04.wav,91.444,94.87,88.56,103.860,83.493,20.367,84.783,56.980,55.569,5.475,10.150146120042594,343.461,419.834,627.312,393.774,1.370,45.221,10.949,4.130,7.29,412.988,1033.014,1723.268,2354.780,2970.510,3520.341,621.471,28.159,0.034,,1.370,15:21:02
HFC_05.wav,79.015,85.03,82.32,90.847,72.214,18.633,94.477,51.790,39.800,1.448,27.486928059277915,199.636,287.825,399.236,306.513,1.036,31.341,11.101,2.823,11.64,337.617,1105.081,1972.682,2540.980,3061.180,3497.582,631.993,27.690,0.502,,1.036,15:21:22
HFC_06.wav,87.096,90.88,92.91,100.570,78.571,21.999,85.328,80.035,77.461,8.068,9.60070845504365,207.684,364.045,601.498,392.669,1.177,50.603,15.287,3.310,3.06,362.676,1101.461,1697.447,2295.788,3024.162,3529.316,633.328,27.632,0.390,,1.177,15:21:24
HFC_07.wav,87.350,98.61,77.91,102.640,71.043,31.598,54.844,125.880,123.499,4.569,27.03241182251964,275.074,442.939,1964.513,392.142,1.642,50.269,14.315,3.512,4.87,394.632,901.381,1776.682,2539.614,2934.830,3414.050,603.884,28.979,-2.973,,1.642,15:21:33
HFC_08.wav,94.492,88.09,75.48,108.409,75.485,32.924,34.674,81.243,56.496,1.667,33.900280540938056,308.796,368.872,663.448,331.624,1.500,36.932,4.333,8.523,21.72,337.957,1086.809,1887.796,2404.402,3024.885,3526.954,637.799,27.438,-0.963,,1.500,15:22:04
HFC_09.wav,78.774,81.13,87.78,95.009,71.173,23.837,18.564,48.067,46.445,3.298,14.080779901218001,278.486,385.980,679.722,368.928,1.364,42.818,12.094,3.540,7.78,386.459,1101.831,1690.896,2310.350,2999.543,3507.643,624.237,28.034,-0.068,,1.364,15:22:09
HFC_10.wav,105.432,106.82,104.62,106.818,104.616,2.202,63.471,61.660,0.000,0.000,--undefined--,234.699,468.895,3692.600,309.934,1.047,114.630,10.026,11.433,8.86,401.241,979.975,1871.025,2399.933,3134.262,3555.025,630.757,27.744,-3.578,,1.047,15:25:01
HFC_11.wav,92.356,87.46,105.42,105.419,76.488,28.931,99.057,46.452,45.552,5.196,8.7673072728502,366.533,623.872,7139.396,374.226,1.540,54.016,8.443,6.398,11.42,383.370,997.569,1679.051,2329.390,3049.209,3501.884,623.703,28.058,-4.851,,1.540,15:25:06
HFC_12.wav,83.957,84.76,78.95,88.034,73.251,14.783,52.274,35.042,32.327,1.869,17.29341893674392,238.812,429.282,2405.553,336.369,1.070,34.605,8.412,4.114,11.74,347.721,1225.471,1871.991,2618.354,3087.842,3378.400,606.136,28.871,-3.407,,1.070,15:25:22
HFC_13.wav,78.856,95.83,80.50,95.827,72.747,23.079,2.440,70.913,66.376,4.077,16.282316741398517,215.492,343.891,1136.471,299.456,0.736,45.804,10.871,4.213,7.68,335.794,1224.387,1807.872,2439.918,3030.303,3474.645,627.770,27.876,-1.757,,0.736,15:25:24
HFC_14.wav,100.410,81.62,80.13,106.498,80.128,26.370,67.027,30.424,17.725,1.879,9.431921953259648,357.552,511.959,2512.964,400.371,1.862,26.073,7.786,3.349,21.24,375.291,1226.811,1884.186,2512.369,3093.952,3637.703,652.482,26.821,-3.134,,1.862,15:25:29
HFC_15.wav,93.183,94.52,81.85,108.948,81.851,27.097,25.786,61.295,42.212,2.117,19.93592796755981,283.053,389.420,749.475,336.966,1.653,36.815,9.377,3.926,18.29,361.965,1194.157,1885.054,2475.308,3055.196,3551.956,637.998,27.430,-0.677,,1.653,15:26:31
HFC_16.wav,97.008,87.42,76.85,109.884,76.850,33.034,17.463,34.744,10.238,1.111,9.214466827113888,240.357,292.205,579.467,239.646,1.800,36.563,3.055,11.967,22.93,303.720,1194.877,1855.924,2346.004,3043.460,3507.605,640.777,27.311,-0.911,unvoiced,1.800,15:27:05
HFC_17.wav,97.215,77.81,101.08,103.776,77.814,25.962,54.671,48.127,27.385,1.863,14.696015528661643,254.146,361.041,529.707,400.086,1.342,35.284,6.336,5.569,18.61,394.714,1054.263,1832.702,2484.300,3189.949,3543.259,629.709,27.791,0.069,,1.342,15:28:24
HFC_18.wav,92.482,90.63,87.33,106.401,85.531,20.870,25.245,76.986,53.469,2.017,26.514630390302045,324.655,391.421,751.047,339.637,1.240,53.267,4.436,12.007,23.36,364.926,1040.741,1751.722,2359.500,3023.007,3524.516,631.918,27.693,-1.583,,1.240,15:28:59
HFC_19.wav,92.207,102.92,103.73,103.731,73.030,30.701,99.093,81.519,78.626,3.692,21.295857668152777,338.095,471.456,2066.303,382.597,1.761,31.403,15.904,1.974,6.69,396.431,1090.942,1838.989,2427.193,3099.046,3534.485,627.611,27.884,-2.706,,1.761,15:29:05
HFC_20.wav,87.901,72.41,73.29,99.831,72.410,27.421,43.579,63.893,60.452,4.572,13.22292441545664,342.871,408.783,635.573,387.547,2.734,70.870,12.069,5.872,8.28,392.099,1072.678,1782.254,2341.578,2987.028,3503.173,622.215,28.125,-0.088,,2.734,15:29:25
HFC_21.wav,89.657,81.49,81.44,108.792,71.371,37.421,2.584,306.919,156.293,31.271,4.99804673145182,260.984,468.776,1698.213,383.599,1.823,50.079,11.247,4.453,3.91,382.931,1188.298,1774.802,2364.779,2872.787,3453.601,614.134,28.495,-2.107,unvoiced,1.823,15:29:28
HFC_22.wav,84.346,97.20,101.53,101.528,76.879,24.648,90.865,67.457,58.190,1.506,38.65004028638355,224.624,330.545,843.530,255.451,0.996,34.458,8.532,4.039,14.24,318.509,1112.734,1841.436,2603.584,3083.063,3444.827,625.264,27.988,-1.258,,0.996,15:30:42
HFC_23.wav,81.055,109.41,108.56,109.413,70.368,39.045,2.916,123.710,7.775,4.786,1.6244903620088436,383.647,492.892,1462.856,439.293,1.149,54.305,9.137,5.943,10.01,427.140,1198.161,1816.294,2413.355,3011.880,3507.210,616.014,28.408,-2.203,unvoiced,1.149,15:30:48
HFC_24.wav,94.827,82.80,81.84,109.851,73.194,36.657,35.317,48.844,15.785,7.957,1.9837476546773198,344.640,479.043,1486.039,427.830,1.885,26.665,6.101,4.371,20.71,395.039,1108.890,1812.886,2401.235,3080.159,3526.027,626.198,27.946,-2.427,unvoiced,1.885,15:31:39
HFC_25.wav,91.276,77.79,78.65,110.000,73.330,36.670,57.010,79.744,54.521,32.877,1.6583357249755735,374.052,461.780,1111.829,416.683,2.038,35.935,6.134,5.859,24.41,407.375,1186.495,1816.360,2431.218,3009.365,3455.229,609.571,28.709,-2.443,unvoiced,2.038,15:31:46
HFC_26.wav,92.785,91.30,78.27,106.019,78.267,27.751,18.857,49.186,25.759,2.412,10.681200094463932,296.142,447.110,1273.653,356.990,1.659,41.781,5.728,7.295,23.00,372.529,1072.083,1763.256,2318.196,2919.169,3436.300,612.754,28.560,-2.043,,1.659,15:32:39
HFC_27.wav,87.229,90.04,71.27,109.766,70.462,39.303,37.173,116.288,42.741,18.325,2.3324596928247026,232.164,340.900,655.677,317.569,1.364,29.120,5.497,5.297,21.76,343.111,1213.499,1895.504,2480.896,3096.157,3565.416,644.461,27.154,-0.945,unvoiced,1.364,15:33:27
HFC_28.wav,96.774,95.99,78.90,104.210,78.903,25.307,12.252,41.565,31.169,1.231,25.319541063569226,378.275,416.723,710.796,376.654,1.625,47.875,8.309,5.762,21.94,374.778,889.485,1744.635,2269.855,2923.824,3380.101,601.065,29.115,-1.443,,1.625,15:33:40
HFC_29.wav,93.972,90.73,95.56,104.884,88.026,16.858,92.680,35.492,4.030,1.398,2.8835836272746236,371.663,391.116,483.846,372.732,1.789,50.201,7.547,6.652,23.89,373.236,1130.053,1858.699,2360.105,3036.173,3521.175,629.588,27.796,-0.661,,1.789,15:36:05
HFC_30.wav,96.872,101.91,102.86,109.957,71.685,38.272,21.398,106.038,15.817,24.721,0.6398367751785928,373.842,573.584,2394.510,372.489,1.942,43.254,6.438,6.719,14.66,377.042,1058.155,1913.376,2400.018,3080.044,3459.845,616.561,28.383,-2.808,unvoiced,1.942,15:36:16
HFC_31.wav,95.103,95.62,92.15,106.670,89.333,17.337,35.275,37.579,35.584,5.071,7.016760438407125,301.769,401.084,566.841,405.431,1.183,45.903,8.875,5.172,14.59,392.437,655.195,1573.214,2283.777,2956.062,3474.400,616.393,28.391,0.233,,1.183,15:36:29
HFC_32.wav,102.302,85.38,88.60,108.921,85.380,23.541,45.446,63.833,52.110,5.019,10.383614648319917,209.259,585.459,3810.014,330.349,1.494,61.938,13.717,4.515,8.56,374.049,1136.351,1845.330,2552.307,3147.444,3569.938,639.178,27.379,-2.674,,1.494,15:36:57
HFC_33.wav,90.843,84.24,84.27,109.976,73.390,36.586,16.458,193.161,117.272,31.026,3.779808765103009,332.960,465.719,1384.054,441.248,1.789,40.233,4.193,9.596,25.87,390.854,931.219,1748.363,2334.455,2948.585,3423.094,606.448,28.857,-2.493,unvoiced,1.789,15:37:02
HFC_34.wav,98.828,104.72,91.36,109.122,84.150,24.972,14.509,62.220,60.911,4.544,13.40425828709114,343.229,737.834,2908.833,479.177,1.650,39.569,8.785,4.504,9.01,434.975,1207.495,1760.668,2386.485,2977.437,3494.583,611.922,28.598,-1.903,,1.650,15:37:07
HFC_35.wav,98.052,100.90,97.28,108.392,88.507,19.884,25.467,54.324,26.127,0.803,32.538958817890006,287.899,395.170,568.495,394.056,1.245,63.021,7.227,8.721,14.54,326.565,1062.072,1785.008,2432.691,3083.447,3542.010,643.089,27.212,0.302,,1.245,15:37:08
HFC_36.wav,96.414,87.67,94.54,102.321,87.673,14.648,76.809,40.049,12.073,0.000,--undefined--,375.404,412.868,509.698,386.298,1.115,53.494,7.622,7.018,21.43,357.207,953.732,1726.248,2309.142,2998.834,3468.424,622.244,28.124,-0.151,,1.115,15:37:19
LFC_01.wav,78.802,76.06,79.72,82.744,74.981,7.763,59.497,39.093,37.346,4.774,7.822250406571243,176.701,305.523,642.090,323.171,0.838,46.247,12.532,3.690,7.53,351.275,1070.312,1902.740,2521.882,3114.029,3508.578,631.461,27.714,0.146,,0.838,15:22:33
LFC_02.wav,83.039,86.60,92.77,92.771,75.417,17.354,98.283,59.544,42.177,1.803,23.39839716436175,209.601,295.754,529.261,253.903,0.832,30.924,6.609,4.679,12.40,330.529,972.551,1757.147,2547.381,3150.720,3332.368,600.368,29.149,0.403,,0.832,15:29:10
