tmin	tier	text	tmax	tsec	Ora_Muget
156.387441	5_12_0000	HFC	157.234767	0.8473260000000096	15:14:36
170.823262	5_12_0000	LFC	172.329132	1.5058699999999874	15:14:50
209.448652	5_12_0000	LFC	210.282808	0.8341559999999788	15:15:29
344.753000	5_12_0000	LFC	346.324724	1.5717240000000174	15:17:44
399.481783	5_12_0000	LFC	400.917408	1.435625000000016	15:18:39
475.097847	5_12_0000	HFC	476.226151	1.1283040000000142	15:19:55
476.972501	5_12_0000	HFC	477.973487	1.0009859999999549	15:19:56
478.772520	5_12_0000	LFC	480.243267	1.4707470000000171	15:19:58
521.593500	5_12_0000	HFC	523.248639	1.6551390000000765	15:20:41
535.896874	5_12_0000	LFC	536.774932	0.87805800000001	15:20:55
550.399338	5_12_0000	HFC	551.764718	1.3653800000000729	15:21:10
553.396379	5_12_0000	HFC	554.638831	1.2424519999999575	15:21:13
575.602275	5_12_0000	HFC	577.051071	1.4487960000000157	15:21:35
583.686135	5_12_0000	LFC	585.947134	2.26099899999997	15:21:43
792.606890	5_12_0000	HFC	794.064466	1.4575760000000173	15:25:12
796.964921	5_12_0000	HFC	798.870307	1.9053860000000213	15:25:16
816.167859	5_12_0000	LFC	817.379579	1.211720000000014	15:25:36
820.429302	5_12_0000	HFC	822.080051	1.650749000000019	15:25:40
882.501513	5_12_0000	HFC	883.752746	1.2512329999999565	15:26:42
916.556611	5_12_0000	LFC	917.838576	1.2819650000000138	15:27:16
996.334671	5_12_0000	HFC	997.230290	0.8956190000000106	15:28:36
1034.023401	5_12_0000	LFC	1035.599516	1.5761150000000725	15:29:14
1036.600502	5_12_0000	HFC	1038.382960	1.782457999999906	15:29:16
1044.009784	5_12_0000	LFC	1045.441019	1.4312350000000151	15:29:24
1055.942797	5_12_0000	HFC	1057.338910	1.396113000000014	15:29:35
1057.356471	5_12_0000	HFC	1059.073074	1.71660299999985	15:29:37
1059.081855	5_12_0000	HFC	1061.083827	2.0019720000000234	15:29:39
1139.055950	5_12_0000	HFC	1140.838407	1.7824570000000222	15:30:59
1198.338550	5_12_0000	LFC	1200.002470	1.6639199999999619	15:31:58
1250.529745	5_12_0000	LFC	1251.855613	1.3258679999999003	15:32:50
1298.758035	5_12_0000	HFC	1299.631703	0.8736679999999524	15:33:38
1311.047793	5_12_0000	HFC	1312.632688	1.5848949999999604	15:33:51
1456.496575	5_12_0000	HFC	1458.599524	2.1029490000000806	15:36:16
1467.293634	5_12_0000	HFC	1469.212191	1.9185569999999643	15:36:27
1480.140959	5_12_0000	HFC	1481.216580	1.0756209999999555	15:36:40
1508.832649	5_12_0000	LFC	1510.206810	1.3741609999999582	15:37:08
1514.038006	5_12_0000	HFC	1515.210214	1.172207999999955	15:37:14
1515.223384	5_12_0000	HFC	1516.395592	1.1722080000001824	15:37:15
1517.965837	5_12_0000	HFC	1519.840491	1.874653999999964	15:37:17
1519.882865	5_12_0000	LFC	1521.103366	1.220501000000013	15:37:19
1530.426815	5_12_0000	HFC	1531.563900	1.13708500000007	15:37:30
