file, Mean F0 (Hz),Start F0 (Hz),End F0 (Hz),Max F0 (Hz),Min F0 (Hz),Range F0 (Hz),Time max F0 (%),F0 Abs Slope,F0 var (Hz/s),FM Rate (s-1),FM Extent (Hz),Q25% (Hz),Q50% (Hz),Q75% (Hz),Fpeak (Hz),Sound duration (s), AM var (dB/s), AM rate (s-1), AM extent (dB),Harmonicity, F1 mean (Hz),F2 mean (Hz),F3 mean (Hz),F4 mean (Hz),F5 mean (Hz),F6 mean (Hz),formant dispersal (Hz),vocal tract length (cm),mean wiener entropy,Comment,Duration(s),Start
HFC_01.wav,79.928,85.22,75.83,98.572,70.454,28.118,5.868,63.724,54.731,2.784,19.659723800328752,229.479,339.880,644.115,263.225,1.976,37.958,8.352,4.545,15.22,358.010,988.610,1559.959,2225.328,2738.992,3275.771,583.552,29.989,-0.342,,1.976,16:42:00
HFC_02.wav,94.496,96.30,72.14,103.412,72.141,31.271,43.853,81.055,79.175,3.087,25.64528409425907,332.792,463.830,1605.065,385.777,1.458,35.032,8.576,4.085,12.32,393.461,1009.680,1559.247,2224.192,2760.940,3305.411,582.390,30.049,-1.478,,1.458,16:42:05
HFC_03.wav,92.808,88.59,96.42,106.287,72.041,34.246,22.410,56.700,49.056,3.654,13.424750505330554,294.936,405.413,803.314,380.863,2.463,27.320,10.962,2.492,13.68,332.927,945.099,1611.329,2194.178,2811.792,3339.452,601.305,29.103,-0.840,,2.463,16:42:08
HFC_04.wav,96.354,89.06,101.75,108.778,80.137,28.640,27.604,70.150,65.926,5.678,11.611508425607212,216.993,347.744,652.048,338.994,1.497,55.259,10.687,5.171,5.04,353.659,1031.372,1670.066,2308.211,2838.535,3342.964,597.861,29.271,-0.215,,1.497,16:42:15
HFC_05.wav,83.643,74.69,84.38,104.073,70.804,33.268,80.111,107.270,83.576,2.545,32.83943153114177,256.674,400.533,1102.379,260.876,1.572,31.379,6.681,4.697,20.88,356.709,865.837,1403.173,2185.120,2620.533,3215.011,571.660,30.613,-1.433,,1.572,16:42:16
HFC_06.wav,88.312,97.91,80.01,97.907,79.952,17.956,25.984,92.286,33.865,2.861,11.834825953501554,248.831,495.451,1809.016,253.761,1.747,83.444,14.021,5.951,3.26,350.190,959.870,1558.778,2104.894,2751.622,3313.656,592.693,29.526,-1.456,,1.747,16:42:21
HFC_07.wav,87.164,97.16,106.69,106.694,78.656,28.038,98.932,95.529,89.202,5.867,15.204249483857886,258.552,563.588,2496.004,247.529,1.449,45.055,11.389,3.956,6.86,360.554,1240.972,1818.720,2233.022,2847.579,3381.347,604.159,28.966,-1.712,,1.449,16:42:28
HFC_08.wav,81.500,96.12,98.41,101.445,71.495,29.950,11.035,73.918,54.427,2.726,19.96554314317746,278.146,406.049,817.214,273.068,1.651,25.510,2.726,9.358,21.87,346.606,994.801,1464.377,2305.376,2708.448,3309.090,592.497,29.536,-1.103,,1.651,16:42:31
HFC_09.wav,94.397,87.06,84.94,103.268,84.940,18.328,86.865,69.800,66.386,3.029,21.917333442849543,339.096,712.697,2069.568,456.111,0.825,26.689,10.904,2.448,7.19,460.554,1140.076,1660.753,2166.192,2718.590,3331.290,574.147,30.480,-0.952,,0.825,16:42:33
HFC_10.wav,96.105,73.14,82.68,103.265,73.139,30.127,68.593,67.428,44.601,1.734,25.71678298687816,195.354,288.725,492.668,290.435,0.865,31.871,5.781,5.513,10.75,316.609,1092.413,1552.258,2189.701,2809.324,3434.418,623.562,28.065,0.142,,0.865,16:42:36
HFC_100.wav,101.537,89.24,104.99,106.389,89.243,17.146,89.830,23.959,21.831,1.627,13.41814122130854,506.440,570.812,1690.500,522.097,0.922,41.706,9.762,4.272,16.24,477.485,868.201,1692.457,2403.599,2852.256,3333.384,571.180,30.638,-3.131,,0.922,16:52:56
HFC_101.wav,89.255,93.75,82.77,105.877,77.824,28.053,12.397,99.805,96.451,2.487,38.787692941966995,314.586,572.811,1808.782,234.172,1.005,18.976,6.963,2.725,18.44,421.629,1273.081,1639.442,2294.121,2755.640,3251.030,565.880,30.925,-1.734,,1.005,16:52:57
HFC_102.wav,97.747,85.06,103.86,108.092,84.719,23.373,69.657,39.033,22.420,2.190,10.23699438239582,248.645,433.600,1093.621,414.335,1.598,28.961,10.951,2.645,10.76,387.174,1091.751,1679.450,2349.866,2843.558,3319.841,586.533,29.836,-1.520,,1.598,16:52:59
HFC_103.wav,93.791,83.48,88.81,106.126,83.485,22.642,33.668,52.232,41.302,2.221,18.598785332256885,348.299,485.460,1410.172,371.149,1.576,45.189,5.393,8.379,15.40,382.647,852.398,1526.094,2084.692,2719.076,3173.761,558.223,31.349,-1.794,,1.576,16:53:03
HFC_104.wav,75.103,70.41,71.33,90.361,70.412,19.949,94.078,82.135,20.500,9.529,2.151462543576442,539.398,682.985,2531.913,553.839,1.102,45.506,6.806,6.686,15.41,530.804,1053.551,1675.794,2430.650,2870.772,3388.859,571.611,30.615,-2.388,unvoiced,1.102,16:53:06
HFC_105.wav,82.030,86.11,87.12,109.731,70.414,39.317,15.463,126.075,63.240,26.797,2.359936716278872,248.031,383.332,583.849,282.768,1.717,32.091,4.952,6.481,19.45,354.554,902.006,1481.175,2396.591,2767.543,3318.167,592.723,29.525,-0.292,unvoiced,1.717,16:53:08
HFC_106.wav,88.271,98.02,99.16,105.250,72.059,33.191,27.800,92.158,89.298,4.785,18.661344218588187,363.317,550.305,1704.215,381.690,2.090,47.458,12.202,3.889,8.26,408.578,1089.728,1626.273,2345.554,2880.157,3376.395,593.563,29.483,-1.893,,2.090,16:53:14
HFC_107.wav,81.330,93.54,96.31,104.545,71.723,32.822,11.163,73.595,59.468,3.069,19.378406211256916,308.636,448.497,677.429,283.630,1.466,30.626,3.069,9.980,25.16,397.171,942.130,1581.866,2333.572,2859.674,3333.857,587.337,29.795,-0.640,,1.466,16:53:17
HFC_108.wav,82.791,89.33,89.89,103.813,70.697,33.116,4.820,58.014,53.438,3.354,15.9310059099578,354.031,490.868,1072.472,452.982,3.130,19.251,6.868,2.803,23.23,418.583,1022.694,1402.822,2154.666,2712.137,3365.484,589.380,29.692,-1.255,,3.130,16:53:23
HFC_109.wav,81.894,90.09,89.49,102.895,72.869,30.026,4.309,50.637,44.707,3.755,11.907423553865758,395.587,568.907,1411.554,467.163,1.998,34.271,4.255,8.054,24.85,440.769,1005.815,1493.444,2184.145,2685.488,3286.706,569.187,30.746,-1.137,,1.998,16:53:28
