file, Mean F0 (Hz),Start F0 (Hz),End F0 (Hz),Max F0 (Hz),Min F0 (Hz),Range F0 (Hz),Time max F0 (%),F0 Abs Slope,F0 var (Hz/s),FM Rate (s-1),FM Extent (Hz),Q25% (Hz),Q50% (Hz),Q75% (Hz),Fpeak (Hz),Sound duration (s), AM var (dB/s), AM rate (s-1), AM extent (dB),Harmonicity, F1 mean (Hz),F2 mean (Hz),F3 mean (Hz),F4 mean (Hz),F5 mean (Hz),F6 mean (Hz),formant dispersal (Hz),vocal tract length (cm),mean wiener entropy,Comment,Duration(s),Start
HFC_01.wav,97.236,104.73,92.41,104.735,92.412,12.323,78.617,62.735,0.000,0.000,--undefined--,75.983,576.233,5475.939,46.127,1.654,88.769,9.978,8.896,9.75,372.155,1165.806,1764.016,2279.849,2957.476,3434.932,612.555,28.569,-2.750,,1.654,15:25:47
HFC_02.wav,80.796,73.26,77.13,85.904,73.259,12.645,7.795,31.262,29.140,2.649,11.002003305914247,289.340,1353.961,3094.699,328.660,1.510,26.491,11.587,2.286,9.70,362.759,1196.398,2083.259,2552.934,2981.468,3380.959,603.640,28.991,-2.013,,1.510,15:29:36
HFC_03.wav,98.987,85.03,99.94,107.520,85.034,22.486,15.080,37.081,35.829,5.056,7.085872392880325,442.191,1007.060,2193.875,375.068,2.077,24.466,9.150,2.674,12.75,407.161,1093.183,1859.928,2238.051,2786.925,3273.552,573.278,30.526,-1.406,,2.077,15:29:47
HFC_04.wav,92.007,80.30,71.24,100.947,71.243,29.704,61.387,53.357,51.150,2.563,19.954218432553514,364.745,549.536,2113.789,386.897,1.365,49.680,7.690,6.460,10.85,364.480,1165.794,1779.207,2285.104,2839.648,3356.984,598.501,29.240,-2.053,,1.365,15:29:54
HFC_05.wav,97.236,88.33,99.21,100.057,88.326,11.731,68.711,20.077,18.989,2.278,8.336700452413254,383.093,413.085,559.676,387.882,0.659,34.016,9.111,3.733,14.36,381.211,960.512,1755.993,2279.432,2867.736,3413.242,606.406,28.859,-1.026,,0.659,15:30:08
HFC_06.wav,98.365,96.11,100.11,103.749,90.210,13.539,81.723,45.126,44.031,5.932,7.422970333891709,387.469,594.483,2065.503,393.613,1.264,65.302,11.468,5.694,10.71,405.923,1082.218,1780.169,2245.752,2786.826,3295.744,577.964,30.279,-2.013,,1.264,15:30:08
HFC_07.wav,86.280,90.10,74.74,104.116,74.739,29.376,29.093,123.037,119.914,4.891,24.517713050573796,275.928,601.760,4426.347,324.981,1.431,91.503,13.275,6.893,4.61,393.703,1203.388,1754.908,2369.395,2884.038,3394.331,600.126,29.161,-2.531,,1.431,15:30:10
LFC_01.wav,78.835,94.78,79.87,94.781,70.571,24.210,5.375,57.959,47.949,3.277,14.630301228285486,345.972,1392.084,10009.131,277.067,1.220,32.575,10.242,3.181,9.49,398.408,1002.822,1702.591,2279.579,2792.624,3390.672,598.453,29.242,-4.016,,1.221,15:25:43
LFC_02.wav,84.484,87.47,74.81,89.688,74.809,14.879,73.505,58.909,56.696,8.135,6.969542507452393,137.495,427.383,2740.287,97.586,1.106,55.451,14.010,3.958,5.78,332.484,1148.052,1784.943,2231.910,2794.031,3421.270,617.757,28.328,-2.050,,1.106,15:27:13
LFC_03.wav,86.556,78.10,106.48,106.742,73.967,32.776,97.356,141.666,135.944,5.195,26.1687645814358,212.246,679.599,5821.075,117.941,1.251,45.870,13.187,3.478,10.05,327.213,1054.204,1779.336,2193.939,2846.692,3370.049,608.567,28.756,-3.384,,1.251,15:27:47
