file, Mean F0 (Hz),Start F0 (Hz),End F0 (Hz),Max F0 (Hz),Min F0 (Hz),Range F0 (Hz),Time max F0 (%),F0 Abs Slope,F0 var (Hz/s),FM Rate (s-1),FM Extent (Hz),Q25% (Hz),Q50% (Hz),Q75% (Hz),Fpeak (Hz),Sound duration (s), AM var (dB/s), AM rate (s-1), AM extent (dB),Harmonicity, F1 mean (Hz),F2 mean (Hz),F3 mean (Hz),F4 mean (Hz),F5 mean (Hz),F6 mean (Hz),formant dispersal (Hz),vocal tract length (cm),mean wiener entropy,Comment,Duration(s),Start
HFC_01.wav,88.593,74.62,92.24,99.966,74.615,25.351,23.085,44.017,41.539,3.789,10.96363668451806,284.828,356.252,382.730,366.118,2.243,50.356,11.366,4.430,15.00,353.180,800.619,1552.694,2204.109,2852.253,3474.552,624.274,28.033,-0.139,,2.243,09:16:00
HFC_02.wav,96.475,102.16,100.48,102.751,83.618,19.133,1.383,36.811,36.070,6.500,5.549347339332339,198.891,224.944,315.434,196.148,1.769,74.919,9.891,7.574,14.82,284.629,734.767,1444.753,2195.059,2918.187,3441.537,631.382,27.717,0.197,,1.769,09:16:10
HFC_03.wav,79.175,100.82,85.99,100.820,73.119,27.701,26.475,41.059,20.287,0.616,32.95407086603319,244.083,401.456,696.243,445.927,1.624,47.761,9.542,5.005,17.51,398.876,1079.806,1644.768,2233.048,2840.203,3354.876,591.200,29.601,-0.631,,1.624,09:16:16
HFC_04.wav,100.318,76.23,104.23,105.647,76.231,29.417,92.282,26.750,25.891,4.031,6.422319436562148,206.157,251.809,407.042,204.564,1.488,41.867,8.399,4.985,19.58,268.713,515.707,1361.159,2122.280,2786.341,3433.526,632.962,27.648,-0.282,,1.488,09:16:19
HFC_05.wav,98.978,80.57,101.67,104.161,80.572,23.589,67.769,22.575,21.454,4.517,4.749885118408725,201.766,323.416,408.356,394.490,1.550,65.417,7.743,8.448,16.25,332.802,568.465,1380.833,2090.555,2769.959,3483.608,630.161,27.771,0.146,,1.550,09:16:30
HFC_06.wav,100.895,87.01,102.52,107.165,84.867,22.298,92.269,89.209,56.619,40.195,1.4085999691177622,207.694,246.323,388.128,204.583,1.343,53.857,9.677,5.566,19.57,259.336,593.982,1365.566,2079.029,2750.192,3399.240,627.981,27.867,-0.246,unvoiced,1.343,09:16:39
HFC_07.wav,97.489,87.98,99.57,102.951,80.282,22.669,73.348,30.883,29.025,5.195,5.587131259078118,201.231,284.408,409.589,393.342,1.251,58.430,8.791,6.646,14.01,300.449,581.827,1362.487,2051.571,2702.577,3418.159,623.542,28.065,0.065,,1.251,09:16:57
HFC_08.wav,97.638,81.27,97.68,101.472,81.274,20.198,76.106,21.617,20.930,5.002,4.184531091682034,198.000,250.596,398.054,200.805,1.300,44.125,7.310,6.036,16.98,300.152,686.554,1410.837,2118.967,2752.158,3378.901,615.750,28.421,0.061,,1.300,09:17:03
HFC_09.wav,92.813,108.48,92.76,108.478,77.134,31.345,3.205,54.516,51.125,5.529,9.247567354797855,193.415,268.308,390.294,192.072,1.809,47.483,8.569,5.541,14.12,295.566,695.472,1402.506,2079.044,2731.280,3453.727,631.632,27.706,0.139,,1.809,09:17:14
HFC_10.wav,95.785,107.46,76.46,109.744,75.173,34.571,29.781,77.408,14.845,6.583,2.2550085554741286,234.550,245.999,284.955,227.389,0.760,68.363,9.216,7.418,18.75,287.144,702.207,1530.794,2130.194,2717.754,3308.251,604.221,28.963,-1.082,unvoiced,0.760,09:17:25
