file, Mean F0 (Hz),Start F0 (Hz),End F0 (Hz),Max F0 (Hz),Min F0 (Hz),Range F0 (Hz),Time max F0 (%),F0 Abs Slope,F0 var (Hz/s),FM Rate (s-1),FM Extent (Hz),Q25% (Hz),Q50% (Hz),Q75% (Hz),Fpeak (Hz),Sound duration (s), AM var (dB/s), AM rate (s-1), AM extent (dB),Harmonicity, F1 mean (Hz),F2 mean (Hz),F3 mean (Hz),F4 mean (Hz),F5 mean (Hz),F6 mean (Hz),formant dispersal (Hz),vocal tract length (cm),mean wiener entropy,Comment,Duration(s),Start
HFC_01.wav,87.475,101.73,88.95,104.241,77.601,26.640,19.046,53.669,36.155,3.068,11.785895695377196,238.387,498.910,10923.042,239.287,1.304,89.169,10.737,8.305,17.38,257.663,975.281,1707.546,2376.639,3015.937,3515.011,651.470,26.862,-4.978,,1.304,14:44:15
HFC_02.wav,85.140,92.11,109.44,109.444,73.725,35.719,98.916,115.818,22.754,8.691,2.6180467751697294,230.801,317.446,5709.113,230.832,1.668,76.556,12.887,5.940,18.17,248.848,980.734,1700.856,2359.837,3029.506,3544.933,659.217,26.547,-5.265,unvoiced,1.668,14:44:18
HFC_03.wav,82.132,91.71,75.57,109.373,73.584,35.789,87.995,133.251,34.990,38.872,0.9001373240506779,224.072,314.182,5992.412,215.946,1.466,48.435,9.207,5.261,20.05,237.075,959.543,1604.827,2347.653,3008.908,3540.798,660.745,26.485,-5.534,unvoiced,1.466,14:44:20
HFC_04.wav,84.792,92.90,76.63,109.067,72.743,36.324,21.671,138.050,29.635,14.191,2.088336881444715,231.941,337.990,7289.231,229.201,1.374,81.357,10.552,7.710,18.70,251.808,1007.128,1682.023,2367.569,3022.822,3536.954,657.029,26.635,-5.545,unvoiced,1.374,14:44:39
HFC_05.wav,82.866,92.54,88.46,108.465,74.111,34.354,11.425,118.242,50.445,32.991,1.5290803085108213,226.750,300.088,4493.954,221.458,1.106,47.757,10.394,4.595,19.95,237.842,978.837,1618.219,2298.538,3010.929,3493.443,651.120,26.877,-5.516,unvoiced,1.106,14:44:41
HFC_06.wav,88.681,94.78,109.37,109.481,70.884,38.597,96.165,113.427,25.119,13.177,1.9062541761895442,221.952,284.238,2714.072,219.019,1.594,74.968,11.295,6.637,19.00,238.444,969.308,1650.144,2409.931,3021.234,3498.774,652.066,26.838,-4.778,unvoiced,1.594,14:47:01
HFC_07.wav,88.210,93.38,106.01,108.613,73.310,35.303,14.759,101.090,24.301,16.857,1.441566398843093,218.467,520.494,12853.785,214.734,1.216,61.068,11.101,5.501,17.31,241.171,993.815,1638.889,2363.128,3036.996,3555.925,662.951,26.397,-5.726,unvoiced,1.216,14:47:03
HFC_08.wav,108.045,90.87,109.99,109.994,90.848,19.146,16.952,166.897,7.450,0.395,18.83915364297269,213.322,261.276,1411.145,209.398,1.264,63.756,9.886,6.449,20.85,233.764,974.748,1616.735,2352.877,3021.482,3523.449,657.937,26.598,-3.373,unvoiced,1.264,14:47:04
HFC_09.wav,104.888,85.57,105.01,109.558,85.017,24.541,19.191,78.588,59.289,12.324,4.811019912340791,210.655,273.010,1484.967,214.466,1.177,55.673,6.799,8.188,18.46,235.140,954.283,1616.268,2376.992,3035.361,3525.839,658.140,26.590,-3.656,unvoiced,1.177,14:47:06
HFC_10.wav,105.882,95.62,103.81,109.092,95.619,13.473,40.171,26.609,21.551,3.313,6.504806666301501,212.263,275.909,2946.481,206.335,1.207,49.004,7.040,6.960,19.98,240.369,946.449,1599.800,2352.505,3041.800,3509.561,653.838,26.765,-5.190,,1.207,14:47:07
