file, Mean F0 (Hz),Start F0 (Hz),End F0 (Hz),Max F0 (Hz),Min F0 (Hz),Range F0 (Hz),Time max F0 (%),F0 Abs Slope,F0 var (Hz/s),FM Rate (s-1),FM Extent (Hz),Q25% (Hz),Q50% (Hz),Q75% (Hz),Fpeak (Hz),Sound duration (s), AM var (dB/s), AM rate (s-1), AM extent (dB),Harmonicity, F1 mean (Hz),F2 mean (Hz),F3 mean (Hz),F4 mean (Hz),F5 mean (Hz),F6 mean (Hz),formant dispersal (Hz),vocal tract length (cm),mean wiener entropy,Comment,Duration(s),Start
HFC_01.wav,96.302,98.64,92.34,109.417,73.647,35.770,64.722,154.530,149.854,3.436,43.60954304311929,349.355,601.351,3747.212,422.228,1.019,36.683,11.781,3.114,5.08,411.332,1173.878,1864.506,2468.381,3105.693,3545.250,626.784,27.920,-2.609,,1.019,15:15:06
HFC_02.wav,92.825,94.74,92.47,107.272,84.403,22.870,23.991,60.531,58.337,2.675,21.806794114063003,332.816,422.947,1236.253,340.709,1.308,38.692,5.733,6.749,13.42,362.198,996.515,1622.414,2075.827,2790.104,3380.471,603.654,28.990,-1.717,,1.308,15:15:08
HFC_03.wav,107.025,106.96,107.53,107.531,106.776,0.754,88.648,32.980,0.000,0.000,--undefined--,917.381,9720.483,17133.569,450.175,1.234,57.938,12.159,4.765,7.68,421.465,1146.886,1839.651,2414.049,3076.757,3544.540,624.615,28.017,-2.278,,1.234,15:15:27
HFC_04.wav,93.758,106.06,106.33,106.961,85.249,21.712,94.168,96.486,92.337,5.359,17.2289662219211,311.034,650.958,3696.103,322.246,0.746,41.164,12.059,3.414,5.99,359.119,1104.568,1616.948,2244.274,2950.731,3477.621,623.700,28.058,-2.509,,0.746,15:15:41
HFC_05.wav,95.374,98.73,102.11,108.663,86.206,22.457,28.782,31.824,17.324,1.145,15.135565457405027,378.036,398.106,470.294,376.893,2.621,36.411,7.058,5.159,24.37,383.363,908.198,1731.021,2349.231,2819.094,3399.957,603.319,29.006,-1.073,,2.621,15:15:44
HFC_06.wav,99.648,82.71,94.11,105.889,82.715,23.174,59.970,35.492,28.751,2.749,10.458649926564542,342.804,438.929,1532.036,391.343,1.273,53.947,8.640,6.244,9.98,350.078,1118.799,1835.563,2509.780,3042.077,3510.394,632.063,27.687,-2.218,,1.273,15:16:14
HFC_07.wav,90.052,86.09,81.59,103.911,81.591,22.320,81.134,77.841,73.913,5.279,14.000088953793304,356.748,451.245,1545.590,389.497,0.663,51.260,9.805,5.228,9.78,377.090,967.519,1636.497,2121.424,2920.509,3396.898,603.961,28.975,-2.166,,0.663,15:16:16
LFC_01.wav,91.877,91.43,101.38,101.378,87.870,13.508,97.399,57.895,54.621,2.690,20.303334219860563,285.903,579.075,4058.375,368.061,0.558,44.964,7.174,6.268,7.19,378.763,1082.920,1854.135,2414.017,3102.479,3569.745,638.196,27.421,-2.982,,0.558,15:14:41
LFC_02.wav,91.564,88.80,87.29,93.304,87.191,6.113,18.964,23.174,21.077,5.380,3.9173287563191983,205.897,509.782,4413.359,356.954,0.558,45.167,9.864,4.579,9.26,340.714,992.733,1811.228,2338.627,3153.243,3558.222,643.502,27.195,-3.483,,0.558,15:14:42
LFC_03.wav,93.722,72.80,94.99,97.498,72.804,24.694,58.727,73.243,53.104,1.017,52.22303382259324,294.683,1014.491,7728.384,374.478,0.492,33.812,6.101,5.542,6.96,369.171,1090.264,1719.465,2401.752,3143.250,3623.227,650.811,26.890,-3.845,,0.492,15:15:24
LFC_04.wav,87.806,83.15,76.20,90.619,76.195,14.424,51.536,42.820,40.830,5.601,7.2896601858479455,182.218,619.539,5383.682,73.208,0.803,49.033,13.069,3.752,10.08,362.070,1089.613,1808.625,2512.095,3255.323,3591.268,645.840,27.097,-3.794,,0.803,15:15:39
LFC_05.wav,101.397,81.51,104.25,106.179,81.511,24.668,77.287,54.441,49.708,4.723,10.52381744121915,278.511,682.485,3955.784,188.622,0.953,34.223,12.596,2.717,5.05,374.971,996.159,1823.792,2478.752,3075.370,3526.199,630.246,27.767,-2.969,,0.953,15:15:40
LFC_06.wav,86.217,96.29,92.38,97.004,77.302,19.702,8.692,85.091,80.768,4.156,19.431876429703674,272.687,407.202,1201.010,283.877,0.601,39.348,13.301,2.958,4.59,378.476,912.939,1729.729,2337.600,3079.884,3531.272,630.559,27.753,-1.978,,0.601,15:15:48
LFC_07.wav,85.994,83.60,80.91,90.812,80.908,9.904,37.119,28.781,26.324,4.952,5.3161132856719,426.058,3264.279,11596.328,492.979,0.808,50.210,9.903,5.070,7.87,428.209,1109.891,1812.336,2522.606,3131.358,3524.450,619.248,28.260,-3.542,,0.808,15:16:25
