file, Mean F0 (Hz),Start F0 (Hz),End F0 (Hz),Max F0 (Hz),Min F0 (Hz),Range F0 (Hz),Time max F0 (%),F0 Abs Slope,F0 var (Hz/s),FM Rate (s-1),FM Extent (Hz),Q25% (Hz),Q50% (Hz),Q75% (Hz),Fpeak (Hz),Sound duration (s), AM var (dB/s), AM rate (s-1), AM extent (dB),Harmonicity, F1 mean (Hz),F2 mean (Hz),F3 mean (Hz),F4 mean (Hz),F5 mean (Hz),F6 mean (Hz),formant dispersal (Hz),vocal tract length (cm),mean wiener entropy,Comment,Column1
HFC_01.wav,89.09,78.24,92.27,101.811,78.086,23.726,19.286,83.094,76.7,3.953,19.40451899762654,256.157,336.062,497.114,315.157,1.012,51.9,11.364,4.567,10.17,343.018,1072.45,1559.379,2137.805,2799.976,3142.213,559.839,31.259,-0.464,,
HFC_02.wav,86.578,73.05,86.07,101.7,73.052,28.648,14.159,54.752,50.84,2.556,19.894483365845694,244.935,292.38,505.754,247.226,1.37,26.207,11.317,2.316,15.74,280.239,1067.846,1663.036,2253.254,2821.298,3227.45,589.442,29.689,-0.844,,
HFC_03.wav,88.53,76.73,83.07,106.17,74.897,31.273,24.147,79.034,65.435,2.832,23.101878329693516,268.027,337.248,452.28,332.724,1.765,34.635,9.914,3.494,17.68,334.104,1100.252,1643.479,2191.031,2826.52,3198.176,572.814,30.551,-0.664,,
HFC_04.wav,87.156,71.25,76.49,106.812,71.254,35.559,49.452,80.633,44.32,2.054,21.582689001644585,249.79,317.915,406.024,333.275,1.461,46.644,8.214,5.679,21.1,296.017,1161.405,1787.253,2256.059,2873.235,3242.218,589.24,29.699,-0.303,,
HFC_05.wav,86.615,73.02,81.78,102.248,73.015,29.232,21.871,79.52,73.094,4.023,18.168041648405886,265.127,345.381,541.164,337.56,1.119,37.225,12.07,3.084,17.39,320.198,1005.695,1620.956,2151.786,2782.788,3188.585,573.677,30.505,-0.67,,
HFC_06.wav,86.559,71.54,86.6,104.008,71.536,32.471,28.374,66.008,57.242,2.577,22.212609457114496,259.709,332.027,565.274,320.056,1.164,33.215,6.442,5.156,18.39,309.942,1181.258,1689.534,2288.78,2826.12,3200.788,578.169,30.268,-0.91,,
HFC_07.wav,86.349,71.61,76.99,100.629,71.605,29.024,25.258,79.292,57.695,2.547,22.652163195529,241.61,341.688,770.876,348.425,0.982,37.761,8.66,4.36,12.28,297.512,1085.778,1659.09,2261.556,2826.825,3160.121,572.522,30.567,-1.497,,
HFC_08.wav,87.162,72.3,78.17,105.418,72.305,33.113,26.894,70.481,61.956,4.354,14.228007001664134,265.629,341.787,576.697,330.807,1.263,38.933,7.521,5.176,12.7,323.093,1059.603,1624.916,2146.705,2826.48,3199.015,575.184,30.425,-0.794,,
HFC_09.wav,94.104,79.12,85.2,104.606,79.125,25.481,18.369,86.816,80.178,3.323,24.13135449009492,294.567,412.305,992.0,357.915,1.354,35.293,10.706,3.297,15.12,361.105,1002.615,1615.484,2194.914,2774.306,3207.732,569.325,30.738,-1.626,,
HFC_10.wav,89.016,71.15,85.47,106.324,70.98,35.344,57.88,65.167,41.164,1.083,38.00244594427327,320.128,361.858,460.391,341.914,1.385,42.68,7.582,5.629,18.99,328.78,1186.306,1795.966,2262.782,2921.01,3244.405,583.125,30.011,-0.353,,
