file, Mean F0 (Hz),Start F0 (Hz),End F0 (Hz),Max F0 (Hz),Min F0 (Hz),Range F0 (Hz),Time max F0 (%),F0 Abs Slope,F0 var (Hz/s),FM Rate (s-1),FM Extent (Hz),Q25% (Hz),Q50% (Hz),Q75% (Hz),Fpeak (Hz),Sound duration (s), AM var (dB/s), AM rate (s-1), AM extent (dB),Harmonicity, F1 mean (Hz),F2 mean (Hz),F3 mean (Hz),F4 mean (Hz),F5 mean (Hz),F6 mean (Hz),formant dispersal (Hz),vocal tract length (cm),mean wiener entropy,Comment,
HFC_01.wav,91.955,71.79,77.66,109.727,71.794,37.933,39.128,160.600,21.785,1.933,11.271502414097164,222.475,297.978,405.285,242.384,1.035,43.969,9.180,4.789,16.56,329.303,1085.313,1754.629,2379.573,2935.066,3347.378,603.615,28.992,-0.231,unvoiced,
HFC_02.wav,99.875,71.72,109.75,109.765,71.232,38.532,38.709,175.605,35.154,5.579,6.300708897437687,262.516,347.901,423.061,354.661,0.807,35.643,6.819,5.227,16.92,304.159,1156.046,1809.011,2238.221,2888.590,3294.051,597.978,29.265,-0.396,unvoiced,
HFC_03.wav,95.074,88.55,75.58,103.902,73.401,30.500,13.020,69.639,61.203,2.347,26.078547323313728,338.259,481.969,1502.676,367.510,1.491,29.790,9.052,3.291,18.22,370.270,1031.530,1617.086,2109.804,2736.757,3202.070,566.360,30.899,-2.088,,
HFC_04.wav,91.776,102.31,86.80,102.603,85.775,16.828,25.903,43.792,23.273,1.528,15.229072465169812,321.359,369.442,522.182,349.625,0.982,51.679,7.641,6.763,21.34,341.772,1098.402,1620.851,2070.241,2693.174,3203.713,572.388,30.574,-0.750,,
HFC_05.wav,94.028,77.35,88.50,102.940,77.346,25.593,18.995,52.333,47.708,1.815,26.281137428027744,333.758,401.913,799.788,355.313,1.377,43.066,10.529,4.090,17.46,368.320,1110.337,1579.864,2029.155,2657.544,3221.916,570.719,30.663,-1.905,,
HFC_06.wav,88.235,70.92,76.32,108.494,70.917,37.577,56.591,101.336,49.192,0.773,63.63009296678332,323.274,342.028,367.624,335.409,1.294,42.613,5.025,8.480,21.80,321.203,1115.540,1782.273,2238.808,2881.499,3191.486,574.057,30.485,-0.512,,
HFC_07.wav,89.577,71.83,76.25,106.216,71.833,34.382,45.518,67.181,45.930,1.180,38.9086127697048,324.959,365.121,520.737,335.878,1.271,38.711,7.083,5.465,20.15,342.963,1172.752,1650.986,2160.059,2808.361,3265.457,584.499,29.940,-0.671,,
HFC_08.wav,85.599,97.77,76.54,103.362,71.726,31.636,68.317,111.830,65.867,1.306,50.45095465216232,275.704,344.508,478.547,338.314,1.149,44.175,8.269,5.343,15.29,311.762,1190.504,1831.476,2348.950,2986.816,3304.943,598.636,29.233,-0.364,,
HFC_09.wav,88.080,71.15,79.68,107.382,71.150,36.232,66.226,100.260,44.355,0.391,113.39808120791918,274.472,342.114,463.447,335.478,1.278,33.519,7.823,4.285,14.80,322.690,1133.972,1862.503,2334.225,2919.266,3277.078,590.878,29.617,-0.059,,
HFC_10.wav,88.003,70.78,83.98,108.661,70.779,37.882,85.684,56.532,14.196,0.603,23.547537089330618,281.660,389.405,1894.459,314.448,1.659,32.492,7.837,4.146,12.72,326.752,1195.202,1879.747,2342.378,2952.330,3172.407,569.131,30.749,-2.632,,
