file, Mean F0 (Hz),Start F0 (Hz),End F0 (Hz),Max F0 (Hz),Min F0 (Hz),Range F0 (Hz),Time max F0 (%),F0 Abs Slope,F0 var (Hz/s),FM Rate (s-1),FM Extent (Hz),Q25% (Hz),Q50% (Hz),Q75% (Hz),Fpeak (Hz),Sound duration (s), AM var (dB/s), AM rate (s-1), AM extent (dB),Harmonicity, F1 mean (Hz),F2 mean (Hz),F3 mean (Hz),F4 mean (Hz),F5 mean (Hz),F6 mean (Hz),formant dispersal (Hz),vocal tract length (cm),mean wiener entropy,Comment,
HFC_01.wav,87.031,71.54,84.06,103.735,71.536,32.199,46.568,123.076,89.130,1.803,49.4319708764437,287.781,353.792,511.322,340.715,0.832,45.684,6.010,7.601,15.66,306.869,1163.010,1769.681,2295.606,2952.195,3323.556,603.337,29.005,-0.476,,
HFC_02.wav,89.038,74.42,88.82,102.669,74.417,28.252,33.689,110.519,89.623,4.028,22.248599918707686,272.745,357.838,473.805,358.926,0.869,45.255,5.179,8.738,17.66,322.948,1146.759,1755.036,2184.690,2838.345,3165.026,568.416,30.787,-0.540,,
HFC_03.wav,92.264,90.97,79.38,102.753,79.378,23.376,19.043,91.624,61.278,3.435,17.841694423604267,321.210,447.755,1467.901,336.752,1.165,58.923,7.298,8.073,15.54,358.007,1062.994,1651.964,2174.633,2771.157,3207.656,569.930,30.706,-2.105,,
HFC_04.wav,91.875,76.83,89.97,102.797,76.825,25.972,27.009,69.567,56.887,2.474,22.995898095155592,282.107,357.735,532.095,329.026,1.011,56.997,6.432,8.862,18.05,346.372,1127.469,1655.156,2211.098,2862.644,3153.627,561.451,31.169,-0.694,,
HFC_05.wav,86.168,80.27,90.83,102.535,75.533,27.002,24.968,82.511,67.092,3.453,19.43132663227188,304.066,608.149,1781.267,324.099,1.158,34.940,5.611,6.227,19.15,305.401,1132.856,1794.579,2244.685,2762.797,3156.072,570.134,30.695,-2.804,,
HFC_06.wav,93.355,94.63,80.14,106.906,73.956,32.950,86.555,144.184,78.241,1.717,45.56278411354983,205.473,289.473,517.509,212.834,1.165,36.015,6.440,5.593,14.92,308.362,1161.077,1793.749,2341.001,2937.801,3208.212,579.970,30.174,-0.156,,
HFC_07.wav,90.024,73.40,85.23,104.463,73.398,31.065,38.497,93.761,66.948,2.798,23.92775723710032,285.384,359.169,523.450,327.271,0.894,71.262,3.917,18.192,17.86,350.779,1073.261,1674.876,2116.364,2854.653,3172.449,564.334,31.010,-0.240,,
HFC_08.wav,92.003,87.50,88.10,101.399,79.587,21.812,16.629,54.111,42.683,2.049,20.83145045891515,350.119,379.232,443.390,365.918,1.220,38.850,6.147,6.320,26.07,356.307,1085.610,1644.931,2294.127,2905.377,3251.295,578.997,30.225,-1.024,,
HFC_09.wav,94.042,71.23,83.11,103.385,71.225,32.160,71.133,63.868,31.262,1.337,23.37371480165798,277.711,337.496,512.994,308.799,1.122,45.168,6.687,6.754,18.07,333.565,1192.602,1817.446,2293.342,3032.316,3448.655,623.018,28.089,-0.251,,
HFC_10.wav,90.183,72.93,81.85,106.636,72.927,33.709,27.920,66.583,47.834,2.183,21.91067797914856,341.071,370.103,466.608,348.000,1.374,38.863,8.369,4.644,22.65,351.813,1140.216,1774.234,2240.964,2937.369,3312.063,592.050,29.558,-0.739,,
HFC_11.wav,92.371,83.57,78.29,109.691,72.821,36.869,82.421,103.789,55.998,0.734,76.2600045643856,225.860,325.475,645.917,307.065,1.362,39.669,7.710,5.145,11.48,314.515,1042.910,1785.628,2290.585,2907.620,3218.160,580.729,30.135,-0.208,,
HFC_12.wav,92.927,80.94,86.57,98.923,80.936,17.987,18.649,55.770,45.302,2.429,18.647601209510874,352.095,441.065,1204.411,358.604,1.029,57.734,9.232,6.254,14.97,378.953,1172.837,1690.797,2170.485,2838.291,3241.543,572.518,30.567,-1.939,,
HFC_13.wav,90.764,72.07,85.89,101.225,72.070,29.155,18.792,65.881,56.971,1.741,32.71941823588876,268.098,368.481,530.582,368.535,1.436,36.761,9.403,3.910,18.75,341.888,1080.967,1694.144,2209.039,2842.540,3210.100,573.642,30.507,-0.589,,
HFC_14.wav,92.868,72.43,84.07,109.133,72.426,36.706,44.955,103.817,74.489,2.223,33.507634503468005,302.018,860.860,2189.611,331.179,1.350,44.395,4.817,9.217,17.52,338.228,1092.808,1789.231,2190.880,2805.960,3106.980,553.750,31.603,-1.997,,
HFC_15.wav,87.596,80.12,85.95,98.803,76.821,21.983,29.594,112.028,80.082,3.409,23.489321501624666,288.546,410.431,1381.205,362.653,0.733,58.615,6.137,9.551,15.22,328.964,1098.145,1796.160,2309.930,2873.179,3204.141,575.035,30.433,-2.322,,
HFC_16.wav,92.697,71.74,87.34,106.536,71.745,34.791,26.065,53.966,51.979,3.932,13.21991661077425,297.478,364.446,548.437,343.090,1.399,27.213,10.366,2.625,20.99,356.440,1127.028,1670.399,2202.794,2822.113,3221.911,573.094,30.536,-0.965,,
