file, Mean F0 (Hz),Start F0 (Hz),End F0 (Hz),Max F0 (Hz),Min F0 (Hz),Range F0 (Hz),Time max F0 (%),F0 Abs Slope,F0 var (Hz/s),FM Rate (s-1),FM Extent (Hz),Q25% (Hz),Q50% (Hz),Q75% (Hz),Fpeak (Hz),Sound duration (s), AM var (dB/s), AM rate (s-1), AM extent (dB),Harmonicity, F1 mean (Hz),F2 mean (Hz),F3 mean (Hz),F4 mean (Hz),F5 mean (Hz),F6 mean (Hz),formant dispersal (Hz),vocal tract length (cm),mean wiener entropy,Comment,
HFC_01.wav,87.484,72.40,84.22,101.251,72.404,28.847,27.630,92.760,74.839,3.106,24.094368935909074,220.300,310.378,450.218,232.917,0.966,46.069,4.659,9.888,18.08,292.338,1009.905,1671.715,2219.976,2821.723,3326.071,606.747,28.842,-0.451,,
HFC_02.wav,87.765,73.08,86.02,101.350,73.083,28.267,34.968,101.539,76.415,2.920,26.167496638376956,222.821,316.580,446.688,232.188,0.856,51.939,4.088,12.704,17.57,299.663,1046.668,1666.496,2177.677,2822.526,3284.970,597.061,29.310,-0.189,,
HFC_03.wav,91.745,73.59,85.93,104.060,73.595,30.466,31.142,71.199,54.008,1.400,38.570390680342285,279.759,382.227,867.420,333.430,1.071,36.900,5.601,6.588,19.61,333.267,992.818,1589.623,2068.256,2716.208,3202.256,573.798,30.499,-1.599,,
HFC_04.wav,89.684,83.76,80.06,101.553,73.024,28.529,18.285,102.549,76.867,3.755,20.473152618472238,297.788,472.578,1369.387,276.091,1.199,44.967,10.429,4.312,14.98,347.687,982.142,1597.420,2072.931,2682.418,3163.166,563.096,31.078,-1.509,,
HFC_05.wav,94.492,75.89,81.78,104.125,75.886,28.239,18.849,71.798,67.415,1.329,50.709404850248184,335.102,463.337,1359.412,339.727,1.128,40.061,7.533,5.318,17.15,385.611,1043.613,1581.911,2087.608,2733.440,3192.215,561.321,31.176,-1.685,,
HFC_06.wav,91.740,84.32,83.69,106.062,74.939,31.123,81.515,103.169,65.071,1.906,34.138599066181655,247.594,333.176,791.319,304.731,1.049,39.326,8.101,4.855,13.34,299.108,1094.022,1781.894,2279.137,2885.710,3374.677,615.114,28.450,-1.650,,
HFC_07.wav,87.868,71.48,76.95,106.249,71.480,34.769,44.978,116.818,63.915,1.216,52.56688905610752,259.958,332.991,417.009,332.959,1.234,37.128,6.890,5.389,18.08,293.831,1106.952,1766.675,2296.301,2901.537,3345.803,610.394,28.670,-0.263,,
HFC_08.wav,89.133,72.97,87.03,106.478,72.966,33.512,25.103,88.338,86.172,2.797,30.806554442436617,227.867,310.519,370.841,339.579,1.251,24.320,5.195,4.682,24.79,311.693,951.486,1625.642,2257.220,2921.650,3361.035,609.868,28.695,-0.598,,
HFC_09.wav,91.358,72.07,80.79,105.218,72.072,33.146,33.337,76.992,54.976,1.518,36.204411004951474,347.282,437.066,1582.974,355.648,0.988,46.937,3.543,13.247,18.79,336.683,1122.168,1719.551,2175.203,2808.896,3244.274,581.518,30.094,-2.252,,
HFC_10.wav,88.873,71.47,81.15,98.272,71.474,26.797,47.325,59.311,40.398,1.532,26.3677588556949,1643.104,8521.387,15766.298,278.719,0.979,65.096,9.703,6.709,4.15,306.619,1166.900,1755.100,2320.440,3001.212,3410.883,620.853,28.187,-6.852,,
