file, Mean F0 (Hz),Start F0 (Hz),End F0 (Hz),Max F0 (Hz),Min F0 (Hz),Range F0 (Hz),Time max F0 (%),F0 Abs Slope,F0 var (Hz/s),FM Rate (s-1),FM Extent (Hz),Q25% (Hz),Q50% (Hz),Q75% (Hz),Fpeak (Hz),Sound duration (s), AM var (dB/s), AM rate (s-1), AM extent (dB),Harmonicity, F1 mean (Hz),F2 mean (Hz),F3 mean (Hz),F4 mean (Hz),F5 mean (Hz),F6 mean (Hz),formant dispersal (Hz),vocal tract length (cm),mean wiener entropy,Comment,Duration(s),Start
HFC_01.wav,91.983,70.88,82.57,109.826,70.877,38.950,92.154,207.434,39.875,1.035,38.512941251349176,220.300,310.378,450.218,232.917,0.966,46.066,4.659,9.887,18.08,292.214,1009.910,1671.707,2219.973,2821.727,3326.075,606.772,28.841,-0.451,unvoiced,0.966,12:05:19
HFC_02.wav,90.315,71.91,87.34,109.777,71.906,37.871,93.178,246.641,43.837,0.000,--undefined--,222.821,316.580,446.688,232.188,0.856,51.937,4.088,12.704,17.57,299.657,1046.618,1666.429,2177.984,2822.767,3284.923,597.053,29.311,-0.189,unvoiced,0.856,12:09:24
HFC_03.wav,89.378,73.59,85.93,104.060,73.593,30.467,31.142,98.846,78.249,2.334,33.52953560364817,279.759,382.227,867.420,333.430,1.071,36.900,5.601,6.588,19.61,333.257,992.775,1589.657,2068.214,2716.159,3202.297,573.808,30.498,-1.599,,1.071,12:09:27
HFC_04.wav,88.278,83.76,80.06,101.553,70.562,30.992,18.285,107.171,80.944,3.755,21.558999752037632,297.788,472.578,1369.387,276.091,1.199,44.967,10.429,4.312,14.99,347.687,982.142,1597.420,2072.931,2682.418,3163.166,563.096,31.078,-1.509,,1.199,12:09:29
HFC_05.wav,94.492,75.89,81.78,104.125,75.887,28.239,18.849,71.798,67.415,1.329,50.70942790561839,335.102,463.337,1359.412,339.727,1.128,40.060,7.533,5.318,17.15,385.611,1043.613,1581.911,2087.608,2733.440,3192.215,561.321,31.176,-1.685,,1.128,12:09:31
HFC_06.wav,94.507,84.97,85.37,106.311,75.376,30.934,81.484,153.730,60.364,14.296,4.222552636201319,247.594,333.176,791.319,304.731,1.049,39.326,8.101,4.855,13.34,299.108,1094.022,1781.894,2279.136,2885.710,3374.677,615.114,28.450,-1.650,unvoiced,1.049,12:14:41
HFC_07.wav,95.469,70.46,71.34,109.935,70.462,39.473,48.408,79.465,27.343,2.432,11.244150194196342,259.958,332.991,417.009,332.959,1.234,37.128,6.890,5.389,18.08,293.831,1106.952,1766.675,2296.301,2901.537,3345.803,610.394,28.670,-0.263,unvoiced,1.234,12:14:49
HFC_08.wav,89.133,72.97,87.03,106.478,72.966,33.512,25.103,88.338,86.173,2.797,30.806612223272396,227.867,310.519,370.841,339.579,1.251,24.321,5.195,4.682,24.79,310.861,949.753,1624.252,2255.890,2920.861,3359.952,609.818,28.697,-0.598,,1.251,12:16:44
HFC_09.wav,91.358,72.07,80.79,105.218,72.071,33.147,33.337,76.994,54.978,1.518,36.20545712174165,347.282,437.066,1582.974,355.648,0.988,46.937,3.543,13.247,18.79,336.683,1122.168,1719.551,2175.202,2808.896,3244.275,581.518,30.094,-2.252,,0.988,12:17:53
HFC_10.wav,97.736,98.70,96.70,98.697,96.699,1.998,47.082,34.959,0.000,0.000,--undefined--,1643.104,8521.387,15766.298,278.719,0.979,65.096,9.703,6.709,4.15,306.619,1166.899,1755.100,2320.440,3001.212,3410.883,620.853,28.187,-6.852,,0.979,12:18:18
HFC_11.wav,90.260,71.23,82.90,109.474,71.229,38.245,38.401,146.963,32.819,0.000,--undefined--,222.714,306.580,490.618,225.884,1.155,26.409,6.495,4.066,22.06,295.865,1111.186,1720.343,2193.275,2894.917,3395.188,619.864,28.232,-0.369,unvoiced,1.155,12:18:47
HFC_12.wav,86.654,71.59,80.76,104.375,71.592,32.783,30.959,130.617,103.596,3.607,28.71896459145146,275.674,394.637,1198.883,238.453,0.970,37.031,4.638,7.985,19.04,315.542,1104.199,1677.433,2108.651,2765.879,3239.828,584.857,29.922,-1.997,,0.970,12:19:18
HFC_13.wav,90.007,92.98,84.02,105.414,84.016,21.398,18.333,48.440,29.005,3.235,8.964674409569303,296.912,526.109,1630.730,339.577,1.545,31.038,5.500,5.643,18.30,333.284,1026.439,1658.687,2143.993,2753.945,3203.325,574.008,30.487,-1.995,,1.545,12:19:20
HFC_14.wav,88.623,84.74,77.76,109.944,70.582,39.362,66.056,305.593,115.336,21.479,5.369702480014554,205.845,270.819,356.581,210.762,1.001,29.031,8.492,3.419,14.92,275.697,1139.737,1815.994,2391.801,3022.206,3491.085,643.078,27.213,-0.007,unvoiced,1.001,12:29:12
HFC_15.wav,103.396,98.15,83.33,109.946,73.950,35.996,36.609,98.787,12.327,0.937,13.151340247789207,229.523,331.109,607.752,227.191,1.067,36.003,4.218,8.536,20.22,289.171,1074.565,1676.849,2203.696,2860.483,3285.010,599.168,29.207,-0.809,unvoiced,1.067,12:30:34
HFC_16.wav,90.598,71.85,81.11,107.502,71.850,35.652,47.874,82.880,48.154,1.270,37.912890345080605,240.927,335.730,431.756,226.977,1.181,38.341,2.117,18.112,19.91,299.498,1089.625,1757.233,2241.868,2853.983,3371.275,614.355,28.485,0.036,,1.181,12:31:17
HFC_17.wav,89.436,71.35,83.68,104.729,71.348,33.380,44.114,85.468,59.735,1.546,38.63824449190233,307.463,373.249,837.995,327.599,0.970,47.819,7.215,6.628,17.88,320.130,1135.594,1729.015,2198.110,2845.984,3281.935,592.361,29.543,-1.658,,0.970,12:32:41
HFC_18.wav,86.473,71.00,80.23,100.153,70.950,29.203,84.245,56.196,14.688,1.135,12.93974194475343,289.439,474.866,2179.907,292.929,1.321,40.764,7.567,5.387,14.96,309.728,1173.125,1854.643,2343.147,2933.250,3359.475,609.949,28.691,-2.775,,1.321,12:32:52
HFC_19.wav,96.575,71.16,109.75,109.745,71.109,38.636,46.759,135.646,9.572,3.630,2.636930676456185,242.250,345.237,647.602,233.929,1.102,33.062,7.714,4.286,17.02,301.886,1084.187,1770.627,2230.378,2881.801,3298.816,599.386,29.197,-0.633,unvoiced,1.102,12:32:59
HFC_20.wav,90.684,86.47,78.96,103.517,78.956,24.560,19.190,68.448,48.230,4.446,10.84761478419048,301.820,532.839,1543.347,322.900,1.462,38.300,8.550,4.479,16.65,363.407,1037.018,1672.840,2197.362,2796.888,3204.535,568.226,30.798,-1.634,,1.462,12:33:01
HFC_21.wav,94.194,72.00,71.93,109.906,70.653,39.253,22.698,141.636,29.124,0.780,37.33598219237548,282.899,379.564,716.756,356.942,1.282,24.241,6.630,3.656,21.73,341.523,1118.914,1697.480,2272.213,2878.497,3267.802,585.256,29.901,-1.141,unvoiced,1.282,12:33:26
HFC_22.wav,89.840,70.94,100.82,107.693,70.943,36.750,62.605,94.537,46.278,0.393,117.84036846955604,275.929,349.882,573.821,329.371,1.273,37.801,4.320,8.750,19.20,295.436,1218.081,1816.634,2270.988,2896.919,3346.176,610.148,28.682,-0.533,,1.273,12:33:54
HFC_23.wav,89.899,71.10,83.58,107.487,71.104,36.383,54.507,93.839,46.261,1.124,41.16147555912632,324.326,356.940,507.900,330.957,1.335,35.542,6.743,5.271,19.53,317.189,1162.983,1792.182,2245.226,2872.953,3256.950,587.952,29.764,-0.287,,1.335,12:34:11
HFC_24.wav,90.348,70.88,104.96,109.357,70.883,38.474,36.723,258.848,44.149,0.000,--undefined--,275.881,611.758,3565.526,230.376,0.847,30.968,7.671,4.037,14.63,315.633,1121.678,1742.064,2339.484,3047.350,3520.444,640.962,27.303,-4.048,unvoiced,0.847,12:34:34
LFC_01.wav,91.933,72.67,94.37,95.851,72.670,23.181,28.767,36.461,33.328,1.998,16.679960698313057,158.411,328.559,1212.241,191.004,0.751,36.769,9.324,3.943,1.45,340.019,1121.962,1869.687,2319.531,3099.487,3553.056,642.607,27.233,-1.923,,0.751,12:24:04
LFC_02.wav,93.807,83.15,79.59,106.653,79.588,27.066,21.223,43.301,41.979,2.499,16.7978062302146,195.937,425.646,3454.463,167.906,1.401,35.724,10.353,3.450,3.16,298.121,1152.679,1910.705,2319.497,3072.293,3557.584,651.893,26.845,-3.244,,1.401,12:25:21
