file, Mean F0 (Hz),Start F0 (Hz),End F0 (Hz),Max F0 (Hz),Min F0 (Hz),Range F0 (Hz),Time max F0 (%),F0 Abs Slope,F0 var (Hz/s),FM Rate (s-1),FM Extent (Hz),Q25% (Hz),Q50% (Hz),Q75% (Hz),Fpeak (Hz),Sound duration (s), AM var (dB/s), AM rate (s-1), AM extent (dB),Harmonicity, F1 mean (Hz),F2 mean (Hz),F3 mean (Hz),F4 mean (Hz),F5 mean (Hz),F6 mean (Hz),formant dispersal (Hz),vocal tract length (cm),mean wiener entropy,Comment,
HFC_01.wav,85.835,72.70,76.24,103.686,72.433,31.253,32.820,75.313,67.290,2.324,28.949779669036914,305.946,682.289,1515.301,340.824,1.291,57.983,9.685,5.987,6.31,442.177,1110.806,1653.907,2205.337,2916.911,3330.394,577.644,30.296,-1.131,,
HFC_02.wav,85.013,72.21,105.92,106.245,72.211,34.034,29.066,93.475,56.841,2.387,23.81106569802879,314.925,513.171,1595.038,331.447,1.676,66.689,8.952,7.450,8.25,354.339,1095.701,1638.364,2104.059,2853.615,3322.214,593.575,29.482,-1.530,,
HFC_03.wav,80.865,70.79,73.60,107.662,70.788,36.874,43.258,96.232,72.415,3.099,23.36611888637502,278.788,375.222,913.869,338.439,1.291,50.639,12.397,4.085,6.49,343.999,1096.245,1631.629,2168.305,2813.135,3275.855,586.371,29.845,-1.278,,
HFC_04.wav,85.072,83.06,77.59,107.565,73.108,34.456,55.434,68.970,64.498,3.840,16.79522150050145,272.820,353.864,771.323,322.247,1.562,67.819,11.521,5.887,5.33,326.598,1055.148,1692.745,2159.628,2863.683,3366.483,607.977,28.784,-1.058,,
HFC_05.wav,94.032,90.28,93.70,99.278,78.067,21.211,71.228,74.843,40.452,3.680,10.991645581986846,324.806,427.811,983.730,386.490,1.494,43.544,12.044,3.615,14.49,370.498,936.893,1537.078,2015.955,2733.151,3162.101,558.321,31.344,-1.115,,
HFC_06.wav,90.497,103.66,100.75,106.411,76.959,29.452,31.792,58.713,34.663,4.039,8.581366777549437,327.112,444.955,1569.489,323.900,1.857,89.912,12.118,7.420,11.78,355.354,986.129,1645.764,2153.313,2848.013,3315.355,592.000,29.561,-2.235,,
HFC_07.wav,87.013,82.65,96.57,102.943,75.531,27.412,58.585,65.948,53.275,2.872,18.547221417551828,330.728,518.462,1529.130,350.815,2.785,68.507,10.053,6.814,12.98,362.170,1103.799,1619.213,2125.789,2799.408,3261.455,579.857,30.180,-1.589,,
HFC_08.wav,91.301,94.77,74.66,102.382,74.659,27.723,32.594,58.454,23.536,2.300,10.232400260881679,328.972,377.145,537.631,346.595,1.087,66.433,5.980,11.109,20.01,351.154,1005.757,1587.360,2082.611,2756.002,3224.579,574.685,30.451,-0.580,,
HFC_09.wav,89.380,82.45,72.11,100.657,72.107,28.551,21.192,61.918,39.087,1.381,28.300405030079276,347.082,371.274,444.226,349.334,1.086,58.483,7.366,7.939,18.05,359.162,913.549,1534.810,1967.621,2724.886,3286.673,585.502,29.889,-0.797,,
HFC_10.wav,93.415,84.33,75.42,106.142,75.419,30.723,10.586,67.913,61.184,1.879,32.56878143066966,344.884,496.848,1351.894,362.828,2.395,58.151,9.602,6.056,13.67,363.971,1020.462,1574.146,2040.880,2784.815,3260.212,579.248,30.212,-1.840,,
HFC_100.wav,89.047,77.31,78.43,100.121,76.375,23.746,16.885,111.187,93.778,4.745,19.764552145232848,300.091,464.593,1127.876,351.001,1.370,59.431,9.125,6.513,9.69,364.603,953.632,1557.457,2073.923,2739.250,3164.018,559.883,31.257,-1.025,,
HFC_101.wav,91.198,88.34,91.56,105.006,80.409,24.598,10.848,89.805,86.547,4.280,20.220711284943263,352.055,579.419,1058.662,330.874,1.285,61.909,11.673,5.304,9.34,406.177,899.927,1530.763,2053.224,2726.073,3195.298,557.824,31.372,-0.968,,
HFC_102.wav,86.002,82.45,100.79,105.067,77.779,27.288,38.947,97.061,92.612,3.004,30.827087408437723,288.658,375.486,1093.274,322.913,0.832,63.206,11.416,5.537,9.08,317.050,962.780,1556.020,2001.853,2800.875,3313.856,599.361,29.198,-1.257,,
HFC_103.wav,91.454,83.41,88.70,106.977,81.467,25.510,25.654,109.661,101.322,4.438,22.828079291973086,319.064,451.899,1560.906,324.692,1.127,62.471,7.989,7.819,9.64,378.140,1005.874,1626.087,2067.839,2866.187,3296.009,583.574,29.988,-1.635,,
HFC_104.wav,93.890,90.08,81.56,107.133,80.568,26.565,38.773,97.339,92.182,4.140,22.264412377179962,312.873,401.973,1213.558,320.966,0.725,79.620,4.830,16.483,10.97,339.974,971.546,1633.780,2078.811,2849.892,3306.199,593.245,29.499,-1.498,,
HFC_105.wav,92.363,93.66,75.62,102.103,74.583,27.520,13.578,125.630,121.474,5.489,22.12982167576573,328.599,526.595,1039.100,325.589,1.002,49.537,10.479,4.727,9.18,400.596,885.945,1526.873,1978.620,2632.402,3150.803,550.041,31.816,-0.776,,
HFC_106.wav,95.305,77.51,90.29,106.124,77.505,28.618,22.191,90.666,78.282,2.103,37.22494855753805,356.463,477.493,1275.187,380.592,0.951,50.755,8.938,5.679,12.00,375.811,1014.354,1590.856,2024.544,2712.769,3180.384,560.915,31.199,-1.320,,
HFC_107.wav,91.031,84.72,76.37,103.024,76.366,26.658,20.336,74.374,66.306,3.807,17.41628366491377,354.572,509.589,1179.783,361.523,1.313,43.766,8.756,4.998,12.56,402.279,901.508,1548.324,1973.297,2677.901,3187.511,557.046,31.416,-1.219,,
HFC_108.wav,90.742,72.37,102.70,107.623,72.374,35.249,39.511,88.032,78.742,3.926,20.058661636111783,326.859,500.532,1464.934,329.503,1.019,56.426,10.305,5.476,7.44,352.430,1050.207,1597.767,2009.516,2715.761,3138.640,557.242,31.405,-1.374,,
HFC_109.wav,86.989,97.34,82.71,103.692,77.365,26.326,30.060,81.127,69.071,2.573,26.848378836149024,336.536,442.099,1408.380,335.224,1.166,49.273,9.862,4.996,12.18,352.102,1000.964,1570.186,2012.900,2786.904,3249.228,579.425,30.202,-1.661,,
HFC_11.wav,92.735,86.68,77.48,106.561,77.477,29.084,18.514,72.472,52.698,4.614,11.421103391749458,331.600,469.270,1301.777,339.545,1.517,51.478,8.239,6.248,12.67,360.504,1111.420,1489.295,1984.547,2702.052,3231.219,574.143,30.480,-1.509,,
HFC_110.wav,91.840,98.68,84.54,106.634,81.315,25.318,26.440,115.487,109.869,4.990,22.017120160674736,310.892,369.608,892.802,318.709,1.002,80.234,9.980,8.039,8.57,336.703,993.935,1658.563,2164.872,2844.013,3366.410,605.941,28.881,-1.826,,
HFC_111.wav,88.444,91.58,80.84,106.900,80.681,26.220,21.033,97.672,80.647,6.075,13.274608185141961,289.763,625.871,1597.506,354.541,1.070,40.332,10.749,3.752,10.66,341.839,1155.705,1610.954,2095.839,2763.684,3183.116,568.255,30.796,-1.257,,
HFC_112.wav,91.663,73.76,84.90,102.927,73.755,29.172,55.626,81.051,74.112,2.524,29.367360785338498,308.163,507.979,1801.205,305.154,0.793,59.801,11.987,4.989,5.46,329.850,1154.031,1687.850,2191.240,2901.199,3368.722,607.774,28.794,-2.103,,
HFC_113.wav,95.323,81.63,78.91,104.157,78.909,25.248,65.070,64.496,26.408,1.682,15.696788596981435,318.386,683.482,1965.915,319.828,1.189,72.340,10.936,6.615,8.04,358.384,1180.417,1800.731,2266.671,2694.599,3341.290,596.581,29.334,-2.432,,
HFC_114.wav,84.984,84.65,88.75,91.824,78.940,12.885,43.552,67.279,40.043,4.827,8.296398552335154,274.542,377.976,739.364,353.492,1.036,72.356,9.170,7.890,8.31,348.933,819.993,1559.120,2148.124,2897.529,3426.048,615.423,28.436,-0.696,,
HFC_115.wav,91.026,94.87,83.24,100.903,80.120,20.782,12.321,58.789,57.402,4.444,12.916580635402303,272.379,378.187,606.045,371.666,1.800,42.816,12.499,3.426,11.95,356.860,878.387,1466.494,1962.578,2656.991,3238.751,576.378,30.362,-0.107,,
HFC_116.wav,93.264,91.24,82.18,104.938,82.048,22.891,80.234,66.144,62.632,3.732,16.781967073387175,337.478,393.772,621.809,366.272,1.608,64.491,10.574,6.099,10.71,361.979,965.712,1527.990,2036.091,2711.288,3218.329,571.270,30.633,-0.394,,
HFC_117.wav,87.652,89.07,73.79,103.274,73.794,29.480,17.916,88.130,68.476,5.280,12.96829888710032,311.672,516.993,1328.982,355.987,1.042,54.058,11.041,4.896,10.23,372.850,1034.511,1549.981,2093.184,2773.046,3192.147,563.859,31.036,-1.213,,
HFC_118.wav,92.808,93.08,84.72,100.366,81.737,18.629,61.473,57.462,48.282,5.391,8.956309119918924,344.529,470.897,1094.249,365.089,1.206,51.403,12.026,4.274,11.37,364.987,934.697,1497.225,2037.396,2659.731,3092.098,545.422,32.085,-1.201,,
HFC_119.wav,87.697,87.36,80.30,104.521,78.602,25.919,24.376,90.097,87.163,5.988,14.555805873144656,315.440,585.268,2823.786,337.569,1.002,73.954,13.473,5.489,7.81,345.016,920.934,1618.515,2011.981,2784.172,3270.086,585.014,29.914,-2.495,,
HFC_12.wav,81.961,77.66,83.61,98.809,73.635,25.174,8.268,81.370,78.372,5.805,13.499633911360977,266.910,373.095,707.659,355.812,1.206,54.121,13.684,3.955,6.44,342.673,949.516,1596.765,2077.797,2858.498,3351.572,601.780,29.080,-0.508,,
