file, Mean F0 (Hz),Start F0 (Hz),End F0 (Hz),Max F0 (Hz),Min F0 (Hz),Range F0 (Hz),Time max F0 (%),F0 Abs Slope,F0 var (Hz/s),FM Rate (s-1),FM Extent (Hz),Q25% (Hz),Q50% (Hz),Q75% (Hz),Fpeak (Hz),Sound duration (s), AM var (dB/s), AM rate (s-1), AM extent (dB),Harmonicity, F1 mean (Hz),F2 mean (Hz),F3 mean (Hz),F4 mean (Hz),F5 mean (Hz),F6 mean (Hz),formant dispersal (Hz),vocal tract length (cm),mean wiener entropy,Comment,Duration(s),Start
HFC_01.wav,88.023,78.70,99.08,100.011,78.699,21.312,92.444,33.365,20.868,1.745,11.956192486321115,343.549,529.475,2218.149,339.637,1.146,51.369,5.673,9.056,17.97,346.286,1130.475,1734.735,2141.790,2877.690,3257.693,582.281,30.054,-2.373,,1.146,18:00:09
HFC_02.wav,88.388,108.36,77.78,108.363,77.779,30.584,23.113,101.810,37.694,2.574,14.64545515245809,325.404,385.859,1010.485,333.031,0.777,62.130,3.861,16.093,17.07,342.443,956.424,1609.695,2023.635,2704.005,3326.926,596.897,29.318,-1.306,,0.777,18:00:44
HFC_03.wav,87.037,77.14,105.98,105.978,77.141,28.837,93.977,46.807,42.339,0.973,43.49596443079086,334.370,462.628,2131.596,341.180,1.027,56.519,5.354,10.557,12.78,347.144,1028.407,1685.655,2224.253,2984.806,3363.363,603.244,29.010,-2.595,,1.027,18:04:23
HFC_04.wav,91.991,84.70,76.95,99.072,76.952,22.121,70.001,56.765,19.608,0.584,33.572637454672275,330.338,601.669,2026.466,358.646,0.856,68.221,6.424,10.619,12.00,345.802,1144.154,1671.087,2138.659,2752.873,3196.830,570.206,30.691,-1.954,,0.856,18:05:02
HFC_05.wav,96.517,77.74,74.01,107.886,74.012,33.874,65.188,48.975,29.254,0.328,89.13145777690357,320.045,509.379,1903.361,313.406,1.523,60.546,6.236,9.709,14.19,330.261,1156.180,1697.921,2058.872,2761.311,3198.240,573.596,30.509,-2.135,,1.523,18:05:06
HFC_06.wav,89.351,83.97,104.60,104.605,83.965,20.640,79.775,82.198,7.524,0.744,10.107643177832529,336.015,481.273,2077.146,338.822,0.672,91.614,8.188,11.189,11.99,348.599,1018.686,1641.570,2154.398,2734.466,3390.643,608.409,28.764,-2.182,,0.672,18:11:29
HFC_07.wav,89.950,84.05,98.75,98.749,84.052,14.697,88.471,43.451,24.069,2.373,10.14416737706502,319.708,574.065,1932.964,345.103,1.054,58.265,5.220,11.162,15.44,339.911,1108.993,1669.746,2099.327,2738.456,3269.244,585.867,29.870,-1.901,,1.054,18:11:33
HFC_08.wav,84.225,75.86,78.20,97.363,75.861,21.502,84.900,55.057,48.294,1.643,29.400627771502446,326.229,508.547,3009.571,323.660,0.913,52.176,4.928,10.588,12.62,339.542,1211.435,1834.121,2403.794,3127.578,3547.149,641.521,27.279,-3.130,,0.913,18:21:03
HFC_09.wav,90.783,87.40,81.96,94.186,81.802,12.384,73.913,23.725,6.090,1.220,4.9909770776801095,350.411,1023.340,2293.298,349.934,1.229,42.579,5.288,8.052,15.04,358.390,1220.295,1799.296,2202.288,2872.933,3259.261,580.174,30.163,-1.652,,1.229,18:21:18
HFC_10.wav,90.812,84.13,86.17,107.143,83.947,23.195,35.413,44.227,32.728,0.885,36.975667011905074,349.988,397.673,1009.103,342.683,1.695,54.227,5.016,10.811,20.55,344.336,1102.446,1714.047,2125.613,2748.749,3189.537,569.040,30.754,-2.640,,1.695,18:21:21
HFC_11.wav,93.426,87.67,73.29,99.417,73.288,26.128,64.384,51.080,14.041,1.859,7.55120502574426,321.837,853.190,1967.480,358.434,1.076,59.737,5.113,11.683,13.17,346.059,1155.899,1719.742,2157.564,2720.341,3192.302,569.249,30.742,-1.684,,1.076,18:21:34
HFC_12.wav,90.787,94.38,82.54,104.882,81.256,23.626,23.991,102.547,62.663,3.755,16.68999909219359,341.868,469.823,1681.063,348.251,1.598,75.055,9.699,7.738,10.54,352.416,1120.064,1724.097,2174.367,2731.862,3274.564,584.429,29.944,-2.271,,1.598,18:21:37
HFC_13.wav,85.552,83.77,76.55,88.477,76.548,11.929,64.397,27.885,5.145,0.540,9.531467029781822,342.174,527.645,2092.013,339.373,0.926,61.310,3.778,16.227,16.34,348.778,1260.336,1761.728,2241.085,2859.350,3354.661,601.177,29.110,-2.160,,0.926,18:21:57
HFC_14.wav,86.928,80.18,86.07,90.754,80.180,10.574,63.089,32.733,17.376,1.436,12.104006415605559,333.365,468.337,1951.125,338.216,1.045,52.949,4.307,12.295,12.92,348.153,1070.767,1588.811,2143.163,2715.068,3379.955,606.360,28.861,-2.136,,1.045,18:22:13
HFC_15.wav,101.622,97.61,100.75,104.447,97.614,6.834,39.130,32.940,19.132,2.494,7.671436143800823,305.369,362.648,1538.982,308.843,0.601,92.000,4.156,22.134,12.68,325.262,896.983,1567.210,2128.441,2819.231,3524.006,639.749,27.354,-2.272,,0.601,18:22:40
HFC_16.wav,88.710,75.39,81.16,105.193,75.388,29.804,77.825,55.170,52.494,1.270,41.33049350264664,340.794,502.686,1902.642,340.948,1.181,67.252,8.891,7.564,10.51,345.422,1090.926,1719.279,2217.142,2814.617,3305.385,591.993,29.561,-2.071,,1.181,18:22:56
HFC_17.wav,92.823,100.22,97.67,107.406,84.012,23.394,24.032,66.132,26.278,1.306,20.11990124501448,344.486,729.594,1872.179,345.424,1.914,58.506,7.314,7.999,13.82,371.001,1121.679,1735.173,2244.217,2789.651,3265.053,578.810,30.234,-1.547,,1.914,18:23:19
