file, Mean F0 (Hz),Start F0 (Hz),End F0 (Hz),Max F0 (Hz),Min F0 (Hz),Range F0 (Hz),Time max F0 (%),F0 Abs Slope,F0 var (Hz/s),FM Rate (s-1),FM Extent (Hz),Q25% (Hz),Q50% (Hz),Q75% (Hz),Fpeak (Hz),Sound duration (s), AM var (dB/s), AM rate (s-1), AM extent (dB),Harmonicity, F1 mean (Hz),F2 mean (Hz),F3 mean (Hz),F4 mean (Hz),F5 mean (Hz),F6 mean (Hz),formant dispersal (Hz),vocal tract length (cm),mean wiener entropy,Comment,
LFC_01.wav,83.632,76.12,84.36,92.386,74.661,17.725,69.480,85.428,82.434,4.723,17.452131521067372,166.044,248.844,342.406,253.242,0.953,54.306,9.972,5.446,3.29,302.269,1007.085,1673.795,2315.834,2948.981,3460.370,631.620,27.707,0.880,,
LFC_02.wav,86.782,95.92,87.67,106.811,75.753,31.057,21.396,72.668,66.946,4.160,16.091672067180067,141.397,267.332,411.166,341.258,0.961,60.132,8.841,6.802,2.55,331.540,1045.791,1589.254,2172.255,2866.347,3385.528,610.798,28.651,0.432,,
LFC_03.wav,82.623,95.97,73.05,98.976,72.902,26.074,70.109,119.135,112.050,5.942,18.85754628861726,95.113,200.466,399.698,143.269,1.010,49.936,11.389,4.385,-0.37,318.041,1089.237,1615.820,2182.542,2896.574,3456.671,627.726,27.878,0.405,,
LFC_04.wav,83.194,84.67,90.44,90.465,71.671,18.794,90.853,65.353,51.535,5.791,8.899181422319796,182.817,313.407,701.526,250.634,0.777,47.346,15.443,3.066,2.89,305.188,855.651,1526.690,2061.241,2763.239,3192.655,577.493,30.303,-0.698,,
LFC_05.wav,83.840,71.20,73.99,88.751,71.197,17.553,57.228,44.558,30.690,1.763,17.407756099845187,70.366,162.560,318.957,277.543,1.418,75.285,11.988,6.280,-2.23,295.209,967.316,1577.568,2145.170,2891.466,3385.932,618.144,28.311,0.761,,
LFC_06.wav,85.870,86.61,95.81,96.993,73.134,23.858,81.126,122.295,119.271,5.002,23.84552693100257,116.267,306.420,417.623,364.146,1.300,44.516,12.312,3.616,4.13,381.714,895.346,1503.024,2137.282,2770.629,3399.037,603.465,28.999,0.538,,
LFC_07.wav,87.055,74.36,74.38,107.457,74.363,33.094,64.302,38.916,38.174,1.940,19.68050839826167,180.186,311.818,493.816,205.177,1.804,46.204,11.084,4.169,5.86,388.445,1028.064,1725.131,2240.082,2838.492,3353.775,593.066,29.508,0.366,,
LFC_08.wav,94.351,101.45,77.41,101.453,77.415,24.038,0.869,34.156,33.087,3.947,8.38361126389268,252.813,356.219,435.114,364.971,1.774,43.905,12.404,3.540,7.56,380.931,768.077,1483.658,2051.297,2743.243,3286.865,581.187,30.111,0.238,,
LFC_09.wav,94.554,101.71,104.32,104.320,86.313,18.007,94.115,80.555,42.303,4.380,9.657761383460024,161.572,271.912,434.358,353.214,0.571,51.642,16.645,3.103,5.00,325.343,1048.602,1628.491,2116.914,2814.159,3254.891,585.910,29.868,0.150,,
LFC_10.wav,97.613,98.60,78.51,102.885,78.515,24.370,67.448,55.753,52.853,3.126,16.90563303000636,173.955,339.764,684.441,133.591,1.120,62.840,11.165,5.628,3.73,374.491,1272.153,1793.386,2352.034,3047.091,3537.744,632.651,27.661,-0.298,,
LFC_11.wav,79.152,72.14,98.17,98.170,72.047,26.123,97.115,52.813,49.672,0.949,52.33741714685459,260.395,323.194,469.171,304.945,0.527,53.077,6.644,7.989,10.52,338.699,903.895,1599.409,2199.140,2940.092,3472.583,626.777,27.921,0.064,,
LFC_12.wav,90.192,90.31,78.68,108.017,72.218,35.800,53.592,104.220,65.174,2.314,28.168179622353065,279.741,314.178,338.648,316.047,1.945,48.978,6.941,7.056,9.99,336.609,729.125,1503.793,2142.228,2818.313,3349.145,602.507,29.045,0.438,,
LFC_13.wav,86.165,75.01,80.28,92.383,74.441,17.942,71.795,24.352,22.322,2.248,9.930633051363648,235.339,507.375,2235.231,349.062,1.335,25.233,11.239,2.245,4.12,368.458,984.517,1696.865,2171.990,2785.986,3387.706,603.849,28.981,-1.688,,
