file, Mean F0 (Hz),Start F0 (Hz),End F0 (Hz),Max F0 (Hz),Min F0 (Hz),Range F0 (Hz),Time max F0 (%),F0 Abs Slope,F0 var (Hz/s),FM Rate (s-1),FM Extent (Hz),Q25% (Hz),Q50% (Hz),Q75% (Hz),Fpeak (Hz),Sound duration (s), AM var (dB/s), AM rate (s-1), AM extent (dB),Harmonicity, F1 mean (Hz),F2 mean (Hz),F3 mean (Hz),F4 mean (Hz),F5 mean (Hz),F6 mean (Hz),formant dispersal (Hz),vocal tract length (cm),mean wiener entropy,Comment,Duration(s),Start
HFC_01.wav,88.860,79.03,71.52,105.263,71.516,33.747,22.835,90.071,70.435,2.764,25.48064743171571,214.283,335.316,642.743,347.346,0.904,47.210,10.504,4.494,9.72,333.616,872.536,1573.721,1991.128,2722.462,3244.164,582.110,30.063,-0.125,,0.904,09:31:08
HFC_02.wav,94.443,84.54,76.32,100.509,76.324,24.186,13.720,55.056,45.809,4.589,9.982599864246858,258.243,357.909,521.984,300.517,1.199,45.162,11.264,4.010,12.72,354.117,877.765,1550.552,1953.950,2755.937,3284.038,585.984,29.864,-0.177,,1.199,09:31:10
HFC_03.wav,85.796,77.39,82.70,105.702,74.220,31.482,31.547,107.772,103.217,2.744,37.6120262434515,292.996,356.020,622.971,334.326,0.729,72.592,9.605,7.558,10.63,328.156,1030.027,1626.201,2065.224,2769.614,3361.610,606.691,28.845,-0.416,,0.729,09:31:31
HFC_04.wav,89.468,79.67,83.85,105.440,77.010,28.430,36.022,126.066,94.116,5.771,16.30754857997536,273.758,366.888,590.908,352.581,1.300,58.220,11.927,4.881,7.72,346.116,1175.017,1739.972,2428.123,3005.883,3509.804,632.738,27.658,-0.165,,1.300,09:31:48
HFC_05.wav,78.367,76.68,83.70,87.116,72.774,14.342,50.447,155.549,34.678,0.918,37.75693395072585,175.231,310.826,487.952,350.990,0.544,38.154,7.348,5.193,5.71,339.465,1162.529,1668.458,2182.989,2978.673,3557.743,643.656,27.188,0.172,,0.544,09:31:50
HFC_06.wav,80.193,105.90,92.06,105.899,71.821,34.078,1.023,55.107,53.539,5.054,10.592986150335241,311.573,336.503,427.445,307.320,1.484,45.975,8.424,5.458,22.49,341.332,752.150,1516.947,2126.422,2795.493,3394.808,610.695,28.656,-0.986,,1.484,09:31:59
HFC_07.wav,77.302,85.70,87.29,91.368,72.535,18.833,27.956,49.133,43.324,4.514,9.598186961951486,263.554,444.276,1263.326,353.551,1.440,51.865,11.458,4.526,4.28,382.100,1092.123,1743.504,2219.670,2879.223,3453.338,614.248,28.490,-1.508,,1.440,09:32:13
HFC_08.wav,89.022,81.49,86.10,107.607,72.656,34.950,67.723,102.678,99.702,2.324,42.89672228307493,303.235,322.586,354.082,304.911,1.076,51.414,4.184,12.289,14.45,333.178,1016.126,1744.023,2190.947,2863.703,3400.930,613.550,28.523,-0.381,,1.076,09:36:52
HFC_09.wav,95.596,92.53,79.67,108.352,79.556,28.796,70.713,145.898,38.794,1.356,28.61325489080129,200.266,375.048,1095.735,326.760,1.106,46.426,13.106,3.542,6.82,323.184,1016.758,1643.358,2181.891,2835.159,3299.247,595.213,29.401,-1.414,,1.106,09:37:09
HFC_10.wav,81.720,75.41,90.05,99.782,70.995,28.788,37.038,96.106,92.474,5.571,16.600552653119756,246.071,373.764,641.749,400.939,0.808,39.533,10.522,3.757,6.43,367.216,1206.045,1781.388,2261.059,2995.929,3499.791,626.515,27.932,0.107,,0.808,09:44:51
