file, Mean F0 (Hz),Start F0 (Hz),End F0 (Hz),Max F0 (Hz),Min F0 (Hz),Range F0 (Hz),Time max F0 (%),F0 Abs Slope,F0 var (Hz/s),FM Rate (s-1),FM Extent (Hz),Q25% (Hz),Q50% (Hz),Q75% (Hz),Fpeak (Hz),Sound duration (s), AM var (dB/s), AM rate (s-1), AM extent (dB),Harmonicity, F1 mean (Hz),F2 mean (Hz),F3 mean (Hz),F4 mean (Hz),F5 mean (Hz),F6 mean (Hz),formant dispersal (Hz),vocal tract length (cm),mean wiener entropy,Comment
HFC_01.wav,93.286,71.43,84.91,105.665,71.431,34.233,79.238,55.116,41.3,1.361,30.341010037903327,274.466,307.879,367.665,299.525,1.102,62.597,6.806,9.197,16.41,316.779,804.959,1619.867,2154.763,2914.098,3442.883,625.221,27.99,-0.013,
HFC_02.wav,88.111,101.54,106.58,106.584,81.925,24.66,94.981,100.524,57.294,5.359,10.690244690014469,264.075,356.638,641.475,349.274,0.746,56.397,9.379,6.013,13.0,346.425,949.332,1646.613,2194.087,2892.186,3451.388,620.992,28.181,0.134,
HFC_03.wav,91.796,92.81,88.84,104.493,84.446,20.047,10.662,69.228,66.982,6.728,9.956442990012878,283.505,391.305,781.794,373.343,1.04,52.378,11.533,4.542,13.48,347.535,866.897,1538.13,2037.086,2729.206,3264.314,583.356,29.999,-0.584,putin zgomot de fundal
HFC_04.wav,93.57,93.24,88.52,104.773,82.357,22.417,10.387,80.8,75.992,3.178,23.910251506481742,297.581,385.694,620.587,360.95,0.944,51.702,7.946,6.507,12.01,364.11,798.061,1564.485,2060.295,2813.636,3347.128,596.604,29.333,0.002,
HFC_05.wav,86.634,74.46,84.59,98.008,74.459,23.549,79.393,66.626,27.055,1.231,21.973933717612653,337.553,791.465,2628.728,361.59,0.812,45.847,5.541,8.275,12.04,357.615,1210.565,1962.876,2433.02,3043.782,3457.296,619.936,28.229,-2.691,
HFC_06.wav,97.324,86.53,104.3,106.427,84.057,22.37,62.671,124.057,66.67,1.549,43.02717597419591,291.53,380.56,2077.764,323.909,0.645,74.88,9.297,8.054,14.47,333.441,1015.622,1675.311,2229.791,2902.123,3495.224,632.357,27.674,-2.968,zgomot de fundal la final
HFC_07.wav,90.736,93.6,76.44,105.79,76.441,29.349,22.138,90.772,74.699,2.135,34.98161339779793,322.809,364.473,485.761,330.312,0.702,75.809,3.559,21.301,14.73,347.797,827.991,1565.81,2046.009,2782.268,3394.123,609.265,28.723,-0.305,zgomot de fundal
HFC_08.wav,82.305,108.14,78.33,108.136,71.509,36.627,2.022,85.956,82.54,3.208,25.72882153235028,297.826,450.925,3084.402,284.459,1.247,47.275,12.832,3.684,10.01,333.866,891.712,1582.952,2179.881,2901.833,3423.8,617.987,28.318,-3.447,zgomot de fundal
HFC_09.wav,88.428,109.38,90.07,109.379,80.39,28.989,1.505,80.429,76.534,5.354,14.2957993940101,330.933,757.336,4721.698,354.668,1.027,42.585,7.787,5.469,11.25,366.542,832.332,1539.984,2157.872,2974.642,3497.068,626.105,27.951,-3.4,zgomot de fundal
HFC_10.wav,96.886,86.4,92.12,103.456,82.973,20.482,56.844,97.677,86.908,3.43,25.335335263982564,126.25,277.922,378.025,306.971,0.729,66.841,10.291,6.495,7.81,313.515,919.817,1648.954,2167.469,2949.186,3373.06,611.909,28.599,0.229,
HFC_11.wav,91.0,77.81,87.25,107.21,77.807,29.403,26.646,60.293,49.807,2.301,21.64835961117439,167.77,308.695,493.957,346.547,1.304,32.095,9.203,3.487,15.4,322.923,1020.906,1667.056,2228.088,2898.673,3435.929,622.601,28.108,0.051,
HFC_12.wav,92.092,74.25,87.13,106.297,74.249,32.049,87.969,141.317,134.789,2.293,58.781383200738695,261.6,528.886,3991.602,320.885,0.654,43.363,8.408,5.157,7.2,338.389,906.17,1668.762,2185.216,2959.843,3502.702,632.863,27.652,-3.233,
LFC_01.wav,92.669,82.39,101.43,107.132,76.177,30.955,39.356,129.727,115.709,2.761,41.90986858622324,244.928,329.79,435.099,330.363,0.724,48.662,8.973,5.423,14.08,329.839,895.574,1755.687,2297.765,2919.611,3375.704,609.173,28.727,0.667,
LFC_02.wav,91.066,88.37,100.66,107.198,79.469,27.73,22.186,83.006,78.723,5.587,14.09042870011382,288.547,574.231,3116.986,356.014,1.163,52.651,13.323,3.952,9.3,344.551,1003.542,1721.162,2241.651,2952.484,3425.14,616.118,28.404,-2.815,
LFC_03.wav,87.131,91.27,91.36,99.405,76.382,23.023,5.76,99.109,94.059,4.795,19.614806371687088,268.674,689.893,3313.795,342.616,0.834,35.407,17.383,2.037,6.39,344.896,1089.463,1724.958,2242.153,2873.413,3292.235,589.468,29.688,-2.222,
