file, Mean F0 (Hz),Start F0 (Hz),End F0 (Hz),Max F0 (Hz),Min F0 (Hz),Range F0 (Hz),Time max F0 (%),F0 Abs Slope,F0 var (Hz/s),FM Rate (s-1),FM Extent (Hz),Q25% (Hz),Q50% (Hz),Q75% (Hz),Fpeak (Hz),Sound duration (s), AM var (dB/s), AM rate (s-1), AM extent (dB),Harmonicity, F1 mean (Hz),F2 mean (Hz),F3 mean (Hz),F4 mean (Hz),F5 mean (Hz),F6 mean (Hz),formant dispersal (Hz),vocal tract length (cm),mean wiener entropy,Comment,
HFC_01.wav,93.109,89.46,77.50,107.594,77.499,30.095,27.293,69.596,40.076,3.164,12.66800614725883,369.467,754.965,2263.789,361.998,1.264,45.600,3.954,11.531,17.79,371.831,1101.148,1834.999,2249.098,2888.154,3334.479,592.530,29.534,-2.162,,
HFC_02.wav,89.222,106.27,81.39,108.211,81.114,27.097,10.602,52.650,48.074,3.024,15.900146423743388,257.578,299.107,524.599,258.548,0.992,50.007,5.543,9.021,16.97,303.802,1003.389,1772.938,2297.380,2985.823,3470.421,633.324,27.632,-0.023,,
HFC_03.wav,91.766,101.31,84.91,106.841,84.910,21.931,29.573,54.983,34.111,1.589,21.46473567927843,344.061,379.060,596.534,341.780,0.944,64.530,6.357,10.152,23.55,350.783,917.673,1638.069,2020.007,2759.460,3207.964,571.436,30.625,-0.904,,
HFC_04.wav,97.020,99.72,83.67,108.036,83.297,24.740,66.861,108.889,6.534,0,--undefined--,320.667,333.931,369.179,321.585,1.062,50.166,6.589,7.614,24.64,327.653,1008.728,1614.133,2165.090,2822.940,3400.163,614.502,28.478,-0.520,,
HFC_05.wav,92.987,94.49,89.01,108.120,84.008,24.111,32.786,43.418,32.781,1.332,24.609981929835207,357.413,570.158,2408.296,348.619,1.501,31.315,3.663,8.549,23.29,348.352,1212.804,1859.500,2388.874,2942.596,3376.522,605.634,28.895,-2.513,,
HFC_06.wav,82.723,89.14,77.51,104.548,70.935,33.612,10.623,103.669,101.095,4.985,20.280008957599595,335.450,740.197,1975.460,350.018,1.304,41.813,9.586,4.362,9.69,425.017,1166.361,1775.868,2303.530,2826.458,3308.909,576.779,30.341,-1.699,,
HFC_07.wav,89.695,106.66,84.19,107.857,83.312,24.545,41.676,88.839,25.848,0.969,26.668194610971085,327.163,350.647,439.125,329.427,1.032,52.247,9.208,5.674,18.42,344.868,872.675,1759.968,2190.683,2951.513,3415.513,614.129,28.496,-0.034,,
HFC_08.wav,98.983,94.25,79.95,102.665,79.949,22.716,63.709,45.733,43.640,2.109,20.691747464393774,303.559,380.831,1485.603,308.167,0.711,45.553,5.624,8.100,14.09,338.724,947.208,1740.862,2312.081,2916.733,3383.098,608.875,28.742,-2.406,,
HFC_09.wav,93.862,91.95,82.45,97.553,80.703,16.850,66.804,31.302,7.528,0.986,7.634572155839294,351.497,406.925,675.899,372.981,1.014,45.388,4.437,10.229,18.77,383.960,940.338,1586.761,2155.680,2733.496,3255.635,574.335,30.470,-0.839,,
HFC_10.wav,91.554,80.11,77.39,104.732,77.389,27.342,55.220,68.702,37.866,0.680,55.691999036090024,340.210,388.937,596.113,353.312,1.471,49.831,8.499,5.863,15.25,372.528,1010.303,1683.735,2178.806,2819.082,3358.955,597.285,29.299,-0.137,,
HFC_11.wav,88.196,93.85,85.95,100.891,82.096,18.795,10.818,48.975,42.370,3.661,11.574303188618378,294.612,452.436,1300.367,348.617,1.229,46.609,11.796,3.951,14.94,326.647,1016.119,1557.558,2011.912,2703.732,3194.406,573.552,30.512,-1.503,,
HFC_12.wav,82.363,89.16,89.09,95.201,71.202,23.999,15.439,63.764,62.295,4.598,13.548439002684395,296.072,456.170,2802.965,278.682,1.414,43.087,6.720,6.412,12.71,339.576,1019.790,1760.247,2340.491,3002.749,3492.997,630.684,27.748,-3.153,,
HFC_13.wav,89.874,71.16,80.79,108.211,71.163,37.047,63.576,91.413,66.775,1.930,34.592906844086656,334.782,525.362,2024.715,332.521,1.295,39.659,8.107,4.892,13.85,364.265,1054.240,1713.374,2221.800,2833.129,3195.635,566.274,30.904,-2.098,,
HFC_14.wav,90.304,80.54,88.82,103.756,80.539,23.216,49.890,97.324,42.490,1.532,27.732604006053094,339.349,356.911,424.746,337.752,0.979,60.915,5.618,10.843,20.98,351.828,1080.784,1694.114,2221.991,2879.863,3334.922,596.619,29.332,-0.806,,
HFC_15.wav,95.985,82.85,75.15,105.767,75.152,30.615,27.278,99.158,61.054,2.487,24.55267829806302,354.185,887.902,2307.857,377.631,1.005,53.009,8.455,6.270,9.96,356.740,1162.072,1830.789,2300.012,2851.939,3317.913,592.235,29.549,-1.923,,
HFC_16.wav,89.381,85.54,84.60,94.428,80.504,13.924,47.087,52.404,43.576,2.356,18.49282730341766,301.434,402.022,1108.151,359.997,0.637,32.181,3.927,8.194,11.69,344.505,895.351,1599.795,2233.035,2848.623,3352.152,601.529,29.093,-1.675,zgomot,
HFC_17.wav,90.133,79.92,102.52,106.018,76.061,29.957,17.684,94.232,82.465,3.451,23.895341293979282,337.806,418.729,1749.588,348.100,1.739,64.934,8.915,7.283,11.47,370.469,974.502,1654.468,2206.143,2864.005,3384.756,602.857,29.028,-2.387,zgomot,
HFC_18.wav,96.287,100.04,95.22,107.239,82.225,25.013,10.528,55.281,53.454,3.061,17.460196784953425,287.567,314.319,413.696,287.581,1.633,60.892,8.266,7.367,14.41,297.744,757.134,1648.308,2128.604,2801.301,3353.191,611.089,28.637,0.088,,
HFC_19.wav,86.501,96.88,83.77,97.544,80.388,17.156,27.661,83.283,37.435,3.020,12.396633805000635,252.959,331.460,416.824,253.562,1.159,56.314,10.354,5.439,14.66,327.106,820.974,1639.097,2185.555,2834.866,3321.648,598.908,29.220,0.356,,
HFC_20.wav,96.232,103.86,93.86,105.357,86.979,18.378,9.679,42.396,35.596,2.373,15.00266093493849,355.825,441.161,853.530,373.829,1.054,35.442,8.067,4.393,18.25,386.930,835.813,1594.785,2129.392,2757.813,3210.558,564.726,30.989,-0.728,,
HFC_21.wav,87.011,79.76,84.80,91.274,75.588,15.686,68.546,47.021,17.035,2.487,6.850657206410352,339.644,535.842,2215.499,355.197,1.005,52.041,5.471,9.513,15.05,352.236,1241.839,1768.469,2242.436,2908.204,3417.949,613.143,28.541,-1.944,,
HFC_22.wav,83.861,72.13,104.44,104.442,72.129,32.313,98.404,37.134,35.796,1.031,34.73145759528056,308.407,478.037,3428.408,315.007,0.970,62.591,5.669,11.042,14.82,361.799,995.446,1604.061,2230.799,2886.609,3385.669,604.774,28.936,-3.210,zgomot la final,
HFC_23.wav,94.289,97.16,102.86,103.283,83.028,20.255,49.597,73.267,71.576,3.784,18.91739770711453,290.732,370.323,676.778,327.340,1.321,59.966,7.567,7.925,11.10,350.964,974.694,1636.581,2190.307,2772.703,3361.791,602.165,29.062,-0.690,2 vaci deodata,
HFC_24.wav,94.766,88.25,78.97,108.010,78.971,29.039,30.356,102.137,55.206,3.350,16.481295016788383,355.826,1062.286,2510.184,357.787,0.896,60.823,7.258,8.381,10.01,344.660,1148.558,1878.499,2372.374,2909.553,3377.950,606.658,28.847,-1.756,,
HFC_25.wav,87.374,99.51,84.58,101.174,76.478,24.697,18.811,65.180,42.616,2.080,20.4871554593117,267.660,371.735,850.181,353.478,0.961,60.722,7.280,8.340,16.14,330.468,957.837,1672.602,2145.492,2728.711,3319.244,597.755,29.276,-1.095,,
HFC_26.wav,93.705,97.61,78.38,107.033,78.385,28.648,20.853,85.978,62.022,3.051,20.33116720763567,349.308,443.027,1486.474,347.199,1.475,77.820,8.813,8.830,14.05,364.776,1034.885,1654.639,2170.215,2816.351,3344.006,595.846,29.370,-2.208,,
HFC_27.wav,93.917,85.16,75.11,103.901,75.110,28.791,14.424,68.660,52.252,2.827,18.4835022960633,362.041,441.502,1145.471,368.974,1.238,40.409,6.866,5.886,17.79,379.919,904.764,1619.613,2143.797,2713.279,3192.089,562.434,31.115,-1.513,,
HFC_28.wav,86.519,72.26,88.58,104.242,72.186,32.057,48.207,71.147,69.035,2.997,23.034117422256582,274.094,364.740,654.939,343.237,1.001,44.943,8.492,5.293,12.16,324.700,1001.728,1662.659,2178.726,2812.548,3203.721,575.804,30.392,-0.606,,
HFC_29.wav,87.919,74.44,71.81,103.270,71.812,31.458,32.037,63.203,57.323,2.019,28.387418592923428,329.870,388.348,903.558,347.419,1.238,60.684,7.269,8.348,16.34,338.209,899.063,1651.804,2180.851,2913.229,3468.667,626.092,27.951,-1.729,zgomot,
HFC_30.wav,91.994,94.97,86.32,97.709,76.058,21.651,19.760,71.344,47.380,2.199,21.550062080787495,342.109,411.471,738.859,373.510,1.137,51.429,8.355,6.156,15.08,362.621,972.628,1696.134,2162.773,2797.591,3296.569,586.789,29.823,-0.434,,
HFC_31.wav,89.340,71.53,77.70,104.327,71.534,32.793,45.359,82.779,47.766,1.890,25.269251791191707,254.694,352.478,489.499,347.358,1.058,41.877,6.143,6.817,15.03,349.662,1049.066,1701.547,2281.309,2942.137,3500.621,630.192,27.769,0.231,zgomot la final,
HFC_32.wav,89.952,72.26,84.82,107.546,72.256,35.291,22.975,80.075,74.576,2.352,31.71170757980145,317.143,352.070,472.672,332.139,1.488,45.393,8.399,5.405,18.14,343.712,972.694,1590.802,2109.667,2814.722,3361.666,603.591,28.993,-0.328,zgomot la inceput,
HFC_33.wav,83.947,100.53,76.76,105.556,71.905,33.651,16.315,88.401,58.185,3.722,15.633791815783102,306.272,443.805,1580.835,283.096,1.343,55.472,9.677,5.733,14.94,364.991,928.304,1684.902,2260.510,2862.734,3396.184,606.239,28.867,-2.296,zgomot la final,
HFC_34.wav,89.876,89.14,80.33,106.493,74.355,32.138,74.880,79.216,58.303,2.596,22.4584093175093,296.390,356.318,633.943,321.429,4.430,46.340,9.143,5.069,12.58,350.786,863.400,1573.524,2175.202,2807.289,3348.830,599.609,29.186,-0.294,vreo 3 vaci unele dupa altele cred,
HFC_35.wav,93.754,78.77,91.03,99.154,78.774,20.380,45.245,52.118,26.655,2.588,10.29813449579571,332.841,621.249,2149.781,364.954,1.352,56.433,9.984,5.653,8.32,340.752,1245.432,1888.396,2283.168,2982.523,3407.234,613.296,28.534,-2.067,2 vaci deaodata,
HFC_36.wav,100.615,77.10,77.18,109.619,77.100,32.520,55.330,128.732,85.295,2.738,31.15554329374452,299.629,1023.697,3401.863,315.739,0.913,54.365,10.403,5.226,6.50,350.780,1134.528,1696.179,2232.793,2933.518,3481.538,626.152,27.949,-2.226,zgomot de fundal,
