file, Mean F0 (Hz),Start F0 (Hz),End F0 (Hz),Max F0 (Hz),Min F0 (Hz),Range F0 (Hz),Time max F0 (%),F0 Abs Slope,F0 var (Hz/s),FM Rate (s-1),FM Extent (Hz),Q25% (Hz),Q50% (Hz),Q75% (Hz),Fpeak (Hz),Sound duration (s), AM var (dB/s), AM rate (s-1), AM extent (dB),Harmonicity, F1 mean (Hz),F2 mean (Hz),F3 mean (Hz),F4 mean (Hz),F5 mean (Hz),F6 mean (Hz),formant dispersal (Hz),vocal tract length (cm),mean wiener entropy,Comment,
HFC_01.wav,90.047,84.08,85.56,93.665,82.433,11.232,40.480,46.884,43.141,3.704,11.647945495550061,336.747,411.917,1513.410,355.304,0.540,55.272,8.333,6.633,10.14,367.847,984.918,1584.186,2232.834,2948.791,3501.201,626.671,27.925,-2.471,,
HFC_02.wav,92.736,99.76,94.71,100.313,82.134,18.179,83.801,107.510,92.564,4.881,18.964374490936912,281.200,381.266,638.277,390.414,0.922,44.953,9.762,4.605,13.16,351.776,907.252,1551.504,2051.479,2747.508,3274.615,584.568,29.937,-0.368,zgomot de fundal,
HFC_03.wav,96.096,86.39,89.17,99.738,86.385,13.352,69.102,45.287,42.793,3.681,11.624552555006595,322.039,393.203,527.974,375.968,1.087,36.875,9.663,3.816,17.63,372.492,823.696,1545.886,2096.156,2778.285,3333.587,592.219,29.550,-0.651,,
HFC_04.wav,90.756,74.70,86.27,106.622,74.701,31.921,31.831,67.372,64.580,4.690,13.768584600372769,335.866,437.810,1740.083,344.585,0.853,43.247,8.208,5.269,10.43,359.694,979.062,1725.449,2251.281,2920.098,3415.855,611.232,28.631,-2.253,,
HFC_05.wav,91.439,81.57,77.78,104.609,77.775,26.834,41.968,92.808,54.082,1.675,32.29162616830731,336.817,573.212,2293.873,344.122,0.896,53.756,8.374,6.419,11.10,343.591,1203.138,1880.517,2327.598,2900.370,3341.953,599.672,29.183,-2.218,,
HFC_06.wav,96.005,96.15,76.19,100.611,76.193,24.418,10.518,45.231,31.379,2.115,14.83685217226946,373.714,431.023,861.177,372.600,1.182,61.197,7.191,8.511,13.32,387.620,920.623,1567.242,2074.886,2711.633,3190.834,560.643,31.214,-1.073,,
HFC_07.wav,92.133,97.01,82.64,105.229,82.639,22.590,32.169,40.598,21.191,1.242,17.060199432257505,325.586,380.549,573.942,352.814,1.610,55.948,8.074,6.929,16.54,350.847,1006.198,1632.209,2213.793,2919.580,3438.820,617.595,28.336,-0.487,zgomot,
HFC_08.wav,89.813,77.40,72.97,104.214,72.974,31.240,29.110,81.698,79.027,2.721,29.04037222821904,286.871,440.547,2782.461,344.662,0.919,62.438,8.708,7.170,8.01,347.493,1054.077,1628.442,2183.680,2895.317,3407.915,612.084,28.591,-2.732,,
HFC_09.wav,94.381,81.50,93.84,104.490,77.648,26.842,15.178,69.189,66.078,4.006,16.4963835152749,328.186,412.230,809.397,370.866,1.373,22.276,10.196,2.185,18.76,362.401,1027.312,1641.242,2179.066,2769.282,3214.392,570.398,30.680,-1.737,,
HFC_10.wav,92.019,71.45,83.72,103.938,71.453,32.485,27.956,59.835,51.127,3.037,16.834487190129995,327.349,384.811,574.550,357.493,1.317,44.750,9.491,4.715,14.92,349.364,982.194,1575.439,2074.593,2700.934,3235.276,577.182,30.320,-0.229,,
HFC_100.wav,90.234,72.71,75.07,105.865,72.711,33.155,33.388,113.491,81.689,3.154,25.898541796460716,317.027,869.356,2262.041,336.326,1.110,35.628,7.660,4.651,14.61,343.911,1120.497,1832.539,2322.169,2864.370,3315.306,594.279,29.447,-1.660,,
HFC_101.wav,89.578,98.24,88.28,103.733,84.278,19.455,14.968,53.857,43.452,5.236,8.298252457306056,301.638,489.010,2517.218,366.249,0.764,49.738,9.164,5.428,11.79,331.027,787.143,1636.177,2180.642,2879.315,3437.419,621.278,28.168,-3.102,zgomot,
HFC_102.wav,90.072,74.92,100.40,105.801,74.922,30.879,35.597,110.483,97.708,3.894,25.094587627815816,295.322,403.097,1011.072,351.567,0.770,27.755,7.787,3.564,12.10,331.021,654.751,1576.060,2121.200,2828.771,3337.316,601.259,29.106,-1.875,,
HFC_103.wav,84.810,72.01,90.27,90.266,72.008,18.258,79.868,32.253,18.670,1.100,16.96644553479436,355.260,1362.467,3898.200,354.151,0.909,70.512,6.052,11.651,20.83,356.955,757.083,1661.151,2221.083,2888.927,3355.148,599.639,29.184,-4.949,,
HFC_104.wav,90.882,91.96,85.67,99.201,83.509,15.692,51.054,84.015,81.614,4.138,19.724977143178343,325.521,497.358,2208.852,361.700,1.208,53.809,7.448,7.225,10.51,376.848,1014.525,1639.033,2188.064,2804.579,3325.717,589.774,29.672,-1.986,,
HFC_105.wav,90.995,83.25,87.20,104.056,78.384,25.671,29.620,99.414,73.068,2.240,32.623670635424595,324.582,398.149,1170.359,330.617,1.116,61.560,11.199,5.497,11.02,351.601,1139.372,1645.726,2137.291,2803.575,3322.531,594.186,29.452,-2.269,,
HFC_106.wav,91.454,92.33,88.31,102.734,83.648,19.086,9.946,52.482,50.711,7.096,7.1465583874847125,292.506,470.763,1674.010,293.727,1.057,41.550,12.772,3.253,14.05,334.678,877.106,1556.210,2147.952,2750.161,3238.584,580.781,30.132,-2.007,,
HFC_107.wav,89.234,82.67,83.21,102.501,81.961,20.540,9.785,80.175,78.157,4.401,17.756940972451478,318.171,493.516,1692.278,336.304,1.363,42.031,11.371,3.697,13.46,360.341,881.665,1602.917,2125.791,2803.004,3270.870,582.106,30.063,-1.842,,
HFC_108.wav,91.864,87.89,89.19,94.714,86.824,7.890,56.523,25.979,23.525,2.324,10.12180850267662,348.969,376.717,445.234,356.870,0.645,62.880,6.198,10.145,14.24,371.609,811.821,1528.485,2022.381,2776.538,3305.492,586.777,29.824,-0.546,,
HFC_109.wav,91.761,88.54,86.19,95.153,86.187,8.967,54.744,27.584,24.248,2.865,8.463111561347617,351.020,375.045,421.456,356.837,0.698,41.094,10.744,3.825,21.19,370.563,773.057,1555.201,2071.904,2681.409,3335.152,592.918,29.515,-0.962,,
HFC_11.wav,93.389,90.60,93.13,102.230,74.401,27.830,11.865,91.514,85.285,4.506,18.92741475950695,323.108,403.015,700.989,324.109,1.110,58.642,7.660,7.656,15.45,361.767,970.411,1562.745,2113.390,2759.985,3333.943,594.435,29.440,-1.089,,
HFC_110.wav,90.962,72.71,90.86,105.200,72.712,32.489,25.957,80.506,75.908,4.269,17.78169820631023,344.635,392.604,610.536,350.800,0.820,44.902,10.367,4.331,13.05,384.304,853.060,1630.172,2093.516,2843.276,3293.480,581.835,30.077,-0.663,,
HFC_111.wav,92.048,88.78,79.04,104.562,79.038,25.524,12.459,63.415,57.409,6.552,8.762169442884108,298.102,375.346,578.128,335.275,1.297,34.366,9.635,3.567,18.16,350.552,996.662,1610.377,2054.797,2795.795,3246.144,579.118,30.218,-0.670,,
HFC_112.wav,91.827,76.95,79.53,107.598,76.950,30.649,38.365,76.059,74.098,4.502,16.458045346239736,300.855,384.148,998.712,330.408,1.222,45.679,8.595,5.315,11.86,342.813,1014.574,1637.447,2112.009,2683.370,3245.147,580.467,30.148,-1.602,,
HFC_113.wav,88.495,89.83,84.20,93.161,84.064,9.097,34.392,28.864,26.848,2.500,10.74106467394553,277.023,378.293,790.338,360.092,0.800,48.663,10.623,4.581,9.07,347.867,958.098,1587.306,2049.542,2763.228,3238.552,578.137,30.270,-0.820,,
HFC_114.wav,92.511,84.81,78.22,108.006,78.217,29.789,53.181,72.150,37.530,1.942,19.327280583362835,336.599,609.980,2548.143,337.926,1.287,36.631,9.321,3.930,13.59,338.689,1250.657,1881.714,2391.117,2944.539,3386.064,609.475,28.713,-2.368,,
HFC_115.wav,91.302,93.96,82.85,103.301,79.360,23.941,9.544,91.182,86.836,3.217,26.991210068276303,337.733,406.626,823.755,350.831,0.777,53.570,9.008,5.947,12.42,356.862,910.348,1540.927,2047.509,2680.519,3181.778,564.983,30.974,-1.055,,
