file, Mean F0 (Hz),Start F0 (Hz),End F0 (Hz),Max F0 (Hz),Min F0 (Hz),Range F0 (Hz),Time max F0 (%),F0 Abs Slope,F0 var (Hz/s),FM Rate (s-1),FM Extent (Hz),Q25% (Hz),Q50% (Hz),Q75% (Hz),Fpeak (Hz),Sound duration (s), AM var (dB/s), AM rate (s-1), AM extent (dB),Harmonicity, F1 mean (Hz),F2 mean (Hz),F3 mean (Hz),F4 mean (Hz),F5 mean (Hz),F6 mean (Hz),formant dispersal (Hz),vocal tract length (cm),mean wiener entropy,Comment,
LFC_01.wav,77.378,70.88,73.83,81.307,70.881,10.427,44.233,30.380,24.600,0.703,34.99256133926488,269.864,413.582,2746.234,308.248,0.711,54.820,9.139,5.998,7.48,317.285,1154.427,1703.526,2266.952,2914.434,3375.407,611.624,28.612,-2.653,,
LFC_02.wav,90.596,99.65,84.76,99.736,73.991,25.745,8.588,75.577,61.372,2.636,23.280289274585034,330.015,382.410,500.561,362.682,0.948,45.605,6.854,6.654,20.65,365.900,964.705,1726.166,2196.890,2804.795,3255.253,577.870,30.284,-0.694,,
LFC_03.wav,90.410,86.85,90.13,103.506,82.467,21.039,18.738,72.814,69.262,3.467,19.977643004837933,322.479,359.951,456.571,340.367,0.721,82.233,9.014,9.123,15.06,350.924,764.060,1494.029,2034.309,2839.371,3400.548,609.925,28.692,-0.283,,
LFC_04.wav,89.621,78.18,74.93,102.598,74.925,27.672,17.054,71.000,68.946,3.786,18.21225652810798,320.895,359.079,418.778,343.956,1.189,60.107,7.571,7.939,16.08,352.773,759.425,1536.707,2092.554,2827.188,3334.645,596.374,29.344,-0.328,,
LFC_05.wav,91.106,90.81,90.34,103.523,80.808,22.716,10.699,66.112,63.619,4.550,13.982784948488828,332.678,382.500,611.874,347.900,0.879,74.222,7.962,9.322,14.79,363.291,859.689,1436.631,2006.242,2805.289,3294.015,586.145,29.856,-0.440,,
LFC_06.wav,87.754,74.37,102.94,104.396,74.371,30.025,32.315,86.780,81.459,2.258,36.0755621642597,330.435,390.836,2001.103,329.508,0.886,50.796,6.210,8.180,16.03,334.548,911.642,1760.767,2316.079,2979.442,3368.946,606.880,28.836,-3.937,,
LFC_07.wav,93.229,106.79,91.41,106.791,87.410,19.381,1.864,47.935,44.507,2.943,15.123995232065363,307.181,406.116,1225.604,358.621,0.850,41.913,8.828,4.747,11.63,363.728,848.808,1572.661,2122.468,2913.855,3486.136,624.482,28.023,-1.749,,
LFC_08.wav,79.625,82.22,76.01,83.197,74.584,8.613,27.079,91.515,79.938,5.177,15.441308089411232,282.551,419.743,1717.627,339.491,0.290,50.768,5.177,9.807,2.67,348.152,1200.594,1765.563,2308.028,2973.261,3478.825,626.135,27.949,-2.463,,
LFC_09.wav,89.437,75.86,76.29,107.138,75.858,31.280,29.614,67.565,65.454,5.576,11.737625201271136,311.434,397.147,1073.433,316.588,1.166,70.900,9.437,7.513,7.96,364.971,927.053,1620.794,2106.295,2861.220,3375.250,602.056,29.067,-1.491,,
LFC_10.wav,76.908,85.11,85.33,85.579,71.559,14.020,94.159,45.952,43.232,5.897,7.3311285390748075,282.044,861.128,2877.656,333.715,0.678,39.227,10.320,3.801,-0.32,374.520,1154.349,1611.129,2114.053,2882.055,3508.556,626.807,27.919,-1.911,,
LFC_11.wav,100.067,90.23,78.71,103.996,78.714,25.282,88.154,66.480,63.135,3.633,17.37881319353898,176.752,365.394,1067.758,320.024,0.688,36.246,18.164,1.995,-0.17,372.220,1110.376,1934.195,2382.825,3025.678,3407.399,607.036,28.829,-1.730,se aude incet,
LFC_12.wav,74.315,74.18,95.21,95.205,71.268,23.938,92.543,30.121,27.443,2.283,12.018019750004123,300.341,420.739,2400.691,307.776,1.314,46.864,12.559,3.732,6.56,377.844,1053.259,1652.037,2308.739,2917.773,3378.475,600.126,29.161,-2.346,,
LFC_13.wav,93.317,106.27,83.53,106.273,83.532,22.741,1.558,84.872,81.450,3.242,25.12074808107721,321.326,411.510,897.894,373.572,0.925,32.220,8.646,3.726,14.58,359.864,909.454,1554.755,2171.657,2890.838,3425.309,613.089,28.544,-1.213,,
LFC_14.wav,96.760,95.03,92.96,106.922,77.221,29.701,78.883,51.823,49.731,1.117,44.540156339252356,356.572,492.250,1945.552,390.085,1.343,48.050,8.932,5.379,12.14,383.865,1144.869,1704.764,2240.738,2887.228,3314.091,586.045,29.861,-2.064,,
LFC_15.wav,102.849,78.70,84.37,109.400,78.704,30.697,65.516,94.793,85.432,3.262,26.192575352913366,321.273,417.060,2356.353,323.014,1.380,59.299,8.335,7.114,10.78,338.643,1147.897,1732.534,2222.613,2903.190,3341.691,600.610,29.137,-2.529,,
LFC_16.wav,90.605,88.04,71.52,106.299,71.515,34.784,32.130,63.450,56.141,2.704,20.76521444849101,304.684,366.266,717.358,327.362,1.110,57.290,8.561,6.692,9.25,336.666,1169.088,1694.538,2318.146,2968.591,3439.572,620.581,28.199,-1.074,,
