file, Mean F0 (Hz),Start F0 (Hz),End F0 (Hz),Max F0 (Hz),Min F0 (Hz),Range F0 (Hz),Time max F0 (%),F0 Abs Slope,F0 var (Hz/s),FM Rate (s-1),FM Extent (Hz),Q25% (Hz),Q50% (Hz),Q75% (Hz),Fpeak (Hz),Sound duration (s), AM var (dB/s), AM rate (s-1), AM extent (dB),Harmonicity, F1 mean (Hz),F2 mean (Hz),F3 mean (Hz),F4 mean (Hz),F5 mean (Hz),F6 mean (Hz),formant dispersal (Hz),vocal tract length (cm),mean wiener entropy,Comment,Duration(s),Start
HFC_01.wav,85.942,87.91,84.19,99.748,79.855,19.892,12.659,53.654,50.501,4.913,10.27941540265252,296.932,570.777,1684.074,334.171,1.120,52.348,12.059,4.341,4.18,418.667,922.075,1461.532,2369.194,3049.528,3504.898,617.246,28.352,-1.482,,1.120,10:27:02
HFC_02.wav,84.690,82.18,84.75,86.728,79.303,7.425,4.818,28.807,24.822,3.657,6.787608341437497,301.095,530.125,1203.422,414.742,0.957,51.148,9.926,5.153,4.65,467.465,949.864,1496.152,2277.116,2910.458,3371.590,580.825,30.130,-0.632,,0.957,10:27:51
HFC_03.wav,84.450,98.56,82.40,98.565,74.892,23.673,13.801,106.537,66.273,3.308,20.03157925415093,272.231,498.560,862.168,227.416,1.662,51.968,12.933,4.018,2.82,402.064,900.740,1480.955,2131.537,2748.112,3318.428,583.273,30.003,-0.373,,1.662,10:29:47
HFC_04.wav,83.497,80.58,86.28,86.844,78.983,7.861,60.571,14.272,13.814,5.153,2.680520444185359,260.600,425.844,828.245,494.613,0.970,40.561,11.853,3.422,5.81,418.065,949.812,1338.311,2024.087,2655.029,3356.566,587.700,29.777,-0.397,,0.970,10:29:58
HFC_05.wav,79.643,103.58,78.37,103.576,73.757,29.819,1.047,47.755,46.654,4.031,11.572490138952077,426.378,648.978,1008.311,455.578,1.488,36.961,7.391,5.001,8.44,510.086,935.851,1349.545,2030.928,2631.799,3274.369,552.856,31.654,-0.478,,1.488,10:30:03
HFC_06.wav,85.555,79.25,85.33,93.682,78.015,15.667,22.864,46.344,42.733,6.446,6.628848055065221,328.989,350.198,397.261,337.584,1.163,99.405,9.455,10.514,13.15,347.857,777.437,1426.972,2140.043,2820.488,3414.811,613.391,28.530,-0.807,,1.163,10:30:08
HFC_07.wav,83.397,103.77,82.10,103.768,77.372,26.396,2.667,37.563,35.547,2.432,14.61798468331205,258.729,492.367,927.705,483.992,1.234,34.922,8.916,3.917,7.31,444.468,929.399,1295.991,2045.202,2693.903,3304.458,571.998,30.595,-0.459,,1.234,10:30:15
HFC_08.wav,83.621,100.37,79.04,100.371,74.337,26.034,7.089,90.676,76.142,5.694,13.371704525511841,316.197,492.230,776.072,349.764,0.878,46.126,10.250,4.500,3.80,441.562,880.932,1354.727,1964.691,2765.485,3298.339,571.355,30.629,-0.652,,0.878,10:30:17
HFC_09.wav,86.523,100.06,83.80,102.204,81.809,20.395,14.327,55.140,53.355,4.846,11.009374742030467,304.042,550.194,907.177,821.496,1.238,38.938,9.289,4.192,7.42,463.090,918.773,1391.484,2030.745,2677.585,3327.052,572.792,30.552,-0.624,,1.238,10:30:21
HFC_10.wav,79.747,80.95,79.01,95.115,73.519,21.597,13.823,49.183,47.052,5.819,8.08591855279334,432.792,666.639,906.986,793.978,1.203,56.588,12.054,4.695,5.22,535.234,890.816,1425.675,2099.536,2788.680,3436.134,580.180,30.163,-0.356,,1.203,10:30:27
HFC_11.wav,81.354,71.68,84.35,87.188,71.676,15.513,88.399,35.838,33.928,6.288,5.395428602791014,376.451,681.381,1093.164,488.785,0.716,44.879,9.782,4.588,4.21,494.266,999.821,1332.475,2004.103,2630.377,3262.207,553.588,31.612,-0.509,,0.716,10:30:38
HFC_12.wav,88.015,102.14,97.67,105.247,76.727,28.520,9.185,80.464,75.918,3.796,19.99807858032491,309.145,412.437,764.435,252.111,1.185,47.821,11.389,4.199,6.59,369.236,846.931,1379.871,2036.066,2673.719,3360.530,598.259,29.252,-1.010,,1.185,10:30:41
HFC_13.wav,82.773,89.79,81.32,105.692,72.663,33.029,14.141,79.330,69.776,4.584,15.2200685090208,265.262,383.616,732.507,355.636,2.072,53.481,14.960,3.575,7.32,363.594,823.971,1379.172,1998.350,2742.202,3286.584,584.598,29.935,-0.787,,2.072,10:30:48
HFC_14.wav,88.864,98.82,89.16,98.823,84.600,14.223,3.462,32.818,28.962,4.238,6.834534124807639,249.281,393.219,792.075,357.499,0.944,47.929,12.183,3.934,6.20,404.349,938.251,1360.788,2028.308,2625.398,3333.382,585.807,29.873,-0.482,,0.944,10:30:55
HFC_15.wav,88.479,93.73,86.80,98.075,80.565,17.510,20.620,46.379,35.852,3.966,9.03941317304684,214.875,388.728,776.238,183.601,0.882,45.291,9.066,4.996,4.49,422.497,935.773,1450.143,2113.654,2753.276,3323.964,580.293,30.157,-0.449,,0.882,10:30:56
HFC_16.wav,88.844,94.48,89.03,96.224,79.394,16.830,4.812,56.182,54.012,6.634,8.141389753233923,202.851,371.890,737.012,186.087,0.904,52.387,10.504,4.987,3.79,439.376,927.326,1453.233,2158.886,2797.894,3393.869,590.899,29.616,-0.314,,0.904,10:30:57
HFC_17.wav,92.191,96.87,91.47,101.034,82.404,18.630,8.706,64.844,60.055,3.317,18.104436329086578,195.360,372.494,706.610,188.188,0.904,57.182,12.163,4.701,5.58,450.156,908.410,1451.834,2125.564,2789.107,3399.125,589.794,29.671,-0.323,,0.904,10:30:59
HFC_18.wav,89.577,93.26,81.86,101.596,80.014,21.582,9.521,96.273,91.836,4.835,18.9942180625919,200.331,384.078,689.640,190.690,0.931,53.801,9.670,5.564,4.30,435.924,894.239,1444.317,2133.473,2803.613,3444.125,601.640,29.087,-0.410,,0.931,10:31:00
HFC_19.wav,89.924,90.73,87.34,100.787,78.948,21.840,28.867,78.951,71.066,5.236,13.57212823321204,182.911,330.532,641.480,192.566,1.146,60.791,8.291,7.332,4.91,415.177,926.495,1479.624,2160.420,2836.044,3406.611,598.287,29.250,-0.270,,1.146,10:31:02
HFC_20.wav,89.161,86.54,89.20,100.748,75.331,25.417,13.021,104.170,96.248,6.634,14.507705823573387,182.672,344.173,684.452,189.606,0.904,46.515,9.399,4.949,6.03,425.515,929.313,1494.607,2190.955,2831.082,3447.427,604.382,28.955,-0.560,,0.904,10:31:03
HFC_21.wav,85.060,88.98,86.06,95.892,71.894,23.998,10.687,59.988,55.401,5.583,9.923753784488374,183.894,332.399,627.918,189.143,0.896,48.649,10.607,4.586,4.78,415.442,919.157,1455.685,2167.769,2835.500,3427.808,602.473,29.047,-0.271,,0.896,10:31:05
HFC_22.wav,86.000,91.06,87.65,96.794,72.125,24.669,14.573,81.499,71.624,4.196,17.07010432440422,184.288,349.981,688.875,579.322,0.834,51.588,8.991,5.738,5.94,416.678,905.551,1459.921,2171.776,2871.141,3439.731,604.611,28.944,-0.562,,0.834,10:31:06
HFC_23.wav,86.909,90.10,86.71,95.645,73.405,22.241,20.625,62.677,55.812,5.541,10.073462169678841,182.949,327.163,630.886,188.042,0.812,47.591,8.003,5.947,5.09,427.370,883.151,1471.432,2138.001,2788.744,3255.872,565.700,30.935,-0.363,,0.812,10:31:07
HFC_24.wav,85.617,95.89,83.74,103.064,70.335,32.729,11.240,259.132,218.143,48.235,4.522516013923676,189.101,362.766,675.355,578.764,0.746,43.196,8.709,4.960,4.78,431.791,913.317,1477.302,2148.980,2843.017,3481.354,609.913,28.693,-0.556,unvoiced,0.746,10:31:09
HFC_25.wav,87.041,90.46,85.15,96.817,78.297,18.520,30.434,91.038,73.810,4.263,17.313244350439536,182.305,338.752,658.959,580.395,0.821,71.973,8.526,8.441,4.71,448.769,921.965,1518.401,2230.263,2869.992,3363.813,583.009,30.017,-0.425,,0.821,10:31:10
HFC_26.wav,84.858,87.10,83.72,94.803,72.350,22.453,47.706,134.929,128.191,6.902,18.572331895094226,213.862,427.943,704.041,584.787,0.724,51.892,8.283,6.265,3.98,456.301,879.233,1451.277,2175.106,2844.829,3496.654,608.071,28.780,-0.421,,0.724,10:31:11
HFC_27.wav,87.424,92.88,84.22,98.050,81.227,16.823,34.223,61.571,50.971,5.901,8.637708901729141,255.133,457.815,768.793,574.019,0.847,66.583,10.032,6.637,4.02,443.555,928.956,1463.418,2250.554,2835.576,3289.543,569.197,30.745,-0.451,,0.847,10:31:12
HFC_28.wav,83.949,78.08,81.59,93.446,75.354,18.092,26.727,94.020,86.445,3.851,22.446122807038652,185.946,360.111,728.881,191.997,0.909,48.080,10.453,4.600,4.43,418.604,925.192,1474.030,2222.568,2805.945,3372.039,590.687,29.627,-0.454,,0.909,10:31:14
HFC_29.wav,83.042,78.95,84.96,88.937,76.951,11.986,25.946,70.930,66.747,5.994,11.135401132443267,195.236,373.265,746.803,397.993,0.834,43.051,11.988,3.591,5.20,430.490,919.068,1494.642,2204.586,2819.187,3364.228,586.748,29.825,-0.492,,0.834,10:31:15
HFC_30.wav,82.741,76.22,82.89,91.861,76.220,15.642,92.471,97.515,88.028,6.628,13.280552216522597,204.084,387.570,749.040,404.241,0.830,50.458,10.244,4.926,4.72,405.936,910.026,1447.397,2160.905,2781.199,3433.498,605.512,28.901,-0.443,,0.830,10:31:16
HFC_31.wav,82.997,73.59,82.83,99.268,73.586,25.682,19.013,79.402,73.142,5.781,12.652049854313901,211.682,396.884,735.009,405.081,0.865,47.766,13.296,3.592,4.96,423.828,913.561,1436.283,2141.465,2742.002,3367.151,588.665,29.728,-0.479,,0.865,10:31:18
HFC_32.wav,96.229,103.03,85.47,103.033,85.248,17.785,2.595,59.439,55.957,5.735,9.756534525213814,286.902,639.603,1022.401,882.041,0.610,27.042,11.471,2.358,0.38,460.855,957.362,1454.483,2124.235,2696.184,3207.273,549.284,31.860,-0.704,,0.610,10:32:19
HFC_33.wav,81.316,90.57,81.00,108.196,72.312,35.884,3.097,150.401,114.321,26.689,4.28351395099548,589.650,704.269,1024.130,655.241,1.892,47.022,12.419,3.786,9.13,605.930,938.808,1513.777,2170.331,2733.915,3282.886,535.391,32.686,-1.169,unvoiced,1.892,10:32:21
HFC_34.wav,84.434,89.30,82.38,103.733,73.936,29.797,55.596,89.073,11.481,0.656,17.489920131002265,340.362,625.463,997.982,661.895,1.523,43.643,13.785,3.166,2.70,460.685,990.755,1586.784,2254.743,2790.861,3373.254,582.514,30.042,-0.585,,1.523,10:32:34
HFC_35.wav,82.736,98.80,73.46,107.577,73.421,34.156,17.112,76.446,74.602,6.793,10.981823492880812,252.294,558.602,803.263,234.976,1.251,36.888,12.388,2.978,4.30,546.756,907.008,1477.651,2184.748,2883.474,3532.077,597.064,29.310,-0.700,,1.251,10:32:39
