file, Mean F0 (Hz),Start F0 (Hz),End F0 (Hz),Max F0 (Hz),Min F0 (Hz),Range F0 (Hz),Time max F0 (%),F0 Abs Slope,F0 var (Hz/s),FM Rate (s-1),FM Extent (Hz),Q25% (Hz),Q50% (Hz),Q75% (Hz),Fpeak (Hz),Sound duration (s), AM var (dB/s), AM rate (s-1), AM extent (dB),Harmonicity, F1 mean (Hz),F2 mean (Hz),F3 mean (Hz),F4 mean (Hz),F5 mean (Hz),F6 mean (Hz),formant dispersal (Hz),vocal tract length (cm),mean wiener entropy,Comment,Duration(s),Start
HFC_01.wav,84.967,78.11,86.21,91.472,74.475,16.997,12.391,23.464,22.721,3.664,6.201146211145286,327.322,873.342,2218.712,398.526,1.638,25.859,11.908,2.172,6.47,436.178,994.527,1673.985,2299.990,2892.644,3392.864,591.337,29.594,-0.957,,1.638,09:57:33
HFC_02.wav,86.440,96.82,96.78,101.359,75.625,25.734,46.509,91.913,30.454,1.442,21.125019672047276,344.096,570.397,812.746,697.921,2.081,56.155,10.091,5.565,5.37,474.934,927.495,1481.274,2123.085,2827.855,3369.926,578.998,30.225,-0.621,,2.081,09:58:07
HFC_03.wav,86.730,81.55,79.38,108.069,72.577,35.493,38.127,87.914,66.127,3.279,20.16706768275825,330.895,524.459,916.003,348.209,2.287,52.961,12.460,4.250,4.64,446.782,898.317,1504.790,2086.783,2799.861,3323.495,575.343,30.417,-0.813,,2.287,09:58:19
HFC_04.wav,87.898,89.57,83.71,101.405,73.796,27.609,37.127,86.059,57.467,2.926,19.637230567824552,337.719,433.054,804.192,357.244,2.050,52.225,12.925,4.041,5.82,400.963,904.735,1499.188,2173.105,2836.144,3403.818,600.571,29.139,-0.759,,2.050,09:58:27
HFC_05.wav,93.377,92.30,95.19,109.601,81.989,27.612,67.496,160.009,0.089,0.000,--undefined--,335.998,517.295,772.998,688.478,2.388,44.137,11.933,3.699,6.98,476.239,949.209,1539.151,2142.692,2816.577,3337.900,572.332,30.577,-0.559,unvoiced,2.388,09:58:34
HFC_06.wav,83.422,79.51,73.64,91.877,73.644,18.232,51.542,60.309,28.512,2.801,10.180689942575047,271.128,448.617,765.278,235.594,1.785,61.137,13.163,4.645,3.46,412.042,874.106,1504.071,2147.987,2860.766,3346.187,586.829,29.821,-0.397,,1.785,09:58:53
HFC_07.wav,87.080,75.38,98.93,98.934,74.260,24.674,98.463,136.156,112.074,3.877,28.907336376179188,255.470,423.598,721.703,406.265,1.032,58.520,13.570,4.313,0.31,447.770,901.075,1519.075,2226.917,2939.399,3494.419,609.330,28.720,-0.050,,1.032,10:06:50
HFC_08.wav,89.918,84.55,88.39,107.782,75.824,31.958,53.107,106.707,96.481,3.051,31.627379858954843,284.209,482.331,824.196,202.604,0.983,45.241,16.778,2.696,0.18,454.760,931.131,1474.675,2157.677,2811.143,3411.780,591.404,29.591,-0.211,,0.983,10:08:33
HFC_09.wav,90.584,95.09,87.24,99.553,83.063,16.490,40.684,69.098,52.493,4.571,11.484510117645106,253.717,373.183,514.374,382.957,1.313,72.830,14.474,5.032,6.87,371.215,784.488,1415.343,2199.441,2886.831,3449.306,615.618,28.427,-0.029,,1.313,10:10:18
HFC_10.wav,83.773,95.77,87.11,95.766,76.174,19.592,8.267,59.412,46.103,5.504,8.37646446482546,264.706,471.914,847.091,222.810,1.181,45.811,14.395,3.182,0.73,436.967,917.937,1477.097,2107.039,2775.549,3406.203,593.847,29.469,-0.161,,1.181,10:14:30
