file, Mean F0 (Hz),Start F0 (Hz),End F0 (Hz),Max F0 (Hz),Min F0 (Hz),Range F0 (Hz),Time max F0 (%),F0 Abs Slope,F0 var (Hz/s),FM Rate (s-1),FM Extent (Hz),Q25% (Hz),Q50% (Hz),Q75% (Hz),Fpeak (Hz),Sound duration (s), AM var (dB/s), AM rate (s-1), AM extent (dB),Harmonicity, F1 mean (Hz),F2 mean (Hz),F3 mean (Hz),F4 mean (Hz),F5 mean (Hz),F6 mean (Hz),formant dispersal (Hz),vocal tract length (cm),mean wiener entropy,Comment,Duration(s),Start
HFC_01.wav,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,0.000,0.000,--undefined--,49.470,217.573,1150.840,51.071,1.207,37.797,11.596,3.260,13.27,363.339,1044.055,1773.091,2224.325,2844.872,3297.524,586.837,29.821,-1.955,,1.207,16:17:15
HFC_02.wav,90.681,89.22,73.06,109.999,72.412,37.587,53.666,201.496,84.110,37.881,2.220378490585603,397.854,610.048,3749.327,422.590,2.046,41.414,10.998,3.766,10.84,424.484,962.644,1710.059,2254.899,2881.084,3403.053,595.714,29.377,-2.528,unvoiced,2.046,16:22:25
LFC_01.wav,109.281,108.89,107.69,109.737,107.481,2.256,73.588,4.012,2.966,0.525,5.651927011466654,148.782,431.495,4227.449,117.762,0.953,50.735,12.596,4.028,10.38,306.738,1153.646,1816.871,2270.282,2886.065,3381.726,614.998,28.455,-2.814,,0.953,16:17:01
LFC_02.wav,100.226,100.98,109.66,109.662,93.220,16.441,51.585,29.906,13.415,0.887,15.116303557786097,63.774,253.212,895.696,52.520,1.690,35.022,15.086,2.321,12.38,298.117,1206.059,1808.933,2279.010,2866.636,3402.529,620.882,28.186,-1.490,,1.690,16:17:10
LFC_03.wav,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,0.000,0.000,--undefined--,48.233,207.341,2758.589,42.142,0.751,26.319,17.316,1.520,21.66,438.895,1316.219,1907.963,2544.573,3119.868,3494.365,611.094,28.637,-3.658,,0.751,16:17:16
LFC_04.wav,99.513,99.52,99.51,99.516,99.510,0.006,1.725,1.704,0.000,0.000,--undefined--,55.776,214.573,4411.526,52.810,0.869,50.262,12.079,4.161,20.99,438.433,1287.545,1962.008,2593.040,3049.686,3319.251,576.164,30.373,-4.240,,0.869,16:17:21
LFC_05.wav,105.479,105.41,105.55,105.553,105.407,0.146,81.708,13.634,0.000,0.000,--undefined--,62.728,205.671,2453.441,97.998,2.450,46.096,14.287,3.226,19.61,322.618,1207.980,1901.660,2486.945,2986.150,3359.567,607.390,28.812,-3.826,,2.450,16:17:24
LFC_06.wav,103.252,108.94,96.33,108.968,77.351,31.617,34.918,53.313,1.300,0.249,5.216618094290567,792.507,2613.607,10710.857,320.753,2.006,58.691,14.703,3.992,8.88,382.349,1240.656,1772.532,2429.483,2967.425,3461.803,615.891,28.414,-3.111,,2.006,16:17:43
LFC_07.wav,103.238,107.94,83.29,107.938,83.289,24.648,19.714,61.729,24.500,2.868,8.54336643512672,165.175,1853.790,12414.839,101.361,1.220,62.173,13.929,4.464,10.28,363.225,1250.463,1845.545,2437.451,2988.324,3512.230,629.801,27.787,-4.087,,1.221,16:18:37
LFC_08.wav,108.234,104.10,107.93,109.221,104.104,5.117,16.192,12.300,7.774,2.173,3.5768398224958786,101.526,679.923,8494.742,50.135,1.150,70.100,14.779,4.743,13.08,342.626,1141.119,1851.593,2450.239,3066.770,3490.749,629.625,27.794,-3.908,,1.150,16:20:06
LFC_09.wav,93.533,92.68,82.40,96.597,82.401,14.196,61.371,28.978,7.683,0.616,12.479591498688421,276.079,604.615,5082.917,54.300,0.812,29.240,8.619,3.393,10.70,410.900,1142.061,1750.923,2356.932,2914.737,3534.871,624.794,28.009,-3.140,,0.812,16:21:27
