file, Mean F0 (Hz),Start F0 (Hz),End F0 (Hz),Max F0 (Hz),Min F0 (Hz),Range F0 (Hz),Time max F0 (%),F0 Abs Slope,F0 var (Hz/s),FM Rate (s-1),FM Extent (Hz),Q25% (Hz),Q50% (Hz),Q75% (Hz),Fpeak (Hz),Sound duration (s), AM var (dB/s), AM rate (s-1), AM extent (dB),Harmonicity, F1 mean (Hz),F2 mean (Hz),F3 mean (Hz),F4 mean (Hz),F5 mean (Hz),F6 mean (Hz),formant dispersal (Hz),vocal tract length (cm),mean wiener entropy,Comment,Duration(s),Start
HFC_01.wav,88.048,102.24,89.95,102.242,77.078,25.164,1.068,39.274,38.185,5.522,6.915317478002608,185.739,252.004,366.967,349.656,1.449,58.775,10.353,5.677,13.85,281.620,685.384,1449.608,2271.309,2910.843,3426.514,628.979,27.823,-0.040,,1.449,10:17:41
HFC_02.wav,89.122,76.37,96.24,96.410,74.190,22.221,97.466,36.339,24.220,5.547,4.36592764643681,188.237,276.758,377.263,363.672,1.532,63.233,12.727,4.969,10.46,297.528,673.126,1424.240,2233.355,2876.767,3439.163,628.327,27.852,0.220,,1.532,10:18:31
HFC_03.wav,88.288,75.68,76.53,109.455,70.335,39.120,96.537,491.478,359.891,46.170,7.794818684325298,208.954,265.819,385.003,235.486,1.462,65.352,15.048,4.343,5.73,313.632,797.239,1481.406,2169.189,2820.054,3365.591,610.392,28.670,-0.056,unvoiced,1.462,10:18:44
HFC_04.wav,92.398,81.00,82.25,100.039,77.745,22.294,58.718,42.252,38.569,3.504,11.006535420437967,208.540,311.933,403.100,219.084,1.427,51.450,11.214,4.588,11.89,323.422,673.092,1410.969,2126.941,2812.173,3382.772,611.870,28.601,-0.218,,1.427,10:18:56
HFC_05.wav,87.210,94.63,89.34,94.626,79.013,15.613,9.901,61.728,42.181,3.622,11.646059625871052,215.702,291.142,388.765,241.507,1.242,57.260,11.670,4.906,5.57,338.230,1002.686,1687.021,2266.753,2951.848,3393.423,611.039,28.640,0.066,,1.242,10:19:12
HFC_06.wav,88.806,105.77,87.88,105.774,77.184,28.590,0.827,47.374,45.459,5.383,8.445407468254238,207.336,334.906,500.411,355.862,1.765,67.323,9.916,6.790,8.22,331.917,898.984,1552.345,2325.319,2987.571,3419.374,617.491,28.340,0.229,,1.765,10:19:37
HFC_07.wav,92.078,96.37,87.86,96.365,85.363,11.003,1.320,37.054,35.855,5.829,6.151330927684738,189.536,296.568,378.587,364.517,1.115,45.959,10.313,4.457,13.00,319.303,670.490,1454.019,2175.020,2895.828,3477.223,631.584,27.708,-0.053,,1.115,10:21:12
HFC_08.wav,95.606,79.97,102.05,102.052,78.197,23.855,98.831,45.101,31.030,7.099,4.371256166821225,200.257,283.691,414.930,200.442,1.620,57.011,10.802,5.278,10.66,336.859,844.480,1488.835,2123.928,2680.498,3398.260,612.280,28.582,0.042,,1.620,10:21:19
HFC_09.wav,94.427,94.50,81.56,104.196,81.559,22.637,72.556,91.754,73.971,4.970,14.884439940062675,224.988,322.409,414.208,400.767,1.207,60.468,14.909,4.056,5.46,333.090,704.947,1413.154,2108.492,2815.542,3361.108,605.604,28.897,-0.185,,1.207,10:23:04
HFC_10.wav,82.543,78.05,77.93,92.824,77.387,15.438,38.779,61.033,40.340,3.692,10.925991161636642,233.836,476.257,6258.660,168.558,1.760,50.970,13.348,3.818,4.31,339.633,1077.859,1675.423,2293.717,3001.018,3475.895,627.252,27.899,-5.086,,1.761,10:24:06
